case	methy_L1PA2pro
TCGA_2G_AAHA	0.599876916559525
TCGA_2G_AAHC	0.818533634061359
TCGA_2G_AAHG	0.512841430206395
TCGA_2G_AAHL	0.541270062816561
TCGA_2G_AAHN	0.664379664420471
TCGA_2G_AAHP	0.446535051353031
TCGA_2G_AAHP.2	0.615374536969361
TCGA_2G_AAHT	0.590151093986176
TCGA_2G_AAKD	0.601964499185721
TCGA_2G_AAKG	0.600424821919747
TCGA_2G_AAKG.2	0.694633506696384
TCGA_2G_AAKH	0.602518051893447
TCGA_2G_AAKL	0.548513497672172
TCGA_2G_AAKM	0.547096762678846
TCGA_2G_AAKO	0.719081552018328
TCGA_2G_AAKO.2	0.723523874451855
TCGA_2G_AAL5	0.723941069478909
TCGA_2G_AAL7	0.525622981157933
TCGA_2G_AALF	0.551930844461033
TCGA_2G_AALG	0.61595887368324
TCGA_2G_AALN	0.74311195971614
TCGA_2G_AALO	0.593365920241531
TCGA_2G_AALP	0.627998469319822
TCGA_2G_AALQ	0.727443207256677
TCGA_2G_AALR	0.775354614010744
TCGA_2G_AALS	0.721865977459263
TCGA_2G_AALT	0.740491844202006
TCGA_2G_AALW	0.610217276364425
TCGA_2G_AALX	0.623382358245007
TCGA_2G_AALY	0.695944228567355
TCGA_2G_AALZ	0.839389056153644
TCGA_2G_AAM2	0.709370544203168
TCGA_2G_AAM3	0.709020847836014
TCGA_2G_AAM4	0.682068588044462
TCGA_2X_A9D5	0.659848117405032
TCGA_2X_A9D6	0.643237302658543
TCGA_4K_AA1G	0.482818215260283
TCGA_4K_AA1H	0.73416895395852
TCGA_4K_AA1I	0.699753134293364
TCGA_4K_AAAL	0.551476286470501
TCGA_S6_A8JW	0.494765551364865
TCGA_S6_A8JX	0.337687574241633
TCGA_S6_A8JY	0.46420485179463
TCGA_SB_A6J6	0.660964411155021
TCGA_SB_A76C	0.526576665911471
TCGA_SN_A6IS	0.604320921282231
TCGA_SN_A84W	0.806507645066109
TCGA_SN_A84X	0.580813715379373
TCGA_SN_A84Y	0.578262767692922
TCGA_SO_A8JP	0.443717828663267
TCGA_VF_A8A8	0.526876712003577
TCGA_VF_A8A9	0.675987502999777
TCGA_VF_A8AA	0.635075130871615
TCGA_VF_A8AB	0.693438719034881
TCGA_VF_A8AC	0.655621346353573
TCGA_VF_A8AD	0.66894165505924
TCGA_VF_A8AE	0.716338992610463
TCGA_W4_A7U2	0.58770989439983
TCGA_W4_A7U3	0.581443964553631
TCGA_W4_A7U4	0.522921732249897
TCGA_WZ_A7V3	0.616753901461483
TCGA_WZ_A7V4	0.660251178663388
TCGA_WZ_A7V5	0.626673999823767
TCGA_WZ_A8D5	0.61584808205262
TCGA_X3_A8G4	0.618149232396019
TCGA_XE_A8H1	0.607442543942182
TCGA_XE_A8H4	0.684536524088635
TCGA_XE_A8H5	0.444676057590119
TCGA_XE_A9SE	0.586864005217198
TCGA_XE_AANI	0.792724053747335
TCGA_XE_AANJ	0.600920530720954
TCGA_XE_AANR	0.810434140057439
TCGA_XE_AANV	0.562930091956777
TCGA_XE_AAO3	0.545628732809042
TCGA_XE_AAO4	0.61051055237478
TCGA_XE_AAO6	0.625143647683712
TCGA_XE_AAOB	0.761172884500601
TCGA_XE_AAOC	0.794676622453264
TCGA_XE_AAOD	0.762419775086389
TCGA_XE_AAOF	0.6464914968215
TCGA_XE_AAOJ	0.723809055927758
TCGA_XE_AAOL	0.377217835820526
TCGA_XY_A89B	0.643418790606829
TCGA_XY_A8S2	0.588318541054158
TCGA_XY_A8S3	0.645673121438545
TCGA_XY_A9T9	0.666196002853788
TCGA_YU_A90P	0.611978765038338
TCGA_YU_A90Q	0.42162172607202
TCGA_YU_A90S	0.76305849788575
TCGA_YU_A90W	0.522393011652323
TCGA_YU_A90Y	0.63387509124771
TCGA_YU_A912	0.513458607534897
TCGA_YU_A94D	0.691905107003458
TCGA_YU_A94I	0.60130509420637
TCGA_YU_AA4L	0.417470980222155
TCGA_YU_AA61	0.59913982061796
TCGA_ZM_AA05	0.663380301182793
TCGA_ZM_AA06	0.586782753972539
TCGA_ZM_AA0B	0.64984436805551
TCGA_ZM_AA0D	0.666144445113446
TCGA_ZM_AA0E	0.641493919563419
TCGA_ZM_AA0F	0.712700124712337
TCGA_ZM_AA0H	0.64258427622511
TCGA_ZM_AA0N	0.70492831928422
