case	methy_HAL1pro
TCGA_2G_AAEW	0.490222519177919
TCGA_2G_AAEX	0.544896476555516
TCGA_2G_AAF1	0.648277783061298
TCGA_2G_AAF4	0.528519743724994
TCGA_2G_AAF6	0.503904233057287
TCGA_2G_AAF8	0.614131140303583
TCGA_2G_AAFE	0.452255592802899
TCGA_2G_AAFG	0.559148829784602
TCGA_2G_AAFG.2	0.630944513930031
TCGA_2G_AAFH	0.592610334662109
TCGA_2G_AAFI	0.693860730437999
TCGA_2G_AAFJ	0.852877801296337
TCGA_2G_AAFL	0.80229360218231
TCGA_2G_AAFM	0.786449149637919
TCGA_2G_AAFN	0.710117554370784
TCGA_2G_AAFO	0.746078505343743
TCGA_2G_AAFV	0.710063735579904
TCGA_2G_AAFY	0.81007910062143
TCGA_2G_AAFZ	0.828858278898272
TCGA_2G_AAG0	0.76635822169289
TCGA_2G_AAG3	0.672193096911177
TCGA_2G_AAG5	0.831964039337496
TCGA_2G_AAG6	0.84682632912509
TCGA_2G_AAG7	0.791565205344297
TCGA_2G_AAG8	0.659073513297861
TCGA_2G_AAG9	0.442888471347009
TCGA_2G_AAGA	0.78022473537545
TCGA_2G_AAGC	0.76478661330369
TCGA_2G_AAGE	0.756645266541964
TCGA_2G_AAGF	0.815995573130356
TCGA_2G_AAGG	0.796378958985268
TCGA_2G_AAGI	0.851419868700429
TCGA_2G_AAGI.2	0.549676314462013
TCGA_2G_AAGJ	0.815745515063217
TCGA_2G_AAGK	0.752221248787574
TCGA_2G_AAGM	0.781333018829166
TCGA_2G_AAGN	0.681331449220664
TCGA_2G_AAGO	0.676941415454336
TCGA_2G_AAGP	0.814079871035936
TCGA_2G_AAGS	0.81242780666924
TCGA_2G_AAGT	0.646315048765379
TCGA_2G_AAGV	0.858297768022813
TCGA_2G_AAGW	0.771196799012458
TCGA_2G_AAGX	0.845995512482849
TCGA_2G_AAGY	0.770137791783576
TCGA_2G_AAGY.2	0.284182835313424
TCGA_2G_AAGZ	0.820734486871625
TCGA_2G_AAH0	0.541858684673256
TCGA_2G_AAH2	0.793764385762225
TCGA_2G_AAH3	0.558710915540887
TCGA_2G_AAH4	0.793696004140239
TCGA_2G_AAH8	0.24837050124339
TCGA_2G_AAHA	0.48018838409676
TCGA_2G_AAHC	0.612121739654481
TCGA_2G_AAHG	0.343502460429797
TCGA_2G_AAHL	0.343954456726238
TCGA_2G_AAHN	0.563184321608896
TCGA_2G_AAHP	0.308368984776304
TCGA_2G_AAHP.2	0.503798857699217
TCGA_2G_AAHT	0.451103690342035
TCGA_2G_AAKD	0.81733153066296
TCGA_2G_AAKG	0.757482884824018
TCGA_2G_AAKG.2	0.772620280507642
TCGA_2G_AAKH	0.698714871283339
TCGA_2G_AAKL	0.720862589788428
TCGA_2G_AAKM	0.719474283742636
TCGA_2G_AAKO	0.676895941929324
TCGA_2G_AAKO.2	0.697748611081156
TCGA_2G_AAL5	0.791694151595381
TCGA_2G_AAL7	0.710350296817277
TCGA_2G_AALF	0.515903038484972
TCGA_2G_AALG	0.730960079965437
TCGA_2G_AALN	0.811060985627606
TCGA_2G_AALO	0.768338576872151
TCGA_2G_AALP	0.748492701275543
TCGA_2G_AALQ	0.803576751157219
TCGA_2G_AALR	0.73241263798698
TCGA_2G_AALS	0.76034066518738
TCGA_2G_AALT	0.839361819042436
TCGA_2G_AALW	0.77377912699993
TCGA_2G_AALX	0.816795250445796
TCGA_2G_AALY	0.829414359853311
TCGA_2G_AALZ	0.807758447359049
TCGA_2G_AAM2	0.863414626207139
TCGA_2G_AAM3	0.808325952769825
TCGA_2G_AAM4	0.879368940701367
TCGA_2X_A9D5	0.474283177244195
TCGA_2X_A9D6	0.556274705104221
TCGA_4K_AA1G	0.312963838157733
TCGA_4K_AA1H	0.706446508459748
TCGA_4K_AA1I	0.617338971766177
TCGA_4K_AAAL	0.459337623525698
TCGA_S6_A8JW	0.300822806770879
TCGA_S6_A8JX	0.164857227173389
TCGA_S6_A8JY	0.324306680674869
TCGA_SB_A6J6	0.520133470301707
TCGA_SB_A76C	0.363190929976725
TCGA_SN_A6IS	0.469650312987024
TCGA_SN_A84W	0.854466075069064
TCGA_SN_A84X	0.682380014137145
TCGA_SN_A84Y	0.742358281101889
TCGA_SO_A8JP	0.245274197822724
TCGA_VF_A8A8	0.784033856515954
TCGA_VF_A8A9	0.629559464392791
TCGA_VF_A8AA	0.552014241955105
TCGA_VF_A8AB	0.674567498411253
TCGA_VF_A8AC	0.576255939141937
TCGA_VF_A8AD	0.665637287292859
TCGA_VF_A8AE	0.629568935634285
TCGA_W4_A7U2	0.41219275031903
TCGA_W4_A7U3	0.750585449613338
TCGA_W4_A7U4	0.728097479923543
TCGA_WZ_A7V3	0.418202683337018
TCGA_WZ_A7V4	0.637100067485434
TCGA_WZ_A7V5	0.56120310789873
TCGA_WZ_A8D5	0.555219492514179
TCGA_X3_A8G4	0.767424438559968
TCGA_XE_A8H1	0.802451863328263
TCGA_XE_A8H4	0.602110309639538
TCGA_XE_A8H5	0.312515880809569
TCGA_XE_A9SE	0.595664017126056
TCGA_XE_AANI	0.805159617232825
TCGA_XE_AANJ	0.4691041786716
TCGA_XE_AANR	0.663562927690285
TCGA_XE_AANV	0.494297296001918
TCGA_XE_AAO3	0.450184826699214
TCGA_XE_AAO4	0.485897232917333
TCGA_XE_AAO6	0.478588236121557
TCGA_XE_AAOB	0.781258961369537
TCGA_XE_AAOC	0.854744132958097
TCGA_XE_AAOD	0.726677684497591
TCGA_XE_AAOF	0.57103399329497
TCGA_XE_AAOJ	0.72668063381683
TCGA_XE_AAOL	0.176202570029591
TCGA_XY_A89B	0.551903995162046
TCGA_XY_A8S2	0.747687904094921
TCGA_XY_A8S3	0.7680471549352
TCGA_XY_A9T9	0.539391726297548
TCGA_YU_A90P	0.741780951080285
TCGA_YU_A90Q	0.195128016693318
TCGA_YU_A90S	0.740034966806208
TCGA_YU_A90W	0.355863190818727
TCGA_YU_A90Y	0.784673309640507
TCGA_YU_A912	0.339712626600493
TCGA_YU_A94D	0.693944124469491
TCGA_YU_A94I	0.669095868867847
TCGA_YU_AA4L	0.661368535436127
TCGA_YU_AA61	0.771115574005097
TCGA_ZM_AA05	0.608126138435733
TCGA_ZM_AA06	0.419755929863574
TCGA_ZM_AA0B	0.502043772988537
TCGA_ZM_AA0D	0.668084124926433
TCGA_ZM_AA0E	0.599695627076183
TCGA_ZM_AA0F	0.69303661082523
TCGA_ZM_AA0H	0.563985529402774
TCGA_ZM_AA0N	0.583903534112027
