Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	1	0.842	1.436	143.6%	0.74	74.0%	1.26566	0.86
C002	3	0.979	2.283	76.1%	0.937	41.904%	0.48499	0.984
C005	3	0.596	3.957	131.9%	1.392	80.367%	1.55533	0.574
C006	1	0.078	1.967	196.7%	1.006	100.6%	4.09486	0.021
C007	2	0.995	1.255	62.75%	0.641	32.05%	0.37644	0.997
C009	5	0.712	6.034	120.68%	1.608	71.912%	1.09854	0.693
C011	1	0.231	1.901	190.1%	0.973	97.3%	3.01027	0.203
F002r	6	0.924	5.479	91.317%	1.549	48.984%	0.64723	0.928
F007	8	0.864	6.236	77.95%	1.62	51.229%	0.79443	0.851
F008	1	0.507	1.784	178.4%	0.911	91.1%	2.22479	0.53
F012	2	0.313	3.623	181.15%	1.343	94.964%	2.44274	0.272
F016	1	0.995	0.627	62.7%	0.32	32.0%	0.37644	0.997
F017	2	0.732	2.221	111.05%	0.98	69.296%	1.36364	0.724
F020	1	0.792	1.545	154.5%	0.792	79.2%	1.48023	0.819
F022	2	0.728	1.906	95.3%	1.031	72.903%	1.37222	0.721
F026	16	0.87	11.297	70.606%	2.314	49.335%	0.57142	0.845
F031	1	0.806	1.548	154.8%	0.792	79.2%	1.48722	0.837
F036	5	0.746	5.183	103.66%	2.0	66.667%	1.15037	0.735
F038	1	0.941	1.191	119.1%	0.613	61.3%	0.90536	0.951
F042	3	0.8	3.282	109.4%	1.116	64.432%	1.089	0.795
F043	2	0.718	1.946	97.3%	1.05	74.246%	1.64671	0.71
F045	4	0.735	4.048	101.2%	1.356	67.8%	1.17825	0.718
F046	1	0.113	1.952	195.2%	0.999	99.9%	3.72704	0.063
F052	1	0.357	1.848	184.8%	0.945	94.5%	2.5738	0.353
F054	1	0.231	1.901	190.1%	0.973	97.3%	3.01027	0.203
F055	5	0.857	5.68	113.6%	1.572	59.416%	0.98051	0.858
F057	1	0.882	1.454	145.4%	0.741	74.1%	1.29801	0.909
F058	10	0.931	6.718	67.18%	1.715	36.564%	0.61318	0.927
F059r	1	0.265	1.823	182.3%	0.967	96.7%	2.42282	0.242
SJ01	61	0.99	13.255	21.73%	2.935	14.442%	0.11177	0.988
SJ03	1	0.882	1.454	145.4%	0.741	74.1%	1.29801	0.909
SJ10	4	0.556	5.488	137.2%	1.67	83.5%	1.83183	0.523
SJ18	1	0.357	1.848	184.8%	0.945	94.5%	2.5738	0.353
SJ20	3	0.84	3.117	103.9%	1.048	60.506%	0.95462	0.839
SJ28	1	0.984	0.881	88.1%	0.452	45.2%	0.58094	0.987
SJ31	1	0.265	1.823	182.3%	0.967	96.7%	2.42282	0.242
SJ32	4	0.888	3.709	92.725%	1.082	54.1%	0.7228	0.889
T135	203	0.997	23.214	11.435%	4.234	8.12%	0.02906	0.996
