Samples	ID83A	ID83B	ID83C	ID83D
C001	4.61E-01	7.37E-01	5.49E-01	7.14E-01
C002	6.99E-01	1.06E+00	9.73E-01	1.02E+00
C003	2.07E-01	3.93E-01	3.33E-01	3.47E-01
C004	1.47E-01	2.42E-01	2.10E-01	2.36E-01
C005	6.69E-01	1.30E+00	1.35E+00	5.13E-01
C006	3.64E-01	5.00E-01	3.89E-01	4.72E-01
C007	7.68E-01	1.21E+00	1.11E+00	5.89E-01
C008	2.31E-02	4.65E-02	6.30E-02	5.39E-02
C009	1.09E+00	1.56E+00	1.21E+00	9.93E-01
C010	1.69E-01	2.04E-01	2.46E-01	1.09E-01
C010r	2.88E-01	3.00E-01	8.46E-02	2.24E-01
C011	1.55E-01	2.71E-01	2.55E-01	2.60E-01
C013	1.60E-01	2.44E-01	1.49E-01	3.11E-01
C014	2.08E-01	3.85E-01	2.44E-01	3.86E-01
F001	2.91E-01	2.21E-01	2.93E-01	2.18E-01
F002	1.40E-01	2.30E-01	1.46E-01	2.53E-01
F002r	1.00E+00	1.04E+00	7.73E-01	8.11E-01
F004	2.26E-01	4.30E-01	3.37E-01	3.79E-01
F005	7.32E-02	2.28E-01	2.40E-01	2.34E-01
F006	6.44E-02	9.80E-02	6.39E-02	1.20E-01
F007	6.62E-01	1.94E+00	1.85E+00	8.52E-01
F008	0.00E+00	2.17E-01	2.25E-01	2.24E-01
F010	2.76E-01	3.21E-01	3.50E-01	2.35E-01
F011	2.32E-01	3.97E-01	3.60E-01	2.87E-01
F012	2.43E-02	1.98E-01	1.42E-01	2.03E-01
F013	1.18E-01	2.73E-01	2.68E-01	2.95E-01
F014	1.40E-01	5.04E-01	4.72E-01	3.49E-01
F015	5.51E-01	8.35E-01	6.80E-01	5.52E-01
F016	3.09E-01	5.58E-01	5.65E-01	3.27E-01
F017	4.92E-01	6.60E-01	6.44E-01	5.08E-01
F018	2.27E-01	2.00E-01	2.01E-01	2.38E-01
F019	7.00E-02	2.07E-01	1.46E-01	1.82E-01
F020	2.13E-01	8.10E-01	7.33E-01	5.09E-01
F021	1.75E-01	2.25E-01	2.41E-01	2.23E-01
F022	3.06E-01	9.20E-01	6.94E-01	7.43E-01
F023	1.00E-02	5.39E-02	6.54E-02	5.31E-02
F024	1.35E-01	1.44E-01	1.18E-01	1.95E-01
F026	5.06E-01	1.21E+00	1.19E+00	5.85E-01
F027	1.99E-01	1.62E-01	1.89E-01	1.74E-01
F029	2.89E-01	6.44E-01	6.58E-01	1.94E-01
F031	6.40E-01	7.95E-01	6.65E-01	7.67E-01
F034	1.88E-01	3.49E-01	2.00E-01	4.23E-01
F036	2.93E-01	8.43E-01	8.32E-01	6.27E-01
F037	1.36E-01	9.11E-02	1.11E-01	1.06E-01
F038	1.62E-01	3.05E-01	2.32E-01	3.72E-01
F039	2.93E-01	4.36E-01	3.83E-01	3.89E-01
F041	3.17E-01	8.07E-01	6.72E-01	6.62E-01
F042	5.12E-01	7.22E-01	3.61E-01	5.43E-01
F043	3.12E-01	4.83E-01	3.71E-01	3.98E-01
F044	1.66E-01	3.54E-01	3.88E-01	3.26E-01
F045	2.01E-01	6.66E-01	4.31E-01	4.79E-01
F046	9.16E-02	9.28E-02	3.64E-02	8.05E-02
F048	0.00E+00	1.66E-01	1.55E-01	1.92E-01
F050	9.13E-02	5.30E-02	8.86E-02	1.50E-02
F052	1.25E-01	9.78E-02	8.98E-02	1.44E-01
F053	1.62E-01	3.07E-01	1.24E-01	2.74E-01
F054	1.31E-01	2.92E-01	2.64E-01	3.01E-01
F055	7.06E-01	1.16E+00	1.21E+00	4.88E-01
F056	9.26E-02	6.39E-02	6.20E-02	4.32E-02
F057	4.73E-01	7.92E-01	6.74E-01	6.03E-01
F058	7.05E-01	1.43E+00	1.06E+00	1.05E+00
F059	1.68E-01	4.81E-01	4.82E-01	3.91E-01
F059r	4.42E-01	1.17E+00	1.14E+00	3.73E-01
SJ01	4.52E+00	3.94E+00	4.44E+00	7.39E-01
SJ02	2.54E-01	2.57E-01	2.75E-01	2.21E-01
SJ03	5.00E-01	5.78E-01	5.22E-01	5.67E-01
SJ04	1.00E-02	6.45E-02	5.89E-02	6.72E-02
SJ08	3.11E-01	4.90E-01	4.06E-01	4.84E-01
SJ09	2.31E-01	4.43E-01	3.76E-01	4.87E-01
SJ10	2.89E-01	4.11E-01	2.79E-01	3.90E-01
SJ12	3.53E-01	5.10E-01	4.72E-01	4.15E-01
SJ13	1.08E-01	9.90E-02	1.13E-01	5.08E-02
SJ14	1.45E-01	1.55E-01	1.65E-01	1.66E-01
SJ17	2.95E-01	5.39E-01	3.77E-01	5.73E-01
SJ18	2.05E-01	1.65E-01	1.46E-01	2.12E-01
SJ19	1.03E-01	5.00E-01	4.67E-01	4.65E-01
SJ20	5.28E-01	1.74E+00	9.96E-01	1.32E+00
SJ25	1.64E-01	2.62E-01	2.31E-01	2.66E-01
SJ28	1.03E+00	2.03E+00	1.01E+00	1.76E+00
SJ31	3.65E-01	8.96E-01	2.53E-01	9.76E-01
SJ32	1.08E+00	1.02E+00	9.97E-01	9.52E-01
SJ33	1.88E-01	3.93E-01	2.76E-01	3.35E-01
T135	6.11E+00	5.85E+00	7.94E-01	3.25E+00
