Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	39	0.672	38.765	99.397%	6.694	74.378%	0.85455	0.545
C002	76	0.816	55.999	73.683%	8.687	58.303%	0.51645	0.719
C003	23	0.811	20.751	90.222%	3.843	60.018%	0.73419	0.777
C004	10	0.33	16.291	162.91%	3.073	97.177%	2.14469	0.157
C005	76	0.829	59.574	78.387%	10.313	56.43%	0.53276	0.781
C006	29	0.713	30.462	105.041%	5.106	70.136%	0.89326	0.626
C007	71	0.806	54.135	76.246%	8.595	59.453%	0.54443	0.714
C008	2	0.421	3.519	175.95%	1.297	91.712%	2.44779	0.406
C009	97	0.814	66.776	68.841%	11.856	58.059%	0.44216	0.733
C010	10	0.521	15.255	152.55%	2.956	85.332%	1.91561	0.437
C010r	11	0.423	17.431	158.464%	3.742	90.757%	2.02862	0.322
C011	12	0.536	18.015	150.125%	3.775	84.412%	1.75293	0.469
C013	17	0.462	24.634	144.906%	5.817	88.708%	1.55646	0.38
C014	17	0.581	21.637	127.276%	4.075	81.5%	1.25207	0.48
F001	15	0.482	20.418	136.12%	4.038	88.116%	1.59035	0.352
F002	9	0.322	14.871	165.233%	3.192	96.242%	2.34923	0.187
F002r	65	0.73	57.294	88.145%	9.708	68.818%	0.63663	0.615
F004	19	0.545	23.674	124.6%	4.236	84.72%	1.21457	0.399
F005	11	0.575	14.155	128.682%	2.949	81.791%	1.25859	0.497
F006	5	0.409	8.467	169.34%	2.42	91.467%	2.13213	0.363
F007	118	0.86	72.19	61.178%	13.063	51.08%	0.34286	0.806
F008	9	0.536	13.357	148.411%	3.046	84.481%	1.7311	0.48
F010	17	0.604	22.757	133.865%	4.458	80.068%	1.34527	0.537
F011	18	0.565	22.799	126.661%	4.374	82.661%	1.2974	0.46
F012	8	0.643	10.448	130.6%	2.458	77.729%	1.29799	0.61
F013	13	0.534	16.497	126.9%	3.512	85.179%	1.51291	0.439
F014	21	0.584	26.69	127.095%	4.589	82.421%	1.32249	0.465
F015	48	0.779	40.393	84.152%	6.177	63.044%	0.63913	0.672
F016	26	0.719	28.54	109.769%	4.938	69.834%	0.99187	0.653
F017	55	0.856	38.492	69.985%	6.736	52.44%	0.48349	0.815
F018	12	0.54	16.148	134.567%	2.924	84.409%	1.44134	0.419
F019	8	0.591	10.603	132.538%	2.282	80.681%	1.54798	0.529
F020	32	0.69	36.432	113.85%	6.72	72.464%	1.0714	0.624
F021	11	0.622	15.687	142.609%	3.291	79.818%	1.35177	0.589
F022	41	0.711	39.857	97.212%	6.418	72.208%	0.89889	0.595
F023	2	0.5	3.429	171.45%	1.262	89.237%	2.04687	0.501
F024	9	0.531	13.155	146.167%	2.816	84.906%	1.6742	0.463
F026	60	0.776	51.3	85.5%	9.331	63.198%	0.64435	0.71
F027	10	0.558	13.873	138.73%	2.624	82.978%	1.43498	0.466
F029	30	0.699	32.911	109.703%	6.725	71.689%	1.14902	0.647
F031	60	0.831	40.087	66.812%	6.188	56.965%	0.52371	0.725
F034	17	0.373	26.099	153.524%	4.925	94.782%	1.71862	0.202
F036	48	0.809	39.062	81.379%	6.148	59.715%	0.63761	0.733
F037	5	0.496	8.652	173.04%	2.952	89.006%	2.03872	0.492
F038	17	0.46	25.435	149.618%	5.115	89.041%	1.62273	0.349
F039	23	0.618	28.73	124.913%	5.155	78.613%	1.16738	0.524
