NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
142	36.96	132.837	7.543	81.75	1.464	0.48	80000.0
143	38.463	135.983	8.004	83.427	1.523	0.45	60000.0
144	37.308	133.513	7.809	82.708	1.516	0.454	60000.0
145	37.742	133.188	7.946	82.054	1.505	0.467	40000.0
146	36.27	132.456	7.491	82.004	1.508	0.467	60000.0
147	36.675	133.765	7.715	82.695	1.539	0.45	40000.0
148	35.692	129.944	7.438	80.867	1.433	0.489	60000.0
149	36.667	133.543	7.587	82.476	1.503	0.46	40000.0
150	37.267	134.303	7.713	82.854	1.534	0.448	80000.0
151	37.128	133.627	7.768	82.158	1.511	0.469	60000.0
152	35.919	132.534	7.32	81.799	1.484	0.47	80000.0
153	37.065	133.751	7.685	81.988	1.504	0.472	60000.0
154	36.261	132.319	7.641	81.927	1.477	0.47	40000.0
155	37.6	133.87	7.852	83.046	1.492	0.457	60000.0
156	35.911	132.218	7.381	81.687	1.477	0.475	60000.0
157	37.171	135.577	7.637	82.646	1.557	0.452	60000.0
158	37.254	131.934	7.713	81.925	1.463	0.477	40000.0
159	36.695	134.589	7.631	82.76	1.526	0.45	60000.0
160	37.002	134.029	7.595	82.701	1.535	0.452	40000.0
161	36.628	133.532	7.551	81.949	1.498	0.469	60000.0
162	36.676	132.795	7.646	82.295	1.504	0.46	80000.0
163	37.219	133.383	7.729	82.597	1.526	0.454	40000.0
164	36.618	132.647	7.598	82.622	1.485	0.456	80000.0
165	36.913	133.9	7.671	82.829	1.524	0.453	40000.0
166	36.334	133.043	7.51	81.911	1.517	0.465	80000.0
167	36.954	133.79	7.841	82.968	1.514	0.456	80000.0
168	37.246	133.573	7.896	82.857	1.5	0.457	40000.0
169	37.357	132.266	7.84	81.952	1.477	0.473	40000.0
170	37.268	133.98	7.783	82.478	1.494	0.46	80000.0
171	37.337	133.683	7.777	82.164	1.512	0.464	40000.0
172	36.471	133.257	7.657	82.659	1.532	0.451	60000.0
173	37.409	136.197	8.004	83.241	1.559	0.45	40000.0
174	37.277	133.845	7.703	82.665	1.537	0.454	80000.0
175	36.489	133.294	7.653	82.481	1.509	0.459	40000.0
176	36.153	131.379	7.559	81.813	1.467	0.473	60000.0
177	36.84	133.176	7.682	82.465	1.516	0.459	60000.0
178	37.21	134.531	7.748	82.6	1.533	0.461	40000.0
179	35.925	133.55	7.502	81.782	1.505	0.468	80000.0
180	37.122	133.019	7.856	82.615	1.483	0.466	80000.0
181	37.499	130.443	7.792	81.516	1.455	0.482	40000.0
182	37.047	133.713	7.669	82.784	1.499	0.455	40000.0
183	36.427	132.572	7.477	81.751	1.465	0.479	40000.0
184	37.085	131.797	7.827	81.73	1.47	0.478	40000.0
185	36.37	132.202	7.491	82.274	1.47	0.465	60000.0
186	37.634	133.363	7.789	82.076	1.524	0.468	60000.0
187	37.325	134.228	7.853	82.421	1.515	0.464	60000.0
188	36.312	131.659	7.735	81.733	1.475	0.476	60000.0
189	36.449	133.111	7.603	82.106	1.518	0.466	60000.0
190	37.009	133.832	7.779	81.98	1.514	0.475	80000.0
191	37.048	134.432	7.683	82.491	1.53	0.46	80000.0
192	37.094	134.439	7.685	82.961	1.512	0.453	40000.0
193	37.146	133.486	7.643	82.001	1.512	0.46	0.0
194	36.448	133.027	7.583	82.038	1.482	0.467	40000.0
195	36.211	132.8	7.502	82.492	1.558	0.448	80000.0
196	36.578	132.062	7.749	82.346	1.5	0.467	40000.0
197	36.986	133.306	7.743	82.906	1.523	0.451	40000.0
198	36.806	133.365	7.645	82.927	1.503	0.448	40000.0
199	36.859	132.846	7.728	82.264	1.464	0.471	40000.0
200	37.023	134.074	7.762	82.827	1.52	0.453	60000.0
