Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
F017	2.20E-02	1.00E-02	6.07E-02	1.31E-02	1.31E-02	3.78E-02	2.49E-02	4.15E-02	2.53E-02	3.24E-02
F020	2.26E-02	7.05E-03	5.00E-03	0.00E+00	5.00E-03	7.05E-03	8.62E-03	7.05E-03	1.21E-02	1.21E-02
F022	0.00E+00	1.00E-02	2.08E-02	5.75E-02	2.65E-02	2.25E-02	2.49E-02	1.71E-02	4.24E-02	3.35E-02
F026	0.00E+00	0.00E+00	2.15E-01	1.90E-01	6.00E-02	3.53E-01	2.25E-01	4.79E-01	1.93E-01	1.38E-01
F031	0.00E+00	1.21E-02	9.92E-03	1.81E-02	1.21E-02	1.21E-02	1.11E-02	3.13E-02	1.11E-02	1.30E-02
F036	0.00E+00	2.23E-02	2.50E-02	6.60E-02	1.42E-01	5.54E-02	7.37E-02	4.64E-02	8.76E-02	7.24E-02
F038	1.47E-02	0.00E+00	2.46E-02	0.00E+00	5.00E-03	1.54E-02	0.00E+00	0.00E+00	7.05E-03	1.21E-02
F042	0.00E+00	5.00E-03	1.12E-02	7.75E-02	4.01E-02	4.32E-02	3.07E-02	8.95E-02	3.07E-02	4.92E-02
F043	0.00E+00	1.00E-02	1.41E-02	5.88E-02	3.76E-02	2.75E-02	3.12E-02	3.05E-02	3.00E-02	3.43E-02
F045	0.00E+00	2.12E-02	3.92E-02	9.44E-02	9.76E-02	3.95E-02	6.35E-02	6.03E-02	5.59E-02	5.28E-02
F046	8.62E-03	1.21E-02	1.92E-02	2.34E-02	2.50E-02	2.26E-02	1.92E-02	2.63E-02	2.30E-02	2.34E-02
F052	7.05E-03	0.00E+00	1.30E-02	2.30E-02	2.38E-02	8.62E-03	5.00E-03	9.92E-03	1.21E-02	3.41E-02
F054	7.05E-03	5.00E-03	1.30E-02	1.92E-02	2.17E-02	2.78E-02	2.17E-02	3.23E-02	1.21E-02	2.50E-02
F055	5.26E-02	1.31E-01	4.38E-02	9.00E-02	3.50E-02	4.58E-02	1.21E-01	1.26E-01	6.59E-02	4.32E-02
F057	9.92E-03	2.69E-02	9.92E-03	1.39E-02	1.21E-02	7.05E-03	7.05E-03	7.05E-03	3.29E-02	0.00E+00
F058	0.00E+00	0.00E+00	1.56E-01	2.44E-01	1.65E-01	8.90E-02	1.56E-01	5.29E-02	9.54E-02	2.02E-01
F059r	0.00E+00	7.05E-03	2.60E-02	9.92E-03	1.30E-02	3.54E-02	1.21E-02	1.87E-02	1.92E-02	2.17E-02
SJ01	2.45E-01	1.48E+00	3.26E-01	1.67E-01	7.66E-02	3.60E-02	1.14E+00	1.77E-01	9.35E-01	3.73E-02
SJ03	9.92E-03	2.69E-02	9.92E-03	1.39E-02	1.21E-02	7.05E-03	7.05E-03	7.05E-03	3.29E-02	0.00E+00
SJ10	2.23E-02	2.90E-02	4.96E-02	5.00E-02	1.24E-01	7.40E-02	7.48E-02	7.10E-02	6.60E-02	9.93E-02
SJ18	7.05E-03	0.00E+00	1.30E-02	2.30E-02	2.38E-02	8.62E-03	5.00E-03	9.92E-03	1.21E-02	3.41E-02
SJ20	1.00E-02	3.09E-02	2.66E-02	7.53E-02	3.54E-02	1.21E-02	3.46E-02	2.31E-02	8.40E-02	2.82E-02
SJ28	0.00E+00	0.00E+00	7.05E-03	1.47E-02	1.87E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.92E-03
SJ31	0.00E+00	7.05E-03	2.60E-02	9.92E-03	1.30E-02	3.54E-02	1.21E-02	1.87E-02	1.92E-02	2.17E-02
SJ32	0.00E+00	1.00E-02	5.92E-02	7.84E-02	7.73E-02	9.38E-02	2.88E-02	5.79E-02	3.61E-02	2.84E-02
T135	4.24E+00	1.44E+00	2.61E+00	2.85E-01	1.86E-01	3.85E-01	3.75E+00	1.14E-01	1.46E+00	5.91E-01
