MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	0.09309216012246907	0.022685080683591537	0.05581084300472867	0.0390436600812285	0.03508225082293848	0.08637277116067707
1:Del:C:1	0.0279904176978971	0.020282510195892767	0.06548006914307279	0.0211211310092375	0.0349471902466189	0.005835945897071042
1:Del:C:2	0.002552638085083565	0.027614523326952422	0.016052094710037393	0.006134342977115352	0.01226585692790195	0.00161607996985218
1:Del:C:3	0.005302915254191376	0.0030209030739779762	0.004430588601087173	0.005170982662104944	0.003647362667530487	0.0007880671114570869
1:Del:C:4	0.0009270420065988282	0.002877153797009839	0.007999170476978464	0.004196578389189405	0.006008414066901153	0.006673620489802161
1:Del:C:5	0.00041543755301666594	0.00975486140935814	0.0041862638410288654	0.004781765528475201	0.009680332597504417	0.008070472747555613
1:Del:T:0	0.05713719692742135	0.013269900487996438	0.15763498669309683	0.009531097090507248	0.016404008177078308	0.010810995691636358
1:Del:T:1	0.04315478060464697	0.006985545696418374	0.07450522922712409	0.00662397310451496	0.00902801730817444	0.0051557938771347265
1:Del:T:2	0.03744041449115912	0.013555944522555308	0.019882037665597638	0.026571482413540935	0.015954723970100417	0.002222536987939705
1:Del:T:3	0.006659076468134089	0.019119921445740998	0.005464300045227901	0.04716449480205661	0.0089588134793064	0.02173479851784819
1:Del:T:4	0.0004197193829461288	0.028688669181436807	0.016621837527481205	0.01212574829754855	0.011722532208764456	0.017128925777675347
1:Del:T:5	0.0011782528761043343	0.19737565067596732	0.022866359202343124	0.02734447104215292	0.01956687751203731	0.00565779923868447
1:Ins:C:0	0.006654676449508088	0.024937151500491268	0.012446750735765021	0.030928815115411793	0.04728523338813488	0.04385532103092373
1:Ins:C:1	0.00700558609794534	0.010015122126896031	0.009487234754290412	0.00256401513864148	0.015935192743550885	0.011596845094191224
1:Ins:C:2	0.00495171939480005	0.00435521205087758	0.0013600514002360643	0.003316678807479505	0.0040069415624642436	0.0034521664164861576
1:Ins:C:3	8.033536769663563e-05	0.014784879348701676	0.0030258284732729503	0.0007585349483606941	0.006959465502928519	0.0005800214093395084
1:Ins:C:4	0.0024265486583715033	0.0027294301728619883	0.000777380229991973	0.0041575757936421496	0.004461744389228581	0.0018012448541691128
1:Ins:C:5	0.0007054699790690522	0.010332558113446452	0.01252766006950658	0.006832689408197483	0.009452774384836146	0.002834743311063104
1:Ins:T:0	0.014409047429624806	0.0029432841545484222	0.0050089142687807	0.019839679800909185	0.019197652767589377	0.19102560219354928
1:Ins:T:1	0.052242593056467966	0.00576022923757165	0.032670200437905236	0.024876315196155473	0.021736565810678316	0.03342752189844646
1:Ins:T:2	0.01599439643207006	0.004067983352740292	0.007870281168309673	0.00810848576280371	0.008056220748609278	0.012342362814235912
1:Ins:T:3	0.007560440209506254	0.016906866273197638	0.013932671198444666	0.004743338647347741	0.01259147657413763	0.007666931693738022
1:Ins:T:4	0.00023404551203940472	0.00617036578057899	0.0010992245536833244	0.004531229073674776	0.006335739544953451	0.0021975323416219793
1:Ins:T:5	0.010538054261847094	0.15523328221719793	0.09169546686561261	0.03457938184265174	0.13567081639993034	0.005355088882192831
2:Del:R:0	0.02293584484070493	0.012604810836891148	0.02311521835691451	0.023401885595120006	0.021668903065506128	0.025281005851955172
2:Del:R:1	0.02387052233667248	0.02306899155771589	0.01314376880116896	0.15368880229391038	0.035653803947162714	0.01247485873331847
2:Del:R:2	0.002649715713706877	0.014029207366025389	0.004060098161449044	0.015505568401820078	0.024052581432088688	0.002342434346861282
2:Del:R:3	0.0063845299876955156	0.0012399814987532488	0.00268370382960045	0.0030259378801765924	0.004259499942451655	0.0033463519401801013
2:Del:R:4	0.0001856111239293856	0.0014785010471968362	0.0017048661052772474	0.0012517551516751091	0.0005497036580759396	0.00087310459295594
