Samples	SBS96A	SBS96B	SBS96C
C001	486	83	0
C002	539	93	98
C003	216	45	0
C004	11	0	10
C005	362	71	631
C006	239	20	20
C007	394	41	90
C008	0	6	6
C009	675	96	45
C010	18	3	14
C010r	44	12	7
C011	27	3	24
C013	38	7	41
C014	109	13	10
F001	104	4	31
F002	54	0	12
F002r	405	64	72
F004	47	0	20
F005	83	0	32
F006	8	0	0
F007	1105	89	865
F008	105	8	59
F010	93	14	17
F011	72	8	20
F012	85	19	2
F013	15	6	2
F014	160	11	27
F015	456	51	0
F016	194	21	24
F017	137	81	368
F018	0	0	58
F019	8	0	0
F020	337	47	0
F021	8	0	0
F022	273	33	0
F023	17	5	10
F024	4	0	0
F026	428	88	880
F027	31	0	0
F029	167	30	131
F031	494	156	0
F034	105	16	8
F036	238	31	467
F037	6	3	0
F038	138	25	13
F039	134	5	11
F041	630	73	0
F042	310	35	4
F043	173	23	64
F044	67	0	0
F045	189	35	82
F046	17	3	8
F048	19	0	9
F050	3	2	2
F052	37	7	0
F053	103	19	3
F054	34	7	0
F055	0	165	990
F056	62	13	3
F057	322	37	52
F058	669	116	111
F059	149	0	68
F059r	190	0	129
SJ01	38	2390	335
SJ02	229	67	8
SJ03	345	33	92
SJ04	19	0	0
SJ08	222	17	57
SJ09	117	1	15
SJ10	175	34	385
SJ12	209	44	23
SJ13	90	10	26
SJ14	92	0	31
SJ17	272	33	30
SJ18	124	18	14
SJ19	244	44	16
SJ20	1109	203	288
SJ25	90	13	101
SJ28	797	114	156
SJ31	99	1	24
SJ32	443	97	523
SJ33	124	31	0
T135	982	3576	358
