Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	1	0.667	1.592	159.2%	0.828	82.8%	1.58976	0.678
C002	3	0.924	3.331	111.033%	1.366	61.089%	0.83827	0.939
C005	3	0.624	3.648	121.6%	1.355	78.231%	1.69345	0.604
C006	1	0.083	1.968	196.8%	1.003	100.3%	4.12009	0.021
C007	2	0.981	1.992	99.6%	1.016	50.8%	0.68928	0.986
C009	5	0.536	7.033	140.66%	1.898	84.881%	1.69087	0.49
C011	1	0.23	1.909	190.9%	0.974	97.4%	3.09382	0.203
F002r	6	0.91	5.939	98.983%	1.676	53.0%	0.71745	0.915
F007	8	0.833	7.763	97.038%	1.791	56.636%	0.89357	0.818
F008	1	0.236	1.907	190.7%	0.973	97.3%	3.07087	0.21
F012	2	0.167	3.814	190.7%	1.403	99.207%	3.09088	0.093
F016	1	0.981	0.996	99.6%	0.508	50.8%	0.68928	0.986
F017	2	0.55	3.249	162.45%	1.217	86.055%	1.84512	0.545
F020	1	0.667	1.653	165.3%	0.849	84.9%	1.75125	0.69
F022	2	0.735	1.879	93.95%	0.959	67.812%	1.40089	0.727
F026	16	0.792	14.332	89.575%	2.865	61.082%	0.73372	0.75
F031	1	0.405	1.841	184.1%	0.938	93.8%	2.5303	0.418
F036	5	0.727	5.878	117.56%	2.087	69.567%	1.36217	0.716
F038	1	0.558	1.659	165.9%	0.867	86.7%	1.7693	0.559
F042	3	0.661	4.216	140.533%	1.35	77.942%	1.60208	0.652
F043	2	0.714	1.941	97.05%	0.99	70.004%	1.75714	0.705
F045	4	0.723	4.131	103.275%	1.382	69.1%	1.33541	0.705
F046	1	0.087	1.966	196.6%	1.002	100.2%	4.06381	0.027
F052	1	0.272	1.893	189.3%	0.965	96.5%	2.92777	0.254
F054	1	0.23	1.909	190.9%	0.974	97.4%	3.09382	0.203
F055	5	0.757	5.94	118.8%	1.782	67.353%	1.47612	0.746
F057	1	0.318	1.875	187.5%	0.956	95.6%	2.77136	0.311
F058	10	0.91	9.196	91.96%	2.089	44.538%	0.85776	0.907
F059r	1	0.282	1.828	182.8%	0.96	96.0%	2.4517	0.26
SJ01	61	0.998	7.453	12.218%	1.429	7.032%	0.05289	0.997
SJ03	1	0.318	1.875	187.5%	0.956	95.6%	2.77136	0.311
SJ10	4	0.559	5.457	136.425%	1.696	84.8%	1.72229	0.528
SJ18	1	0.272	1.893	189.3%	0.965	96.5%	2.92777	0.254
SJ20	3	0.641	3.629	120.967%	1.33	76.788%	1.56379	0.622
SJ28	1	0.933	1.313	131.3%	0.67	67.0%	1.06842	0.95
SJ31	1	0.282	1.828	182.8%	0.96	96.0%	2.4517	0.26
SJ32	4	0.773	4.805	120.125%	1.368	68.4%	1.03138	0.77
T135	203	0.999	9.14	4.502%	1.826	3.502%	0.00881	0.999
