Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
C001	0.00E+00	0.00E+00	2.50E-02	8.62E-03	3.11E-02	1.30E-02	5.00E-03	9.92E-03	1.39E-02
C002	0.00E+00	0.00E+00	1.00E-02	6.93E-02	2.17E-02	7.13E-02	0.00E+00	1.50E-02	0.00E+00
C005	2.21E-02	5.74E-02	4.71E-02	7.86E-02	4.95E-02	2.55E-02	4.43E-02	6.83E-02	4.60E-02
C006	1.92E-02	1.39E-02	2.26E-02	2.34E-02	2.34E-02	2.22E-02	2.50E-02	2.22E-02	2.53E-02
C007	0.00E+00	0.00E+00	0.00E+00	2.21E-02	1.00E-02	1.72E-02	1.00E-02	0.00E+00	0.00E+00
C009	0.00E+00	0.00E+00	5.66E-02	1.35E-01	7.15E-02	8.05E-02	1.67E-01	7.19E-02	8.72E-02
C011	8.62E-03	5.00E-03	1.54E-02	1.75E-02	2.66E-02	2.38E-02	2.94E-02	1.75E-02	3.18E-02
F002r	3.19E-02	0.00E+00	1.89E-01	2.69E-02	1.89E-01	3.90E-02	4.11E-02	5.85E-02	3.68E-02
F007	1.50E-02	1.00E-01	1.59E-01	1.23E-01	7.71E-02	1.71E-01	1.26E-01	1.39E-01	8.28E-02
F008	8.62E-03	7.05E-03	1.21E-02	2.42E-02	1.75E-02	2.13E-02	3.54E-02	1.81E-02	2.08E-02
F012	2.51E-02	1.00E-02	2.82E-02	4.47E-02	4.54E-02	5.29E-02	6.55E-02	3.67E-02	4.63E-02
F016	0.00E+00	0.00E+00	0.00E+00	1.11E-02	5.00E-03	8.62E-03	5.00E-03	0.00E+00	0.00E+00
F017	2.21E-02	1.00E-02	6.39E-02	1.91E-02	5.75E-02	2.55E-02	2.14E-02	2.40E-02	3.04E-02
F020	2.13E-02	8.62E-03	8.62E-03	0.00E+00	5.00E-03	0.00E+00	9.92E-03	1.30E-02	7.05E-03
F022	0.00E+00	0.00E+00	1.64E-02	5.85E-02	2.10E-02	1.90E-02	3.89E-02	4.31E-02	3.53E-02
F026	0.00E+00	0.00E+00	2.45E-01	2.49E-01	4.74E-01	0.00E+00	2.33E-01	1.78E-01	4.90E-01
F031	0.00E+00	1.21E-02	8.62E-03	2.26E-02	1.92E-02	8.62E-03	1.11E-02	7.05E-03	3.22E-02
F036	0.00E+00	2.50E-02	4.55E-02	6.31E-02	6.16E-02	1.50E-01	1.04E-01	8.09E-02	7.09E-02
F038	1.47E-02	0.00E+00	3.11E-02	5.00E-03	2.53E-02	1.30E-02	0.00E+00	8.62E-03	7.05E-03
F042	0.00E+00	1.80E-02	2.12E-02	8.18E-02	4.71E-02	4.01E-02	4.64E-02	1.00E-02	8.55E-02
F043	1.72E-02	1.00E-02	2.59E-02	6.04E-02	3.14E-02	3.07E-02	4.10E-02	1.54E-02	3.27E-02
F045	0.00E+00	1.50E-02	2.54E-02	9.28E-02	3.25E-02	1.08E-01	9.18E-02	4.07E-02	5.03E-02
F046	5.00E-03	1.68E-02	2.03E-02	2.13E-02	2.26E-02	2.17E-02	2.98E-02	2.13E-02	2.81E-02
F052	0.00E+00	5.00E-03	2.66E-02	2.72E-02	1.75E-02	2.57E-02	3.03E-02	2.22E-02	1.87E-02
F054	8.62E-03	5.00E-03	1.54E-02	1.75E-02	2.66E-02	2.38E-02	2.94E-02	1.75E-02	3.18E-02
F055	2.49E-02	1.27E-01	2.99E-02	1.08E-01	3.96E-02	3.11E-02	5.57E-02	5.78E-02	1.48E-01
F057	7.05E-03	3.03E-02	9.92E-03	1.11E-02	7.05E-03	1.30E-02	0.00E+00	3.40E-02	9.92E-03
F058	0.00E+00	5.00E-02	1.79E-01	2.44E-01	8.46E-02	1.48E-01	1.71E-01	1.35E-01	8.87E-02
F059r	1.30E-02	8.62E-03	3.13E-02	1.30E-02	3.31E-02	1.75E-02	2.17E-02	2.26E-02	1.47E-02
SJ01	4.94E-01	1.36E+00	5.92E-01	7.96E-02	2.88E-01	5.60E-02	3.64E-01	1.10E+00	3.72E-01
SJ03	7.05E-03	3.03E-02	9.92E-03	1.11E-02	7.05E-03	1.30E-02	0.00E+00	3.40E-02	9.92E-03
SJ10	3.33E-02	3.19E-02	5.86E-02	5.28E-02	5.80E-02	1.28E-01	9.38E-02	7.94E-02	8.18E-02
SJ18	0.00E+00	5.00E-03	2.66E-02	2.72E-02	1.75E-02	2.57E-02	3.03E-02	2.22E-02	1.87E-02
SJ20	1.50E-02	3.95E-02	1.58E-02	7.76E-02	2.53E-02	3.34E-02	5.21E-02	8.02E-02	3.69E-02
SJ28	0.00E+00	0.00E+00	5.00E-03	1.54E-02	7.05E-03	1.81E-02	0.00E+00	5.00E-03	0.00E+00
SJ31	1.30E-02	8.62E-03	3.13E-02	1.30E-02	3.31E-02	1.75E-02	2.17E-02	2.26E-02	1.47E-02
SJ32	0.00E+00	1.00E-02	3.43E-02	8.06E-02	9.63E-02	7.82E-02	2.63E-02	3.38E-02	4.22E-02
T135	3.32E+00	1.60E+00	2.68E+00	2.59E-01	5.65E-01	1.53E-01	1.03E+00	1.55E+00	3.57E-01
