Samples	ID83A
C001	0.00E+00
C002	0.00E+00
C003	0.00E+00
C004	0.00E+00
C005	0.00E+00
C006	0.00E+00
C007	0.00E+00
C008	0.00E+00
C009	0.00E+00
C010	0.00E+00
C010r	0.00E+00
C011	0.00E+00
C013	0.00E+00
C014	0.00E+00
F001	0.00E+00
F002	0.00E+00
F002r	0.00E+00
F004	0.00E+00
F005	0.00E+00
F006	0.00E+00
F007	0.00E+00
F008	0.00E+00
F010	0.00E+00
F011	0.00E+00
F012	0.00E+00
F013	0.00E+00
F014	0.00E+00
F015	0.00E+00
F016	0.00E+00
F017	0.00E+00
F018	0.00E+00
F019	0.00E+00
F020	0.00E+00
F021	0.00E+00
F022	0.00E+00
F023	0.00E+00
F024	0.00E+00
F026	0.00E+00
F027	0.00E+00
F029	0.00E+00
F031	0.00E+00
F034	0.00E+00
F036	0.00E+00
F037	0.00E+00
F038	0.00E+00
F039	0.00E+00
F041	0.00E+00
F042	0.00E+00
F043	0.00E+00
F044	0.00E+00
F045	0.00E+00
F046	0.00E+00
F048	0.00E+00
F050	0.00E+00
F052	0.00E+00
F053	0.00E+00
F054	0.00E+00
F055	0.00E+00
F056	0.00E+00
F057	0.00E+00
F058	0.00E+00
F059	0.00E+00
F059r	0.00E+00
SJ01	0.00E+00
SJ02	0.00E+00
SJ03	0.00E+00
SJ04	0.00E+00
SJ08	0.00E+00
SJ09	0.00E+00
SJ10	0.00E+00
SJ12	0.00E+00
SJ13	0.00E+00
SJ14	0.00E+00
SJ17	0.00E+00
SJ18	0.00E+00
SJ19	0.00E+00
SJ20	0.00E+00
SJ25	0.00E+00
SJ28	0.00E+00
SJ31	0.00E+00
SJ32	0.00E+00
SJ33	0.00E+00
T135	0.00E+00
