Samples	ID83A	ID83B	ID83C	ID83D	ID83E
C001	4.36E-01	6.61E-01	4.50E-01	6.24E-01	7.13E-01
C002	7.94E-01	8.52E-01	9.52E-01	9.15E-01	9.80E-01
C003	2.02E-01	3.47E-01	3.20E-01	2.60E-01	3.15E-01
C004	1.33E-01	2.33E-01	1.81E-01	1.93E-01	2.05E-01
C005	5.80E-01	8.99E-01	1.20E+00	1.15E+00	2.80E-01
C006	3.64E-01	5.18E-01	3.43E-01	4.28E-01	3.92E-01
C007	7.22E-01	1.13E+00	1.08E+00	1.16E+00	4.64E-01
C008	1.22E-02	3.40E-02	6.50E-02	5.62E-02	5.11E-02
C009	1.16E+00	1.54E+00	1.22E+00	1.12E+00	7.88E-01
C010	1.41E-01	1.76E-01	2.49E-01	2.40E-01	8.56E-02
C010r	2.94E-01	2.77E-01	1.25E-01	2.09E-01	1.85E-01
C011	1.30E-01	2.75E-01	2.35E-01	2.74E-01	2.30E-01
C013	1.34E-01	2.55E-01	7.16E-02	2.10E-01	3.41E-01
C014	2.62E-01	3.84E-01	2.41E-01	3.36E-01	3.27E-01
F001	2.85E-01	2.06E-01	2.67E-01	3.32E-01	1.99E-01
F002	1.71E-01	2.38E-01	1.56E-01	1.65E-01	2.14E-01
F002r	1.08E+00	9.56E-01	5.98E-01	1.09E+00	6.15E-01
F004	2.17E-01	3.95E-01	3.14E-01	3.66E-01	3.77E-01
F005	2.73E-02	1.98E-01	2.24E-01	1.79E-01	2.24E-01
F006	5.92E-02	9.11E-02	5.99E-02	4.73E-02	1.16E-01
F007	5.74E-01	1.42E+00	1.61E+00	1.38E+00	7.27E-01
F008	1.00E-02	2.21E-01	2.20E-01	1.86E-01	1.91E-01
F010	2.47E-01	2.91E-01	3.47E-01	3.37E-01	1.84E-01
F011	2.40E-01	4.00E-01	3.30E-01	3.25E-01	2.62E-01
F012	4.38E-02	1.91E-01	1.20E-01	1.46E-01	1.87E-01
F013	6.84E-02	1.97E-01	2.56E-01	2.51E-01	2.88E-01
