MutationType	SignatureA	SignatureB
ACA>AAA	0.000876022848967769	0.0227568687551746
ACC>AAC	0.00222011955198115	0.0159868939945041
ACG>AAG	0.000179727203343363	0.0254191360979326
ACT>AAT	0.00126505262139615	0.00975550161407823
CCA>CAA	0.00030502624241984	0.0227798879290481
CCC>CAC	0.00173825870212213	0.0111964079480181
CCG>CAG	9.19544808510908e-05	0.0201924609642031
CCT>CAT	9.99999987000003e-10	0.00418593956450282
GCA>GAA	0.00155626957873352	0.0198621483700174
GCC>GAC	0.000329319166879339	0.00761422286513001
GCG>GAG	0.000582768115379397	0.00845759510203909
GCT>GAT	9.99999987000003e-10	0.0106483002518397
TCA>TAA	6.50649746569654e-05	0.0140520309324425
TCC>TAC	0.00249718024174828	0.0173653782471937
TCG>TAG	9.99999987000003e-10	0.00768400009687095
TCT>TAT	5.83920548974847e-06	0.0238181153874485
ACA>AGA	0.00183905473936801	0.00364423978026019
ACC>AGC	0.00118795870763904	0.00174570382224151
ACG>AGG	0.000116771911776761	0.0722233573394441
ACT>AGT	0.00112668749093094	0.0202732618577501
CCA>CGA	2.35613219305068e-05	0.00575509348461669
CCC>CGC	7.45800381692624e-05	0.00689862005910449
CCG>CGG	0.000347295893343176	0.0121925139851684
CCT>CGT	9.99999987000003e-10	0.0082522150881243
GCA>GGA	9.44596535446487e-06	0.00996779091930248
GCC>GGC	0.000159316647103869	0.00260962715391985
GCG>GGG	0.00016480324898293	0.00871592837292895
GCT>GGT	9.99999987000003e-10	0.0123176802497759
TCA>TGA	9.99999987000003e-10	0.000414265843696733
TCC>TGC	0.000200366635997985	0.0116494465249628
TCG>TGG	6.96847183830898e-05	0.0265156985504633
TCT>TGT	0.00154917696666796	0.00615386498676834
ACA>ATA	0.0247184776796775	0.0253319493660281
ACC>ATC	0.00615401560022841	0.0118724028340144
ACG>ATG	0.370623893900154	0.0725229355778293
ACT>ATT	0.00946812821326173	0.0130698380428662
CCA>CTA	0.0019552964257682	0.00951257412401582
CCC>CTC	0.000262195446688814	1.66269017208094e-05
CCG>CTG	0.193380667884269	0.0347769304530281
CCT>CTT	0.000191624800733112	0.0116661240859833
GCA>GTA	0.00437331451239039	0.0115593396073135
GCC>GTC	9.01499076295061e-05	1.65917063956574e-05
GCG>GTG	0.216428363122162	0.022342959239843
GCT>GTT	3.76324710980901e-05	0.0129799958710168
TCA>TTA	0.00109760063631051	0.0109708213842441
TCC>TTC	3.68161355799252e-05	0.00788331090704401
TCG>TTG	0.110451282739769	0.0188117574252837
TCT>TTT	9.99999987000003e-10	0.00599199118587949
ATA>AAA	0.00078381162591606	0.0101826384495263
ATC>AAC	0.00220131412409248	0.00712425208320709
ATG>AAG	0.00111728054687489	0.00594842879442274
ATT>AAT	0.000179455597265891	0.0048241965987014
CTA>CAA	4.22647250116702e-05	0.00466184438247246
CTC>CAC	0.000387448804199115	0.00863261420369665
CTG>CAG	0.000318465385441773	0.00895877973441894
CTT>CAT	0.000257226109941445	0.0118937624216006
GTA>GAA	7.93494627037981e-05	0.00481693280092057
GTC>GAC	0.000126346021762315	0.00612614758359604
GTG>GAG	0.000242932684835011	0.00425546010358101
GTT>GAT	0.000257267497061552	0.00578375719807817
TTA>TAA	0.00652536113429761	0.016424134688218
TTC>TAC	9.99999987000003e-10	0.00511480981176701
TTG>TAG	2.77413164743511e-05	0.00909426138427552
TTT>TAT	0.00222100526914357	0.0138642538601902
ATA>ACA	0.00106794334031064	0.00706797623033393
ATC>ACC	0.0030008945906911	0.00199546561782117
ATG>ACG	0.000103887489446262	0.0143698999646341
ATT>ACT	0.00562882583773885	1.60164586310026e-05
CTA>CCA	9.99999987000003e-10	0.0108201017420875
CTC>CCC	0.00246468704961268	1.58954403991077e-05
CTG>CCG	0.000353850428268637	0.00307339986862471
CTT>CCT	4.21455087827138e-05	1.65765641548829e-05
GTA>GCA	0.00102607063841118	0.00210278357761096
GTC>GCC	0.00186091039804959	0.00271048934489974
GTG>GCG	0.00115541154982505	1.72857830583473e-05
GTT>GCT	7.10975679863901e-05	0.00224899108389192
TTA>TCA	0.000247614150185401	0.0162864498178529
TTC>TCC	0.00339697293677975	1.59061038013007e-05
TTG>TCG	0.000412156701904643	0.00191808165593701
TTT>TCT	0.00427420125128516	0.00940113069348732
ATA>AGA	0.000168519499571953	0.00421238938136077
ATC>AGC	0.000204337230352979	0.0020884027824776
ATG>AGG	0.000262658935581113	0.00278498671144367
ATT>AGT	0.000109830748053442	0.00340248043567471
CTA>CGA	3.48929706491697e-05	0.00140220665719981
CTC>CGC	0.000209005461807156	1.70283013651446e-05
CTG>CGG	0.000125813485606627	0.00450997777001666
CTT>CGT	0.000169175633846104	0.017606536949545
GTA>GGA	9.99999987000003e-10	0.00353750445273675
GTC>GGC	9.99999987000003e-10	0.00539056630363173
GTG>GGG	0.000343660871230016	0.00511145407752782
GTT>GGT	1.45585482833281e-05	0.0078745379777701
TTA>TGA	9.99999987000003e-10	0.00750914501647119
TTC>TGC	5.52133359340896e-05	1.72527319849956e-05
TTG>TGG	0.000577613839448093	0.000500582432689654
TTT>TGT	9.99999987000003e-10	0.0138218791207276
