MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
AC>CA	5.98E-04	1.16E-03	1.72E-03	2.20E-03	2.70E-03	1.56E-03	3.02E-03	8.74E-04	2.18E-03	2.42E-03
AC>CG	1.11E-06	4.24E-07	1.15E-06	6.50E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
AC>CT	6.96E-05	2.14E-04	1.79E-03	1.02E-03	2.14E-03	2.96E-03	3.26E-03	2.69E-03	2.87E-03	3.17E-03
AC>GA	1.11E-06	4.24E-07	1.15E-06	6.50E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
AC>GG	1.11E-06	4.24E-07	1.15E-06	6.50E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
AC>GT	7.74E-07	1.51E-04	1.15E-03	1.61E-03	2.82E-03	3.13E-03	4.15E-03	2.74E-03	6.20E-03	5.49E-03
AC>TA	7.90E-07	3.56E-07	1.90E-03	1.50E-03	1.72E-03	1.83E-03	5.71E-03	1.75E-03	3.36E-03	2.60E-03
AC>TG	2.02E-03	1.27E-03	2.02E-03	1.33E-03	2.41E-03	3.60E-03	2.64E-03	2.62E-03	4.42E-03	5.87E-03
AC>TT	4.30E-04	1.16E-04	1.35E-04	6.31E-07	6.44E-07	1.53E-06	1.50E-04	1.17E-06	6.26E-05	5.58E-05
AT>CA	1.11E-06	4.24E-07	1.15E-06	6.50E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
AT>CC	8.59E-07	1.35E-03	2.59E-03	1.18E-03	2.82E-03	1.98E-03	2.70E-03	7.72E-04	7.13E-04	4.50E-03
AT>CG	1.11E-06	4.24E-07	1.15E-06	6.49E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
AT>GA	8.44E-04	1.39E-04	2.91E-04	6.20E-07	6.33E-07	1.56E-06	3.87E-04	1.16E-06	2.62E-04	3.36E-04
AT>GC	4.33E-04	1.20E-04	8.53E-05	6.43E-07	6.74E-07	1.47E-06	1.59E-04	1.16E-06	2.56E-05	7.28E-05
AT>TA	1.00E-03	1.13E-03	8.82E-04	2.36E-03	7.43E-03	4.07E-03	5.03E-03	1.75E-03	8.48E-03	3.36E-03
CC>AA	4.48E-03	2.55E-03	1.78E-02	1.34E-03	2.43E-03	5.94E-03	4.03E-03	2.60E-03	3.34E-03	5.48E-03
CC>AG	7.30E-04	1.71E-03	7.08E-03	2.06E-03	1.89E-03	5.61E-03	2.63E-03	7.85E-04	4.70E-03	3.87E-03
CC>AT	1.83E-03	4.43E-03	2.39E-03	2.21E-03	2.50E-03	1.84E-03	2.00E-03	1.98E-03	2.17E-02	8.37E-04
CC>GA	7.32E-04	6.35E-05	1.85E-04	6.17E-07	6.79E-07	1.58E-06	2.65E-04	1.13E-06	1.17E-04	2.75E-04
CC>GG	4.43E-04	5.08E-07	9.05E-05	5.82E-07	6.88E-07	1.48E-06	2.00E-04	1.14E-06	5.13E-05	2.89E-04
CC>GT	3.80E-04	1.31E-03	1.51E-04	4.56E-04	6.43E-04	1.47E-06	4.21E-04	4.01E-04	1.98E-03	1.47E-06
CC>TA	8.73E-04	1.79E-03	3.50E-04	6.17E-07	5.97E-07	1.50E-06	1.04E-03	5.35E-04	1.15E-03	1.69E-06
CC>TG	4.68E-04	2.50E-05	8.93E-05	6.14E-07	6.50E-07	1.50E-06	1.49E-04	1.14E-06	3.54E-05	1.61E-06
CC>TT	9.51E-04	1.77E-03	7.75E-03	8.68E-04	2.86E-03	1.59E-02	3.12E-03	3.05E-03	7.23E-03	9.97E-03
CG>AT	7.12E-04	2.02E-04	1.79E-04	6.01E-07	6.61E-07	1.51E-06	2.90E-04	1.20E-06	6.72E-05	1.56E-04
CG>GC	1.11E-06	4.24E-07	1.15E-06	6.49E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
CG>GT	1.11E-06	4.24E-07	1.15E-06	6.49E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
CG>TA	1.11E-06	4.24E-07	1.15E-06	6.49E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
CG>TC	1.11E-06	4.24E-07	1.15E-06	6.49E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
CG>TT	8.83E-04	1.60E-03	3.28E-04	6.23E-07	6.08E-07	1.48E-06	1.13E-03	1.34E-04	1.21E-03	4.01E-04
CT>AA	4.40E-03	1.17E-02	5.38E-03	7.87E-04	1.82E-03	9.39E-04	1.11E-02	5.35E-03	5.98E-03	4.57E-03
CT>AC	1.82E-02	2.95E-03	2.34E-03	5.79E-07	1.24E-03	2.07E-03	3.71E-03	1.59E-03	4.20E-03	3.38E-03
CT>AG	8.19E-04	1.65E-03	1.79E-03	1.42E-03	1.10E-03	3.72E-03	5.75E-03	4.35E-03	3.62E-03	3.71E-03
CT>GA	4.16E-04	5.00E-05	1.22E-04	6.03E-07	6.69E-07	1.54E-06	1.27E-04	1.13E-06	1.66E-06	1.44E-06
CT>GC	4.67E-04	5.05E-07	1.37E-04	6.21E-07	6.65E-07	1.52E-06	1.48E-04	1.15E-06	1.68E-06	1.12E-04
CT>GG	6.53E-07	1.27E-03	6.20E-03	3.34E-03	2.22E-03	3.06E-03	4.06E-03	2.05E-03	1.11E-02	4.91E-03
CT>TA	1.13E-03	1.28E-03	3.70E-04	6.41E-07	6.32E-07	1.54E-06	9.42E-04	5.35E-04	3.33E-04	1.12E-04
CT>TC	6.63E-04	6.08E-04	3.72E-03	3.56E-03	4.37E-03	1.61E-03	1.65E-03	2.38E-03	4.09E-03	1.58E-02
CT>TG	1.11E-06	4.24E-07	1.15E-06	6.50E-07	7.10E-07	1.43E-06	1.47E-06	1.08E-06	1.59E-06	1.45E-06
