NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	243.876	95.095	38.603	70.707	0.908	0.467	60000.0
2	245.544	94.594	38.893	70.648	0.877	0.469	80000.0
3	245.987	95.785	38.721	70.869	0.904	0.467	40000.0
4	241.503	94.49	37.764	70.225	0.882	0.47	40000.0
5	244.425	95.854	38.547	71.079	0.895	0.463	60000.0
6	244.399	95.274	39.139	71.21	0.904	0.461	40000.0
7	243.024	94.833	38.442	70.567	0.887	0.471	60000.0
8	244.463	95.385	38.634	71.001	0.908	0.464	20000.0
9	245.351	95.598	38.256	70.805	0.888	0.462	40000.0
10	241.717	94.442	38.454	70.625	0.889	0.464	40000.0
11	242.458	94.717	38.451	70.526	0.88	0.475	20000.0
12	243.698	95.1	38.203	70.753	0.89	0.47	20000.0
13	244.757	95.209	38.584	70.875	0.876	0.468	80000.0
14	245.611	95.339	38.704	71.118	0.902	0.463	40000.0
15	244.662	94.819	38.726	70.756	0.884	0.473	40000.0
16	242.682	95.134	38.394	70.75	0.897	0.466	20000.0
17	243.848	96.154	38.281	70.948	0.906	0.464	40000.0
18	246.249	95.5	38.621	70.931	0.898	0.462	60000.0
19	244.311	95.208	39.071	71.24	0.91	0.451	60000.0
20	244.562	95.308	38.955	71.385	0.872	0.46	40000.0
21	245.362	95.753	38.791	70.733	0.905	0.474	20000.0
22	247.552	96.223	38.873	71.385	0.898	0.456	40000.0
23	245.668	95.977	39.078	71.532	0.922	0.454	20000.0
24	247.914	95.387	39.189	71.258	0.885	0.462	20000.0
25	244.019	94.876	38.895	70.922	0.886	0.465	20000.0
26	243.13	95.064	38.723	70.928	0.893	0.464	20000.0
27	246.276	95.368	38.572	71.074	0.892	0.464	40000.0
28	246.994	95.537	38.841	70.888	0.885	0.468	20000.0
29	244.677	95.905	38.167	70.817	0.897	0.464	20000.0
30	243.482	95.233	38.574	70.956	0.903	0.457	40000.0
31	247.356	95.846	39.224	71.322	0.906	0.459	20000.0
32	243.64	94.566	38.684	70.65	0.878	0.475	20000.0
33	243.721	94.836	38.744	70.967	0.892	0.463	20000.0
34	244.951	95.85	38.889	71.102	0.895	0.463	60000.0
35	244.058	96.119	38.266	71.098	0.907	0.463	40000.0
36	243.989	95.082	38.734	71.216	0.883	0.457	20000.0
37	247.348	95.348	38.877	71.04	0.892	0.458	40000.0
38	242.326	95.633	38.407	70.693	0.9	0.47	60000.0
39	245.347	95.253	38.589	70.852	0.887	0.466	20000.0
40	244.256	95.318	38.399	71.165	0.902	0.456	60000.0
41	247.268	95.733	39.215	71.106	0.892	0.467	60000.0
42	243.791	95.459	38.099	70.671	0.893	0.471	20000.0
43	244.241	95.793	38.527	71.051	0.913	0.459	40000.0
44	242.507	95.071	38.267	70.868	0.899	0.462	20000.0
45	243.32	95.908	38.776	71.348	0.912	0.455	40000.0
46	246.622	95.777	38.56	70.694	0.9	0.467	20000.0
47	244.315	95.67	38.796	71.165	0.906	0.457	80000.0
48	243.528	95.034	38.493	70.783	0.897	0.465	40000.0
49	246.171	95.669	38.883	71.064	0.91	0.457	60000.0
50	242.243	94.941	38.19	70.839	0.888	0.46	20000.0
