NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	2.814	112.323	1.323	70.016	1.124	0.623	40000.0
2	3.034	113.396	1.318	69.657	1.151	0.648	80000.0
3	3.257	119.286	1.494	73.14	1.212	0.599	40000.0
4	2.813	117.146	1.308	71.477	1.15	0.619	40000.0
5	3.02	117.695	1.319	71.131	1.191	0.617	40000.0
6	2.943	124.578	1.362	73.527	1.314	0.571	0.0
7	2.891	121.335	1.332	72.29	1.323	0.586	40000.0
8	3.085	123.024	1.376	74.912	1.241	0.595	80000.0
9	3.106	117.154	1.412	70.915	1.192	0.614	60000.0
10	2.997	116.005	1.323	69.291	1.195	0.637	60000.0
11	3.031	112.235	1.403	69.058	1.066	0.665	40000.0
12	3.05	114.672	1.341	70.065	1.148	0.643	40000.0
13	3.04	113.363	1.425	70.361	1.064	0.649	40000.0
14	2.573	105.443	1.208	64.764	1.012	0.699	40000.0
15	2.486	108.61	1.193	65.051	1.13	0.649	60000.0
16	2.696	110.737	1.252	67.397	1.224	0.635	40000.0
17	3.319	121.625	1.446	72.837	1.228	0.593	80000.0
18	2.878	112.314	1.27	68.34	1.113	0.646	40000.0
19	2.819	112.383	1.348	69.903	1.054	0.649	40000.0
20	2.754	122.418	1.283	74.317	1.207	0.602	40000.0
21	3.004	112.588	1.387	68.402	1.222	0.618	60000.0
22	3.117	122.486	1.404	73.646	1.227	0.602	60000.0
23	3.148	121.912	1.43	72.707	1.382	0.586	60000.0
24	2.894	110.818	1.265	67.441	1.166	0.648	60000.0
25	2.781	111.691	1.321	68.293	1.064	0.658	40000.0
26	2.361	99.218	1.098	61.17	1.037	0.688	60000.0
27	2.946	121.085	1.408	73.678	1.167	0.61	40000.0
28	3.159	117.327	1.375	70.104	1.284	0.609	80000.0
29	3.265	126.257	1.501	76.236	1.344	0.563	40000.0
30	2.951	115.77	1.357	72.63	1.213	0.615	80000.0
31	3.371	126.533	1.465	75.171	1.31	0.577	40000.0
32	2.959	124.922	1.346	73.801	1.313	0.583	60000.0
33	3.041	118.242	1.352	73.059	1.132	0.629	40000.0
34	2.742	114.202	1.26	70.379	1.191	0.61	60000.0
35	2.98	119.47	1.399	72.106	1.13	0.629	40000.0
36	3.454	125.817	1.514	75.33	1.283	0.584	60000.0
37	2.544	110.001	1.244	68.874	1.015	0.662	60000.0
38	3.097	116.804	1.399	71.211	1.157	0.634	80000.0
39	3.336	121.615	1.475	74.326	1.303	0.589	40000.0
40	2.979	120.017	1.472	72.903	1.232	0.6	80000.0
41	2.74	110.787	1.262	66.787	1.145	0.646	40000.0
42	2.77	118.333	1.264	71.924	1.196	0.604	40000.0
43	2.989	124.829	1.379	74.702	1.297	0.585	60000.0
44	2.933	113.912	1.365	68.989	1.303	0.621	40000.0
45	2.885	113.049	1.364	68.696	1.103	0.653	40000.0
46	2.969	122.058	1.405	74.004	1.221	0.602	60000.0
47	2.873	116.525	1.349	71.259	1.164	0.628	40000.0
48	2.907	112.978	1.361	68.512	1.139	0.631	0.0
49	2.679	106.664	1.287	65.036	1.045	0.668	60000.0
50	2.834	113.182	1.317	69.256	1.185	0.634	80000.0
51	2.744	114.94	1.325	71.501	1.131	0.623	80000.0
52	3.172	122.449	1.483	73.256	1.241	0.602	80000.0
53	3.284	118.207	1.547	72.524	1.166	0.623	60000.0
54	2.535	104.204	1.218	63.971	1.047	0.662	60000.0
55	2.757	112.825	1.292	69.305	1.109	0.648	60000.0
56	3.042	109.426	1.338	67.732	1.15	0.638	40000.0
57	2.426	100.509	1.164	61.418	0.98	0.679	80000.0
58	3.398	126.758	1.533	76.291	1.323	0.573	60000.0
59	2.592	107.691	1.245	67.241	1.032	0.665	60000.0
60	2.639	100.681	1.289	62.725	1.04	0.68	0.0
61	3.121	114.838	1.39	70.314	1.189	0.641	40000.0
62	3.066	128.007	1.421	75.632	1.319	0.564	60000.0
63	2.776	106.0	1.286	65.214	1.052	0.685	60000.0
64	2.788	113.332	1.328	68.243	1.251	0.615	60000.0
65	2.649	110.832	1.205	67.591	1.097	0.653	40000.0
66	2.836	118.881	1.331	73.421	1.284	0.592	0.0
67	2.891	116.511	1.347	69.759	1.129	0.659	60000.0
68	2.856	114.552	1.322	70.209	1.165	0.634	60000.0
69	2.827	111.653	1.342	68.688	1.103	0.668	40000.0
70	2.913	121.581	1.338	73.442	1.259	0.58	80000.0
71	3.094	111.386	1.361	68.692	1.104	0.65	40000.0
72	2.956	125.896	1.392	75.653	1.258	0.585	80000.0
73	2.941	117.348	1.35	72.22	1.206	0.61	0.0
74	2.841	112.921	1.394	69.53	1.178	0.63	80000.0
75	3.059	122.224	1.485	75.157	1.26	0.592	40000.0
76	2.683	105.899	1.229	65.047	1.051	0.671	60000.0
77	2.729	114.146	1.3	69.581	1.076	0.658	80000.0
78	3.131	118.173	1.397	71.794	1.215	0.615	40000.0
79	2.967	117.243	1.31	70.794	1.201	0.621	40000.0
80	2.862	118.888	1.3	70.952	1.207	0.617	60000.0
81	3.236	115.309	1.496	70.55	1.14	0.636	40000.0
82	2.691	118.039	1.283	70.9	1.256	0.613	40000.0
83	3.488	124.558	1.541	75.88	1.324	0.576	80000.0
84	3.132	121.357	1.422	73.509	1.254	0.593	40000.0
85	2.715	110.5	1.262	66.991	1.147	0.655	60000.0
86	2.867	119.439	1.368	71.88	1.183	0.626	40000.0
87	2.497	106.125	1.175	66.261	1.029	0.681	60000.0
88	2.905	118.309	1.391	72.01	1.139	0.616	40000.0
89	2.982	117.944	1.402	69.322	1.268	0.623	40000.0
90	2.647	110.383	1.247	68.875	1.124	0.65	40000.0
91	3.221	113.887	1.378	67.652	1.135	0.65	60000.0
92	2.672	110.183	1.309	67.496	1.063	0.654	0.0
93	3.014	118.724	1.441	72.45	1.179	0.63	40000.0
94	3.103	121.125	1.44	73.433	1.182	0.613	40000.0
95	3.113	110.866	1.371	67.107	1.135	0.652	40000.0
96	2.644	114.005	1.229	68.677	1.159	0.654	80000.0
97	2.844	109.569	1.355	68.483	1.135	0.651	40000.0
98	2.474	102.916	1.174	64.229	0.955	0.699	40000.0
99	3.039	111.52	1.499	70.209	1.064	0.645	60000.0
100	2.69	114.865	1.312	71.297	1.135	0.618	60000.0
101	3.292	126.644	1.483	75.035	1.256	0.58	60000.0
102	2.801	109.307	1.28	67.588	1.093	0.647	40000.0
103	2.545	104.267	1.192	63.458	1.129	0.662	40000.0
104	2.96	118.835	1.4	73.535	1.221	0.59	40000.0
105	2.791	118.852	1.301	73.118	1.251	0.604	40000.0
106	3.074	119.616	1.392	72.979	1.237	0.601	80000.0
107	3.047	119.644	1.452	72.786	1.219	0.606	80000.0
108	2.949	113.101	1.387	70.162	1.119	0.634	40000.0
109	2.941	119.994	1.43	73.515	1.188	0.614	40000.0
110	3.53	128.416	1.579	76.814	1.27	0.573	60000.0
111	2.56	108.694	1.208	66.881	1.073	0.651	40000.0
112	2.725	112.1	1.269	68.355	1.152	0.662	60000.0
113	2.796	114.768	1.349	71.108	1.138	0.622	40000.0
114	2.471	101.558	1.183	64.567	1.048	0.659	40000.0
