Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	1	0.643	1.684	168.4%	0.863	86.3%	1.8459	0.67
C002	3	0.968	2.625	87.5%	1.079	48.254%	0.58658	0.974
C005	3	0.614	3.688	122.933%	1.408	81.291%	1.67029	0.595
C006	1	0.08	1.961	196.1%	1.011	101.1%	3.9347	0.031
C007	2	0.993	1.471	73.55%	0.752	37.6%	0.45863	0.995
C009	5	0.505	7.282	145.64%	1.976	88.369%	1.89807	0.458
C011	1	0.36	1.81	181.0%	0.938	93.8%	2.35529	0.347
F002r	6	0.894	6.563	109.383%	1.857	58.723%	0.83371	0.906
F007	8	0.861	6.889	86.112%	1.676	53.0%	0.82056	0.85
F008	1	0.161	1.922	192.2%	0.99	99.0%	3.24633	0.123
F012	2	0.224	3.746	187.3%	1.381	97.651%	2.77151	0.164
F016	1	0.993	0.736	73.6%	0.376	37.6%	0.45863	0.995
F017	2	0.733	2.43	121.5%	1.002	70.852%	1.33249	0.727
F020	1	0.7	1.625	162.5%	0.835	83.5%	1.675	0.725
F022	2	0.729	2.469	123.45%	1.01	71.418%	1.43371	0.723
F026	16	0.912	9.742	60.888%	1.949	41.553%	0.37619	0.897
F031	1	0.692	1.635	163.5%	0.84	84.0%	1.70183	0.717
F036	5	0.757	5.04	100.8%	1.975	65.833%	1.02101	0.746
F038	1	0.902	1.317	131.7%	0.679	67.9%	1.07437	0.916
F042	3	0.778	3.469	115.633%	1.162	67.088%	1.10971	0.774
F043	2	0.717	1.946	97.3%	1.019	72.054%	1.68592	0.709
F045	4	0.72	3.786	94.65%	1.412	70.6%	1.38854	0.703
F046	1	0.072	1.964	196.4%	1.012	101.2%	4.02978	0.023
F052	1	0.302	1.854	185.4%	0.955	95.5%	2.61845	0.284
F054	1	0.36	1.81	181.0%	0.938	93.8%	2.35529	0.347
F055	5	0.809	5.57	111.4%	1.684	63.649%	1.12656	0.805
F057	1	0.742	1.642	164.2%	0.837	83.7%	1.7202	0.786
F058	10	0.931	6.884	68.84%	1.725	36.777%	0.65349	0.926
F059r	1	0.538	1.735	173.5%	0.892	89.2%	2.02285	0.551
SJ01	61	0.992	11.804	19.351%	2.542	12.508%	0.09138	0.991
SJ03	1	0.742	1.642	164.2%	0.837	83.7%	1.7202	0.786
SJ10	4	0.555	5.494	137.35%	1.725	86.25%	1.75693	0.525
SJ18	1	0.302	1.854	185.4%	0.955	95.5%	2.61845	0.284
SJ20	3	0.799	3.506	116.867%	1.148	66.28%	1.078	0.798
SJ28	1	0.976	1.025	102.5%	0.524	52.4%	0.71883	0.982
SJ31	1	0.538	1.735	173.5%	0.892	89.2%	2.02285	0.551
SJ32	4	0.802	4.559	113.975%	1.308	65.4%	1.02629	0.8
T135	203	0.999	12.857	6.333%	2.232	4.28%	0.01742	0.999
