Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
C001	2.68E+00	2.13E+00	1.19E+00	5.54E-01	2.50E+00
C002	4.85E+00	1.29E-01	1.40E+00	1.91E+00	5.60E+00
C003	1.98E+00	1.62E+00	7.57E-01	2.63E-01	1.17E+00
C004	3.76E-01	3.67E-01	1.57E-01	3.94E-01	1.95E-01
C005	4.37E+00	4.49E+00	1.32E+00	3.77E+00	3.34E+00
C006	2.15E+00	2.24E+00	4.93E-01	3.66E-01	9.33E-01
C007	3.27E+00	3.18E+00	9.28E-01	1.27E+00	1.15E+00
C008	0.00E+00	2.46E-01	1.72E-01	1.69E-01	1.11E-01
C009	3.99E+00	3.02E+00	1.46E+00	1.86E+00	3.85E+00
C010	3.54E-01	5.21E-01	2.32E-01	3.93E-01	2.41E-01
C010r	1.02E+00	8.10E-01	3.42E-01	1.64E-01	7.12E-01
C011	1.65E-01	4.91E-01	2.05E-01	5.38E-01	5.22E-01
C013	5.35E-01	9.23E-01	4.31E-01	9.20E-01	5.28E-01
C014	1.15E+00	1.07E+00	4.32E-01	5.95E-01	6.31E-01
F001	1.21E+00	1.04E+00	1.59E-01	6.63E-01	8.72E-01
F002	8.80E-01	8.34E-01	0.00E+00	4.46E-01	2.28E-01
F002r	3.26E+00	2.94E+00	1.16E+00	1.77E+00	2.46E+00
F004	6.32E-01	6.10E-01	8.77E-02	2.66E-01	3.42E-01
F005	9.09E-01	9.83E-01	1.67E-01	3.91E-01	5.32E-01
F006	2.28E-01	1.77E-01	0.00E+00	2.50E-02	2.00E-01
F007	1.10E+01	9.52E+00	2.78E+00	1.05E+01	1.25E+01
F008	1.70E+00	1.76E+00	2.75E-01	9.33E-01	7.55E-01
F010	1.36E+00	1.32E+00	3.99E-01	6.72E-01	6.61E-01
F011	3.05E-01	5.27E-01	2.28E-01	3.06E-01	2.36E-01
F012	1.05E+00	1.13E+00	4.09E-01	8.83E-02	3.03E-01
F013	4.66E-01	4.47E-01	2.04E-01	2.22E-01	2.35E-01
F014	1.49E+00	1.60E+00	5.03E-01	4.05E-01	5.19E-01
F015	3.71E+00	3.72E+00	1.02E+00	1.15E+00	1.77E+00
F016	1.86E+00	1.74E+00	7.05E-01	7.84E-01	8.01E-01
F017	2.70E+00	2.85E+00	1.26E+00	3.39E+00	3.19E+00
F018	1.37E-01	8.92E-01	0.00E+00	9.48E-01	2.86E-01
F019	1.95E-01	1.94E-01	0.00E+00	1.50E-01	1.59E-01
F020	2.93E+00	2.87E+00	9.32E-01	1.00E+00	1.54E+00
F021	2.41E-01	2.24E-01	1.05E-01	2.82E-02	6.68E-02
F022	2.34E+00	2.08E+00	7.95E-01	2.46E-01	1.31E+00
F023	2.64E-01	3.54E-01	1.98E-01	1.08E-01	1.59E-01
F024	1.20E-01	6.94E-02	2.43E-02	7.70E-02	8.78E-02
F026	7.93E+00	7.79E+00	1.91E+00	1.06E+01	1.26E+01
F027	4.66E-01	5.06E-01	2.18E-01	9.68E-02	1.83E-01
F029	2.60E+00	2.58E+00	8.04E-01	1.35E+00	1.22E+00
F031	4.31E+00	4.53E+00	1.33E+00	1.06E+00	1.62E+00
F034	1.45E+00	1.46E+00	4.43E-01	4.18E-01	5.15E-01
F036	4.27E+00	4.52E+00	1.11E+00	4.35E+00	4.16E+00
F037	2.33E-01	4.43E-02	1.36E-01	6.99E-02	2.47E-01
F038	2.08E+00	2.00E+00	4.22E-01	5.15E-01	6.68E-01
F039	1.68E+00	1.66E+00	3.84E-01	6.33E-01	7.96E-01
F041	3.25E+00	2.85E+00	1.17E+00	8.93E-01	3.10E+00
F042	2.28E+00	2.23E+00	8.47E-01	7.40E-01	1.29E+00
F043	2.23E+00	1.83E+00	6.51E-01	8.33E-01	1.37E+00
F044	7.81E-01	6.95E-01	1.12E-02	1.44E-01	3.56E-01
F045	2.52E+00	2.28E+00	8.23E-01	9.86E-01	1.19E+00
F046	4.10E-01	3.63E-01	1.85E-01	2.11E-01	3.28E-01
F048	5.52E-01	3.94E-01	4.92E-02	3.52E-01	5.80E-01
F050	1.58E-01	5.73E-02	1.34E-01	1.71E-01	1.56E-01
F052	8.83E-01	9.19E-01	2.66E-01	7.83E-02	2.69E-01
F053	1.62E+00	1.34E+00	4.00E-01	2.31E-01	9.32E-01
F054	6.43E-01	6.62E-01	1.77E-01	4.50E-02	2.21E-01
F055	4.45E+00	3.78E+00	1.69E+00	6.19E+00	4.62E+00
F056	8.66E-01	7.27E-01	3.70E-01	2.66E-01	4.86E-01
F057	2.17E+00	2.21E+00	7.74E-01	9.90E-01	1.33E+00
F058	3.76E+00	3.52E+00	1.53E+00	1.96E+00	3.22E+00
F059	4.97E-01	7.53E-01	0.00E+00	6.53E-01	4.16E-01
F059r	1.09E+00	1.41E+00	1.78E-01	1.25E+00	7.97E-01
SJ01	3.42E-01	5.29E+00	7.96E+00	9.86E+00	2.15E+00
SJ02	2.13E+00	2.02E+00	1.02E+00	8.77E-01	1.33E+00
SJ03	2.75E+00	2.72E+00	1.07E+00	1.72E+00	1.05E+00
SJ04	3.80E-01	8.49E-02	1.00E-02	9.61E-02	3.98E-01
SJ08	2.23E+00	2.15E+00	6.86E-01	8.83E-01	9.90E-01
SJ09	1.65E+00	1.63E+00	1.43E-01	5.55E-01	6.72E-01
SJ10	3.17E+00	3.14E+00	1.01E+00	3.59E+00	4.24E+00
SJ12	1.88E+00	1.65E+00	7.45E-01	9.57E-01	1.18E+00
SJ13	1.23E+00	4.15E-01	4.49E-01	7.53E-01	1.20E+00
SJ14	1.26E+00	1.04E+00	1.47E-01	8.43E-01	8.07E-01
SJ17	1.83E+00	1.19E+00	7.09E-01	1.11E+00	1.77E+00
SJ18	1.22E+00	1.19E+00	5.28E-01	5.09E-01	6.52E-01
SJ19	2.66E+00	2.79E+00	7.53E-01	6.35E-01	1.16E+00
SJ20	7.46E+00	3.95E+00	2.19E+00	3.60E+00	7.71E+00
SJ25	1.80E+00	1.38E+00	5.58E-01	1.54E+00	1.99E+00
SJ28	4.99E+00	3.92E+00	1.54E+00	2.39E+00	4.58E+00
SJ31	1.50E+00	1.23E+00	2.45E-01	7.88E-01	1.04E+00
SJ32	4.54E+00	4.39E+00	1.58E+00	4.44E+00	4.30E+00
SJ33	1.83E+00	1.77E+00	6.25E-01	3.13E-01	7.25E-01
T135	1.18E+01	1.62E+00	1.18E+01	1.02E+01	1.50E+01
