Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
C001	416	53	70	0	30
C002	529	0	60	108	33
C003	179	32	37	0	13
C004	6	5	0	10	0
C005	110	294	29	484	147
C006	79	185	13	0	2
C007	83	382	26	20	14
C008	0	8	4	0	0
C009	559	95	74	56	32
C010	0	22	2	6	5
C010r	20	18	9	0	16
C011	0	38	2	8	6
C013	0	56	3	24	3
C014	72	40	9	11	0
F001	48	60	1	15	15
F002	44	6	0	16	0
F002r	282	137	47	61	14
F004	0	57	0	2	8
F005	2	91	0	7	15
F006	4	1	0	0	3
F007	413	391	65	104	1086
F008	82	19	1	70	0
F010	38	62	11	6	7
F011	0	92	4	4	0
F012	40	51	15	0	0
F013	14	1	4	4	0
F014	23	162	5	0	8
F015	327	127	37	16	0
F016	90	123	13	13	0
F017	29	135	54	268	100
F018	0	33	0	25	0
F019	2	2	0	2	2
F020	274	50	35	25	0
F021	6	2	0	0	0
F022	200	68	26	0	12
F023	0	27	4	1	0
F024	4	0	0	0	0
F026	0	266	60	237	833
F027	4	26	0	1	0
F029	57	119	17	99	36
F031	342	178	130	0	0
F034	63	48	12	3	3
F036	76	188	4	349	119
F037	5	0	2	0	2
F038	70	75	19	1	11
F039	101	30	3	14	2
F041	538	98	59	8	0
F042	223	93	27	6	0
F043	89	66	16	15	74
F044	36	25	0	2	4
F045	85	104	25	37	55
F046	11	5	2	3	7
F048	13	2	0	5	8
F050	5	0	1	1	0
F052	27	11	6	0	0
F053	48	47	14	0	16
F054	21	14	6	0	0
F055	73	0	81	1001	0
F056	50	15	10	3	0
F057	168	185	26	21	11
F058	447	247	88	79	35
F059	0	208	0	7	2
F059r	0	274	0	33	12
SJ01	0	392	2087	284	0
SJ02	143	97	54	10	0
SJ03	104	294	17	55	0
SJ04	8	0	0	0	11
SJ08	57	197	9	15	18
SJ09	60	61	0	9	3
SJ10	24	116	18	186	250
SJ12	131	94	35	14	2
SJ13	88	0	6	22	10
SJ14	54	45	0	21	3
SJ17	256	0	25	39	15
SJ18	72	61	14	9	0
SJ19	141	114	34	3	12
SJ20	959	125	151	227	138
SJ25	30	24	10	14	126
SJ28	554	209	86	76	142
SJ31	72	26	0	18	8
SJ32	129	363	56	364	151
SJ33	100	29	26	0	0
T135	1333	0	2957	310	316
