MutationType	ID83A	ID83B
1:Del:C:0	7.07E-04	8.08E-04
1:Del:C:1	6.85E-04	7.39E-04
1:Del:C:2	4.54E-04	4.45E-04
1:Del:C:3	1.64E-04	2.12E-04
1:Del:C:4	2.28E-04	2.50E-04
1:Del:C:5	2.20E-04	1.53E-04
1:Del:T:0	8.06E-04	1.18E-03
1:Del:T:1	4.66E-04	7.19E-04
1:Del:T:2	5.10E-04	6.29E-04
1:Del:T:3	4.51E-04	3.63E-04
1:Del:T:4	4.52E-04	4.16E-04
1:Del:T:5	1.13E-03	8.75E-04
1:Ins:C:0	4.40E-04	3.44E-04
1:Ins:C:1	3.68E-04	3.92E-04
1:Ins:C:2	1.42E-04	1.62E-04
1:Ins:C:3	2.33E-04	2.04E-04
1:Ins:C:4	1.29E-04	1.11E-04
1:Ins:C:5	3.68E-04	3.58E-04
1:Ins:T:0	1.24E-03	1.13E-03
1:Ins:T:1	6.74E-04	8.05E-04
1:Ins:T:2	3.06E-04	3.83E-04
1:Ins:T:3	3.17E-04	3.20E-04
1:Ins:T:4	1.67E-04	7.21E-05
1:Ins:T:5	1.40E-03	1.36E-03
2:Del:R:0	4.50E-04	4.43E-04
2:Del:R:1	8.14E-04	6.40E-04
2:Del:R:2	3.35E-04	2.50E-04
2:Del:R:3	1.36E-04	1.95E-04
2:Del:R:4	7.13E-05	8.73E-05
2:Del:R:5	1.01E-04	3.41E-05
3:Del:R:0	3.04E-04	3.51E-04
3:Del:R:1	5.05E-04	3.76E-04
3:Del:R:2	2.50E-04	1.77E-04
3:Del:R:3	1.68E-04	1.27E-04
3:Del:R:4	8.57E-05	5.61E-05
3:Del:R:5	5.25E-05	8.70E-05
4:Del:R:0	1.49E-04	2.10E-04
4:Del:R:1	3.40E-04	3.35E-04
4:Del:R:2	1.71E-04	7.42E-05
4:Del:R:3	6.92E-05	1.07E-04
4:Del:R:4	2.52E-08	2.52E-08
4:Del:R:5	2.52E-08	2.52E-08
5:Del:R:0	5.44E-04	7.22E-04
5:Del:R:1	4.16E-04	4.16E-04
5:Del:R:2	1.09E-04	1.31E-04
5:Del:R:3	8.77E-05	1.17E-04
5:Del:R:4	2.93E-05	4.38E-05
5:Del:R:5	2.52E-08	2.52E-08
2:Ins:R:0	5.92E-04	4.41E-04
2:Ins:R:1	3.89E-04	4.11E-04
2:Ins:R:2	1.01E-04	1.83E-04
2:Ins:R:3	1.59E-04	1.66E-04
2:Ins:R:4	1.27E-04	1.20E-04
2:Ins:R:5	1.68E-04	2.16E-04
3:Ins:R:0	2.15E-04	2.26E-04
3:Ins:R:1	1.22E-04	1.84E-04
3:Ins:R:2	1.26E-04	1.12E-04
3:Ins:R:3	2.52E-08	2.52E-08
3:Ins:R:4	1.89E-05	6.59E-05
3:Ins:R:5	9.52E-05	7.83E-05
4:Ins:R:0	2.25E-04	2.06E-04
4:Ins:R:1	2.50E-04	2.70E-04
4:Ins:R:2	5.01E-05	6.42E-05
4:Ins:R:3	8.68E-05	7.93E-05
4:Ins:R:4	8.92E-05	1.29E-04
4:Ins:R:5	2.29E-04	2.53E-04
5:Ins:R:0	3.05E-04	5.22E-04
5:Ins:R:1	4.28E-04	4.32E-04
5:Ins:R:2	8.85E-05	1.40E-04
5:Ins:R:3	1.18E-04	1.02E-04
5:Ins:R:4	8.47E-05	1.66E-04
5:Ins:R:5	9.15E-05	1.26E-04
2:Del:M:1	9.29E-04	7.67E-04
3:Del:M:1	2.21E-04	3.31E-04
3:Del:M:2	4.14E-04	3.38E-04
4:Del:M:1	2.90E-04	3.15E-04
4:Del:M:2	2.58E-04	2.35E-04
4:Del:M:3	3.76E-04	3.33E-04
5:Del:M:1	7.41E-04	8.97E-04
5:Del:M:2	5.88E-04	8.27E-04
5:Del:M:3	2.87E-04	4.71E-04
5:Del:M:4	3.43E-04	3.93E-04
5:Del:M:5	4.86E-04	4.94E-04
