MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
4:Ins:R:5	5.98E-04	3.61E-04	5.45E-04	7.25E-04	1.23E-03	1.05E-03	1.20E-03
5:Ins:R:0	1.87E-03	1.76E-03	2.83E-04	9.61E-04	1.53E-03	1.75E-03	3.08E-03
5:Ins:R:1	9.21E-04	8.84E-04	1.58E-03	1.22E-03	1.69E-03	2.30E-03	2.37E-03
5:Ins:R:2	2.58E-04	2.30E-04	7.16E-05	2.22E-04	2.17E-04	4.39E-04	3.60E-04
5:Ins:R:3	1.63E-04	1.16E-04	2.61E-04	2.82E-04	3.93E-04	3.83E-04	4.81E-04
5:Ins:R:4	4.45E-04	2.26E-04	2.07E-04	2.13E-04	3.28E-04	9.60E-05	4.61E-04
5:Ins:R:5	2.39E-04	1.54E-04	1.93E-04	1.76E-04	1.68E-04	3.59E-04	3.29E-04
2:Del:M:1	7.27E-04	1.52E-03	1.86E-03	4.05E-03	2.93E-03	3.79E-03	4.17E-03
3:Del:M:1	8.67E-04	7.11E-04	7.72E-04	4.87E-04	6.48E-04	3.32E-04	9.09E-04
3:Del:M:2	9.71E-04	7.02E-04	2.03E-03	1.55E-03	2.55E-03	1.24E-03	3.00E-03
4:Del:M:1	5.32E-04	6.72E-04	7.13E-04	6.84E-04	1.04E-03	6.43E-04	1.17E-03
4:Del:M:2	3.64E-04	5.58E-04	5.22E-04	1.28E-03	5.72E-04	1.04E-03	9.48E-04
4:Del:M:3	5.05E-04	4.49E-04	8.42E-04	1.89E-03	2.23E-03	1.18E-03	2.42E-03
5:Del:M:1	2.37E-03	2.01E-03	1.85E-03	2.04E-03	2.40E-03	7.60E-04	2.26E-03
5:Del:M:2	2.08E-03	2.33E-03	2.17E-03	1.53E-03	1.18E-03	2.10E-04	1.22E-03
5:Del:M:3	1.31E-03	1.20E-03	4.92E-04	1.12E-03	8.63E-04	5.24E-04	1.37E-03
5:Del:M:4	9.31E-04	5.47E-04	1.27E-03	1.28E-03	9.16E-04	7.55E-04	1.53E-03
5:Del:M:5	1.10E-03	1.37E-03	1.03E-03	1.17E-03	1.65E-03	2.33E-03	1.90E-03
