MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	0.09006046567577869	0.053444755704449565	0.02147429477177443	0.043077210271783316	0.03178747533233036	0.08994854920078069	0.051776207412515304
1:Del:C:1	0.029473409753296435	0.07531509312337448	0.013523727049568777	0.020466194209133304	0.04209815472637507	0.005081549861620261	0.01624894773529931
1:Del:C:2	0.0020653474343944466	0.019045412234173612	0.02630871347784247	0.0075081661334912295	0.014823891471693287	0.0014554259635625754	0.0070673562599642996
1:Del:C:3	0.005281136998550124	0.004368201044256139	0.0028814025608756033	0.005912344180521814	0.0042962950811918435	0.00019042324538574463	0.0032382054629796287
1:Del:C:4	0.0007596626547248372	0.008453937423961158	0.002675634752571412	0.005226699343244992	0.004329207206384922	0.006975643251824621	0.005672672480232705
1:Del:C:5	0.0002453613016766987	0.004161584209343943	0.009313836585704394	0.005243852136209157	0.008836822931476309	0.00850881226888868	0.007569764811305948
1:Del:T:0	0.06016383699651385	0.17351124517310382	0.016227762847627395	0.01050999470683621	0.014560044780060722	0.009881630423916335	0.01685160302794543
1:Del:T:1	0.04273902321051665	0.08090343433074082	0.010786640916314809	0.0050641842209445545	0.009578338059499173	0.005195045048314455	0.011872585824498003
1:Del:T:2	0.036785951311478014	0.020238423603327078	0.012301524508444003	0.024719464256951085	0.01965818566087421	0.002101231643201018	0.01928463035597318
1:Del:T:3	0.005213231307404609	0.004709363407507352	0.021958204316151184	0.04389371175719191	0.010813927902152685	0.02414562600882107	0.016374737234860392
1:Del:T:4	2.224101825577307e-05	0.016993016752335312	0.028516068482392642	0.014232111717679458	0.014964435763694724	0.016305999088183754	0.009477547576489798
1:Del:T:5	0.0008603191522225018	0.02077302852720841	0.21790371315553783	0.019938563148865215	0.04001850401983518	0.0021658089072033706	0.018695527097191467
1:Ins:C:0	0.0050770934447157854	0.011221158454812325	0.02024064300286753	0.028421555545443625	0.042542176938068534	0.037247306292800035	0.05149420017409625
1:Ins:C:1	0.0062009178417543435	0.009790020350897918	0.007085013607616517	0.001537935125766552	0.015557826370310864	0.012390006384094363	0.014029403732743927
1:Ins:C:2	0.004017917899449195	0.0004193810533287845	0.005295654194008997	0.0023894979768347467	0.00356257484183633	0.0019982403001990432	0.007959617597372102
1:Ins:C:3	0.00025869377593730464	0.0034093756937145516	0.013952003546487077	0.001364229847933167	0.00824485483412669	0.0002783876391573248	0.002569683105991203
