Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	1	0.192	1.905	190.5%	0.983	98.3%	3.04226	0.159
C002	3	0.718	3.583	119.433%	1.675	74.908%	1.18015	0.718
C005	3	0.558	4.417	147.233%	1.445	83.427%	1.94608	0.534
C006	1	0.028	1.986	198.6%	1.024	102.4%	4.97163	-0.027
C007	2	0.849	2.885	144.25%	1.484	74.2%	1.27784	0.869
C009	5	0.461	7.402	148.04%	2.075	92.797%	2.068	0.412
C011	1	0.099	1.935	193.5%	1.021	102.1%	3.42312	0.065
F002r	6	0.53	9.224	153.733%	2.688	85.002%	1.6139	0.497
F007	8	0.687	9.693	121.162%	2.308	72.985%	1.19521	0.652
F008	1	0.056	1.963	196.3%	1.035	103.5%	3.99583	0.018
F012	2	0.068	3.91	195.5%	1.46	103.238%	3.79261	-0.011
F016	1	0.849	1.443	144.3%	0.742	74.2%	1.27784	0.869
F017	2	0.481	3.324	166.2%	1.254	88.671%	2.0296	0.464
F020	1	0.583	1.71	171.0%	0.879	87.9%	1.93149	0.601
F022	2	0.643	2.808	140.4%	1.113	78.701%	1.91552	0.634
F026	16	0.642	18.674	116.712%	3.779	80.569%	1.02259	0.571
F031	1	0.151	1.901	190.1%	1.004	100.4%	3.00355	0.12
F036	5	0.315	8.581	171.62%	2.894	96.467%	2.32217	0.267
F038	1	0.553	1.725	172.5%	0.887	88.7%	1.98377	0.567
F042	3	0.62	3.886	129.533%	1.362	78.635%	1.56996	0.6
F043	2	0.624	2.842	142.1%	1.128	79.762%	2.20741	0.614
F045	4	0.661	4.76	119.0%	1.501	75.05%	1.57346	0.637
F046	1	0.023	1.985	198.5%	1.045	104.5%	4.90553	-0.018
F052	1	0.132	1.914	191.4%	1.011	101.1%	3.14211	0.099
F054	1	0.099	1.935	193.5%	1.021	102.1%	3.42312	0.065
F055	5	0.711	6.938	138.76%	1.951	73.741%	1.53866	0.702
F057	1	0.296	1.847	184.7%	0.956	95.6%	2.56903	0.276
F058	10	0.884	10.001	100.01%	2.358	50.273%	0.88596	0.879
F059r	1	0.116	1.942	194.2%	1.002	100.2%	3.54733	0.073
SJ01	61	0.961	28.261	46.33%	6.744	33.185%	0.22868	0.961
SJ03	1	0.296	1.847	184.7%	0.956	95.6%	2.56903	0.276
SJ10	4	0.245	7.06	176.5%	1.995	99.75%	2.75623	0.161
SJ18	1	0.132	1.914	191.4%	1.011	101.1%	3.14211	0.099
SJ20	3	0.551	4.436	147.867%	1.451	83.774%	1.95858	0.527
SJ28	1	0.379	1.752	175.2%	0.927	92.7%	2.08608	0.364
SJ31	1	0.116	1.942	194.2%	1.002	100.2%	3.54733	0.073
SJ32	4	0.722	4.44	111.0%	1.39	69.5%	1.15233	0.704
T135	203	0.991	34.444	16.967%	7.625	14.623%	0.03959	0.989
