MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	0.08790064563974738	0.039782526562814835	0.021825841606198538	0.05027077569788162	0.08047914053275235
1:Del:C:1	0.036862608048063523	0.020817022392440522	0.026252337142435495	0.05561858052124819	0.008763858844078811
1:Del:C:2	0.0029773252692243003	0.008289012416000538	0.027278343985263975	0.01627218308552063	0.0007998487911308194
1:Del:C:3	0.004822955205926043	0.005442754272583841	0.002990778934696863	0.004156807928349621	0.0010696558860021988
1:Del:C:4	0.0014199575193355684	0.004642349184080317	0.003258074483062927	0.007309752320465783	0.007385266199392468
1:Del:C:5	0.0002628428693403606	0.005047747136392467	0.009281278005992561	0.006557839217478509	0.009512807578039996
1:Del:T:0	0.08355381396986615	0.009666364032073745	0.02073421018347462	0.09719869556377503	0.013978239558027213
1:Del:T:1	0.055122449698424135	0.0059617192875384365	0.010504209378249491	0.04634389146388003	0.005339619518751988
1:Del:T:2	0.03613470994925592	0.024546286511320473	0.011508024429222701	0.020249832019820266	0.0038516029213258207
1:Del:T:3	0.0039019799769398843	0.03548777994745265	0.015147427398231725	0.01029610017581792	0.026731005573590032
1:Del:T:4	0.00034194818133371997	0.011372230993343564	0.02651209200537167	0.01749591290612865	0.01651618967732901
1:Del:T:5	6.442836719244838e-08	0.03420088686062584	0.16713724759863907	0.0257998786697728	0.003509656338744378
1:Ins:C:0	0.005056494105010892	0.03976490556628448	0.024934653718239906	0.024665714021067018	0.04247673668992505
1:Ins:C:1	0.006443961501341633	0.0037904569733727554	0.01367769656427868	0.011492289873238607	0.010797851760285013
1:Ins:C:2	0.0034719955017174266	0.003614537312088828	0.004266244643929724	0.00287774434991148	0.0034945449205081225
1:Ins:C:3	9.463407157999316e-05	0.0019712913488166973	0.014723841645675008	0.004251983658449774	0.00037592645586357774
1:Ins:C:4	0.0016479084871790662	0.005733132370391054	0.0022313407189161615	0.0019834098128204756	0.001995011706110734
1:Ins:C:5	0.0010589588020690499	0.007925727906239927	0.010239566089596117	0.013445560236435306	0.0026707205579122473
1:Ins:T:0	0.01129767918717306	0.018854377054693998	0.004020329536416796	0.01193374637363263	0.16470672173425555
1:Ins:T:1	0.0516323892565515	0.025519976348780348	0.005626697717965499	0.02785268247339303	0.03147115886239846
1:Ins:T:2	0.015250931169483267	0.007810230328714596	0.004086801205184401	0.008175725859731316	0.011398623174716249
1:Ins:T:3	0.007569811901705634	0.006299205172066209	0.017978893083380996	0.013282228911076803	0.007732741226464448
1:Ins:T:4	5.178780098610502e-05	0.00482995724079359	0.0065436930980103366	0.0028441354416105648	0.002445534429223244
1:Ins:T:5	0.015904584820200397	0.05679684892195183	0.17203818318736921	0.1073381448507746	0.006287992570368601
2:Del:R:0	0.021806549166212788	0.02148283862776452	0.014335965936983825	0.022259782494015782	0.028054960370493803
2:Del:R:1	0.020243728215141345	0.12426842477521859	0.02380812414841216	0.02482839748244274	0.025154362044259047
2:Del:R:2	0.0020032587121907143	0.01989254816444296	0.014278904283193424	0.010232919494841397	0.00484414714579497
2:Del:R:3	0.006132023755811034	0.002867984175188134	0.0015133159309168942	0.0034745244598292846	0.003007740521423621
2:Del:R:4	0.0005045487781995916	0.0009210692324615266	0.0013977122354190995	0.0012986025853381378	0.0007867326240199901
2:Del:R:5	1.4708776628902244e-07	0.004067106686226971	0.003943398281473165	0.0009488039946302169	0.0005178740751845012
3:Del:R:0	0.01082170378418141	0.0052965521004565376	0.001413036961710894	0.008840263293792346	0.018309760405309846
3:Del:R:1	0.007019353896287157	0.04964556718381175	0.04956265915086334	0.016297397902825035	0.00906150795512275
3:Del:R:2	0.00039583200957553187	0.009700779555251842	0.0024759501874988387	0.0028554937621232315	0.013661967018827284
3:Del:R:3	8.595359583643436e-05	0.005548073718903146	0.002023063346035503	0.003722116765040866	0.005588313882159923
3:Del:R:4	8.772334063315456e-05	0.0018309251167085705	0.0016350940998319174	0.0012190753576282987	0.00038826034281562726
3:Del:R:5	0.0018395534903545218	0.000948468982232562	0.0005049082214825651	0.000693258679859543	0.0004618103350394165
4:Del:R:0	0.010314591557132644	0.003838415367826471	0.004075283755964403	0.0036702788483475236	0.0008653213890992629
4:Del:R:1	0.00589575434244395	0.01228988149696344	0.004682556519160191	0.009075605130650217	0.016940261743776688
4:Del:R:2	0.0003759882852307328	0.009375729206867191	0.0027569717863218024	0.002384689660535315	0.004711379263001518
4:Del:R:3	0.0015946321128983776	0.0008218993923978601	0.00027228553479735407	0.001035273152300671	0.0030179847694206787
4:Del:R:4	6.897407791317534e-07	3.4821533816398187e-06	2.7582787524238484e-06	2.4998886335936275e-06	4.926317217268661e-06
4:Del:R:5	6.897407791317534e-07	3.4821533816398187e-06	2.7582787524238484e-06	2.4998886335936275e-06	4.926317217268661e-06
5:Del:R:0	0.05924460468745565	0.01587391948157979	0.012750679365298083	0.011143102577321429	0.00941962275217314
5:Del:R:1	0.005913399306635512	0.015048574326127379	0.001983688754055173	0.00738471178738159	0.022422407813437885
5:Del:R:2	0.003106041216928723	0.0029270122970088863	0.0002075923599104268	0.0013322194242298946	0.0028368371080461268
5:Del:R:3	0.0023099749048113693	0.00215811846660813	0.00015480988476568758	0.0009400010996786179	0.002229741366972178
5:Del:R:4	0.000436272398394566	0.0004124268726430813	0.00013250073825819443	0.00028471756013274783	0.00039154216671306586
5:Del:R:5	6.897407791317534e-07	3.4821533816398187e-06	2.7582787524238484e-06	2.4998886335936275e-06	4.926317217268661e-06
2:Ins:R:0	0.0022755262478208137	0.016281434506576674	0.01540342067402193	0.015722969169902113	0.058471788804898776
2:Ins:R:1	0.006276029873068154	0.010170433307738164	0.005733646326629156	0.01073731416959305	0.02153971271030798
2:Ins:R:2	0.007672671047965238	0.0012140325381416184	0.0022946994854409295	0.004293661846593606	0.0014615192699924506
2:Ins:R:3	0.0051373508485419	0.0037788177742840647	0.0022654271552266492	0.0017885203944437223	0.003058134120469873
2:Ins:R:4	0.00048629502523446445	0.001745647386617506	0.0017951329411734784	0.002758228675261593	0.003067292821868719
