Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
F058	5.08E-01	8.06E-01	1.05E+00	1.22E+00	1.08E+00	6.29E-01	6.85E-01
F059	8.25E-02	3.20E-01	4.25E-01	1.53E-01	4.74E-01	3.60E-01	3.91E-01
F059r	2.75E-01	6.48E-01	7.86E-01	6.72E-01	1.12E+00	1.28E-01	5.64E-01
SJ01	3.37E+00	5.26E+00	2.38E+00	4.03E-01	2.83E+00	3.50E-01	7.82E-01
SJ02	1.82E-01	2.44E-01	1.86E-01	1.85E-01	2.89E-01	1.44E-01	1.97E-01
SJ03	4.74E-01	5.18E-01	3.40E-01	5.21E-01	4.76E-01	4.27E-01	5.24E-01
SJ04	1.64E-02	1.41E-02	4.73E-02	3.93E-02	5.38E-02	4.55E-02	6.53E-02
SJ08	2.06E-01	3.47E-01	3.76E-01	4.24E-01	3.86E-01	3.39E-01	3.78E-01
SJ09	2.06E-01	1.76E-01	1.77E-01	3.21E-01	4.10E-01	5.04E-01	4.53E-01
SJ10	2.44E-01	2.04E-01	2.41E-01	3.86E-01	2.30E-01	2.79E-01	3.59E-01
SJ12	2.42E-01	3.42E-01	2.54E-01	4.07E-01	5.00E-01	2.62E-01	4.03E-01
SJ13	7.86E-02	9.51E-02	7.30E-02	5.20E-02	9.40E-02	3.61E-02	7.50E-02
SJ14	1.23E-01	9.18E-02	1.63E-01	1.30E-01	9.74E-02	1.46E-01	1.24E-01
SJ17	2.05E-01	2.66E-01	2.41E-01	5.01E-01	3.65E-01	4.59E-01	5.45E-01
SJ18	1.39E-01	2.07E-01	7.28E-02	1.40E-01	1.12E-01	1.84E-01	1.52E-01
SJ19	9.44E-02	2.37E-01	4.51E-01	2.69E-01	4.28E-01	4.30E-01	4.00E-01
SJ20	4.74E-01	4.83E-01	8.00E-01	1.49E+00	9.63E-01	8.11E-01	8.03E-01
SJ25	8.69E-02	1.88E-01	1.47E-01	2.29E-01	1.93E-01	2.54E-01	1.93E-01
SJ28	1.27E+00	7.39E-01	1.10E+00	1.86E+00	7.76E-01	1.52E+00	1.43E+00
SJ31	1.70E-01	4.25E-01	9.70E-02	9.60E-01	2.77E-01	1.34E+00	1.06E+00
SJ32	1.42E+00	1.42E+00	7.58E-01	5.31E-01	9.53E-01	6.58E-01	1.16E+00
SJ33	1.58E-01	2.25E-01	2.06E-01	3.49E-01	3.08E-01	2.58E-01	2.54E-01
T135	7.95E+00	7.35E+00	0.00E+00	1.11E+00	1.35E+00	1.15E+00	2.80E+00
