Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
C001	0	16	1	9	0	4	9
C002	19	3	15	2	12	25	0
C003	2	0	10	2	0	9	0
C004	0	1	0	3	0	5	1
C005	16	2	45	5	8	0	0
C006	1	5	8	13	0	1	1
C007	15	0	2	23	31	0	0
C008	0	0	0	0	2	0	0
C009	30	0	24	40	3	0	0
C010	0	3	3	0	4	0	0
C010r	5	0	0	3	0	1	2
C011	0	0	0	0	11	1	0
C013	0	2	0	0	0	15	0
C014	0	0	0	6	0	0	11
F001	0	5	2	0	0	0	8
F002	0	0	0	1	0	0	8
F002r	19	8	0	3	0	0	35
F004	0	1	0	0	3	2	13
F005	0	1	0	0	4	3	3
F006	0	0	0	0	0	5	0
F007	0	9	72	0	5	0	32
F008	0	0	0	0	6	0	3
F010	1	3	0	0	12	1	0
F011	1	0	0	4	9	1	3
F012	0	0	0	6	1	0	1
F013	0	0	4	0	1	6	2
F014	0	1	4	13	0	3	0
F015	15	0	8	15	10	0	0
F016	4	0	0	5	17	0	0
F017	2	7	17	0	19	10	0
F018	0	4	0	0	2	4	2
F019	0	0	2	3	0	3	0
F020	0	0	3	18	11	0	0
F021	2	0	0	0	6	3	0
F022	0	0	3	19	14	4	1
F023	0	0	0	0	2	0	0
F024	0	1	0	0	2	6	0
F026	11	1	40	4	0	2	2
F027	2	0	3	0	2	3	0
F029	0	0	28	2	0	0	0
F031	19	1	6	2	7	12	13
F034	0	0	0	0	0	4	13
F036	0	1	29	0	2	12	4
F037	0	5	0	0	0	0	0
F038	1	0	0	0	0	15	1
F039	0	2	0	0	16	5	0
F041	0	6	0	21	13	5	1
F042	8	0	0	24	4	1	0
F043	2	3	1	13	0	0	5
F044	0	0	5	0	0	0	11
F045	0	2	5	16	1	0	4
F046	0	0	0	3	0	0	0
F048	0	0	2	0	1	5	1
F050	1	0	0	0	2	0	0
F052	1	0	0	0	2	3	0
F053	3	0	2	3	0	5	0
F054	0	0	3	2	6	4	0
F055	2	9	49	0	21	0	0
F056	1	3	0	0	0	0	0
F057	0	6	0	9	18	0	12
F058	0	20	23	38	7	6	0
F059	0	0	1	0	19	4	0
F059r	3	2	0	0	44	0	0
SJ01	0	238	20	0	5	0	0
SJ02	2	4	0	0	5	1	2
SJ03	0	19	1	7	0	0	14
SJ04	0	0	0	0	0	0	2
SJ08	0	8	11	3	0	2	1
SJ09	0	0	0	0	7	11	6
SJ10	5	0	4	4	1	4	2
SJ12	0	7	0	5	12	0	0
SJ13	2	2	0	0	0	0	0
SJ14	2	0	5	0	0	0	0
SJ17	1	1	0	1	0	0	24
SJ18	0	5	0	0	0	4	0
SJ19	0	0	9	0	8	11	0
SJ20	0	4	7	60	1	10	0
SJ25	0	4	2	4	0	5	0
SJ28	32	0	11	49	0	45	0
SJ31	0	8	0	5	0	52	0
SJ32	24	35	16	0	0	0	30
SJ33	2	1	0	5	7	3	0
T135	421	49	0	0	0	13	0
