MutationType	DBS2	DBS4	DBS5	DBS16	DBS18
CT>AC	0.00000000	0.00000000	0.20933153	0.08341060	0.02636074
CT>AG	0.00059512	0.00036603	0.02674235	0.03329997	0.00732624
CT>GA	0.00001835	0.00067861	0.01612554	0.00112020	0.00367710
CT>GC	0.00013585	0.00007277	0.00485769	0.00890570	0.00123452
CT>GG	0.00009102	0.00093372	0.00057090	0.00412983	0.00200147
CT>TA	0.00342675	0.00000000	0.00334530	0.01786831	0.00959962
CT>TC	0.00003892	0.00000000	0.00023738	0.09337737	0.00637236
CT>TG	0.00039540	0.00003104	0.00087539	0.00650774	0.00261720
GC>AA	0.00509570	0.32722945	0.00013180	0.01555792	0.03474690
GC>AG	0.00032600	0.01127345	0.00263599	0.00750497	0.04218956
GC>AT	0.00095595	0.00921829	0.00155583	0.00403931	0.05056220
GC>CA	0.00106328	0.01187204	0.00453866	0.00373749	0.02336157
GC>CG	0.00006709	0.00000098	0.00032008	0.00124688	0.00193042
GC>TA	0.00073827	0.01765842	0.00022000	0.00066259	0.01897671
TA>AT	0.00275051	0.03024074	0.00184775	0.00833289	0.01039342
TA>CG	0.00001890	0.00038696	0.00000780	0.00123927	0.00191531
TA>CT	0.00028005	0.00867432	0.00224300	0.01075995	0.01108163
TA>GC	0.00008220	0.00006980	0.00005158	0.00089182	0.00026098
TA>GG	0.00007890	0.00220837	0.00161061	0.00092544	0.00372367
TA>GT	0.00130024	0.00801778	0.00188728	0.00579023	0.00699299
TC>AA	0.00146256	0.38021009	0.04025775	0.07241784	0.00368606
TC>AG	0.00020173	0.00187597	0.01484754	0.00979530	0.01188627
TC>AT	0.00000000	0.00843685	0.00074537	0.02534874	0.07378646
TC>CA	0.00068791	0.08487012	0.00142496	0.01399466	0.01886393
TC>CG	0.00000392	0.00040128	0.00000000	0.00025852	0.00219888
TC>CT	0.00337902	0.00000830	0.00104630	0.00754156	0.02558988
TC>GA	0.00089267	0.03651622	0.00002452	0.00400824	0.00190653
TC>GG	0.00000995	0.00001043	0.00003468	0.00223702	0.00184426
TC>GT	0.00008642	0.00000000	0.00003847	0.00426136	0.00814675
TG>AA	0.00298486	0.00765237	0.01793196	0.00716235	0.01007549
TG>AC	0.00022185	0.00011835	0.00145448	0.00079804	0.00452778
TG>AT	0.00432604	0.00000000	0.02032288	0.00893987	0.02704378
TG>CA	0.00014521	0.00080636	0.00047420	0.00544640	0.01578012
TG>CC	0.00005989	0.00012035	0.00050409	0.00242095	0.00379295
TG>CT	0.00309579	0.00008230	0.00032676	0.00983591	0.01060374
TG>GA	0.00148235	0.00787301	0.00325764	0.00118758	0.00077336
TG>GC	0.00027429	0.00060577	0.00029090	0.00140419	0.00083324
TG>GT	0.00645376	0.00003238	0.08238737	0.02895226	0.00311052
TT>AA	0.00435596	0.00001809	0.00491241	0.03355487	0.02736909
TT>AC	0.00034868	0.00000066	0.00096451	0.00866562	0.01755536
TT>AG	0.00021729	0.00000000	0.00089162	0.03067411	0.00808552
TT>CA	0.00000000	0.00000000	0.00000000	0.08958030	0.01705367
TT>CC	0.00000301	0.00000000	0.00077181	0.00000192	0.00000021
TT>CG	0.00001536	0.00000000	0.00000000	0.01116594	0.00384445
TT>GA	0.00004840	0.00000000	0.00002986	0.00814636	0.00136399
TT>GC	0.00000156	0.00000000	0.00005652	0.01328328	0.00271459
TT>GG	0.00000000	0.00000000	0.00000000	0.00027434	0.00000040
