Samples	SBS96A	SBS96B	SBS96C	SBS96D
C001	8.47E+00	8.74E+00	1.22E+00	4.60E-01
C002	7.52E+00	8.60E+00	1.47E+00	2.55E+00
C003	4.01E+00	4.18E+00	7.64E-01	3.48E-01
C004	3.32E-01	3.97E-01	1.83E-01	4.02E-01
C005	4.55E+00	5.27E+00	1.42E+00	3.53E+00
C006	2.86E+00	2.77E+00	4.93E-01	1.01E+00
C007	3.87E+00	3.95E+00	8.76E-01	2.93E+00
C008	3.91E-02	3.05E-01	1.76E-01	2.58E-01
C009	1.01E+01	1.10E+01	1.60E+00	1.81E+00
C010	3.51E-01	5.08E-01	2.30E-01	3.85E-01
C010r	8.36E-01	8.04E-01	3.38E-01	4.28E-01
C011	2.89E-01	6.22E-01	2.20E-01	5.02E-01
C013	5.59E-01	9.97E-01	4.73E-01	1.01E+00
C014	1.78E+00	1.68E+00	4.74E-01	5.56E-01
F001	1.31E+00	1.30E+00	1.77E-01	6.23E-01
F002	1.28E+00	1.25E+00	0.00E+00	4.35E-01
F002r	5.54E+00	5.14E+00	1.24E+00	1.55E+00
F004	7.49E-01	7.17E-01	8.93E-02	5.63E-01
F005	1.00E+00	1.06E+00	1.57E-01	7.62E-01
F006	1.99E-01	1.98E-01	0.00E+00	3.01E-02
F007	9.14E+00	1.29E+01	2.37E+00	1.28E+01
F008	2.18E+00	2.24E+00	4.05E-01	1.08E+00
F010	1.38E+00	1.40E+00	4.30E-01	6.93E-01
F011	4.67E-01	9.30E-01	2.50E-01	7.32E-01
F012	1.36E+00	1.40E+00	4.02E-01	1.75E-01
F013	4.47E-01	4.83E-01	2.32E-01	1.92E-01
F014	1.49E+00	1.70E+00	4.96E-01	1.10E+00
F015	6.84E+00	6.87E+00	1.08E+00	1.05E+00
F016	2.50E+00	2.07E+00	7.33E-01	9.85E-01
F017	3.53E+00	3.55E+00	1.39E+00	2.58E+00
F018	2.21E-01	1.02E+00	1.00E-02	9.76E-01
F019	2.08E-01	2.02E-01	0.00E+00	1.78E-01
F020	6.21E+00	6.63E+00	1.07E+00	9.01E-01
F021	2.34E-01	2.42E-01	1.04E-01	0.00E+00
F022	4.64E+00	4.57E+00	7.81E-01	2.30E-01
F023	2.68E-01	3.98E-01	2.00E-01	2.48E-01
F024	1.09E-01	9.16E-02	4.33E-02	6.55E-02
F026	1.17E+01	4.92E+00	1.57E+00	1.13E+01
F027	3.93E-01	4.36E-01	2.12E-01	2.12E-01
F029	2.28E+00	2.39E+00	8.77E-01	1.63E+00
F031	7.03E+00	7.29E+00	1.36E+00	9.73E-01
F034	1.66E+00	1.56E+00	4.53E-01	5.04E-01
F036	4.22E+00	4.27E+00	1.23E+00	2.90E+00
F037	1.80E-01	1.11E-01	1.38E-01	9.85E-02
F038	2.08E+00	1.96E+00	4.29E-01	6.47E-01
F039	2.37E+00	2.47E+00	4.50E-01	6.64E-01
F041	1.05E+01	1.07E+01	1.21E+00	6.59E-01
F042	4.58E+00	4.66E+00	8.46E-01	7.53E-01
F043	2.26E+00	2.70E+00	6.47E-01	1.06E+00
F044	1.05E+00	9.98E-01	1.58E-02	1.45E-01
F045	2.31E+00	2.31E+00	8.05E-01	1.04E+00
F046	4.27E-01	4.39E-01	1.93E-01	2.75E-01
F048	5.39E-01	4.82E-01	5.15E-02	3.95E-01
F050	1.86E-01	6.97E-02	1.46E-01	1.74E-01
F052	1.01E+00	1.05E+00	2.72E-01	3.83E-02
F053	1.65E+00	1.67E+00	4.17E-01	3.32E-01
F054	8.16E-01	8.55E-01	1.77E-01	1.12E-02
F055	6.00E+00	8.24E+00	2.03E+00	6.51E+00
F056	1.24E+00	1.21E+00	3.90E-01	2.57E-01
F057	4.08E+00	3.46E+00	8.07E-01	1.44E+00
F058	8.81E+00	7.77E+00	1.61E+00	2.21E+00
F059	9.28E-01	2.19E+00	1.50E-02	2.06E+00
F059r	1.34E+00	2.96E+00	2.52E-01	2.99E+00
SJ01	1.65E+00	9.16E+00	5.34E+00	8.50E+00
SJ02	3.54E+00	3.17E+00	9.99E-01	7.56E-01
SJ03	3.57E+00	2.92E+00	1.15E+00	2.86E+00
SJ04	2.94E-01	8.01E-02	2.17E-02	2.81E-01
SJ08	2.64E+00	2.32E+00	6.73E-01	1.46E+00
SJ09	1.85E+00	1.77E+00	1.93E-01	6.19E-01
SJ10	4.45E+00	3.18E+00	1.05E+00	3.45E+00
SJ12	2.94E+00	2.70E+00	7.76E-01	1.01E+00
SJ13	1.24E+00	1.30E+00	4.93E-01	8.91E-01
SJ14	1.48E+00	1.30E+00	1.86E-01	7.55E-01
SJ17	4.35E+00	4.82E+00	7.81E-01	1.09E+00
SJ18	1.88E+00	1.67E+00	5.43E-01	5.55E-01
SJ19	3.77E+00	3.64E+00	7.71E-01	6.43E-01
SJ20	1.27E+01	1.53E+01	2.29E+00	4.66E+00
SJ25	1.66E+00	9.68E-01	4.92E-01	1.93E+00
SJ28	8.80E+00	1.05E+01	1.60E+00	2.73E+00
SJ31	1.67E+00	1.52E+00	2.62E-01	8.04E-01
SJ32	4.36E+00	4.30E+00	1.69E+00	3.13E+00
SJ33	2.78E+00	3.03E+00	6.71E-01	2.89E-01
T135	2.33E+01	2.11E+01	9.30E+00	7.65E+00
