Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	569	0.937	208.305	36.609%	27.172	35.0%	0.121	0.853
C002	730	0.92	259.046	35.486%	38.148	39.317%	0.09403	0.792
C003	261	0.895	115.955	44.427%	16.234	44.565%	0.20347	0.757
C004	21	0.537	29.628	141.086%	4.545	84.399%	1.43937	0.397
C005	1064	0.965	261.76	24.602%	39.624	26.631%	0.04709	0.926
C006	279	0.934	107.7	38.602%	15.617	35.631%	0.14591	0.884
C007	525	0.974	122.049	23.247%	18.157	22.578%	0.06447	0.953
C008	12	0.62	17.737	147.808%	3.241	81.025%	1.55851	0.609
C009	816	0.965	188.046	23.045%	27.001	26.305%	0.05728	0.896
C010	35	0.601	46.133	131.809%	7.027	80.08%	1.19262	0.489
C010r	63	0.654	64.517	102.408%	9.11	75.654%	0.87987	0.447
C011	54	0.762	50.816	94.104%	7.002	65.012%	0.77276	0.662
C013	86	0.785	68.155	79.25%	9.392	61.929%	0.57694	0.651
C014	132	0.871	78.024	59.109%	10.121	49.268%	0.34576	0.762
F001	139	0.85	84.345	60.68%	11.383	52.674%	0.32999	0.716
F002	66	0.689	59.382	89.973%	8.337	72.564%	0.70958	0.449
F002r	541	0.925	206.796	38.225%	26.92	38.113%	0.12662	0.798
F004	67	0.82	49.315	73.604%	6.993	57.289%	0.57286	0.722
F005	115	0.853	71.305	62.004%	10.584	52.207%	0.3963	0.769
F006	8	0.397	13.672	170.9%	2.597	91.818%	2.07855	0.288
F007	2059	0.927	556.54	27.03%	102.235	37.637%	0.06615	0.813
F008	172	0.761	126.673	73.647%	18.851	64.965%	0.46925	0.581
F010	124	0.834	81.927	66.07%	10.701	55.186%	0.37737	0.687
F011	100	0.855	64.237	64.237%	10.383	52.442%	0.40491	0.801
F012	106	0.835	74.274	70.07%	10.098	55.254%	0.44157	0.734
F013	23	0.551	31.669	137.691%	4.807	83.679%	1.3523	0.416
