Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
SJ14	1.49E+00	1.56E+00	1.10E-01	1.07E+00	7.74E-01	3.45E-01
SJ17	4.46E+00	4.44E+00	6.57E-01	8.20E-01	1.08E+00	8.41E-01
SJ18	1.94E+00	1.59E+00	5.51E-01	1.20E+00	4.56E-01	1.42E-01
SJ19	3.69E+00	2.60E+00	8.23E-01	2.52E+00	5.93E-01	6.15E-01
SJ20	1.63E+01	1.60E+01	2.70E+00	3.91E+00	3.60E+00	3.22E+00
SJ25	1.54E+00	1.71E+00	5.61E-01	1.10E+00	8.00E-01	1.67E+00
SJ28	7.96E+00	7.85E+00	1.78E+00	4.14E+00	2.15E+00	2.94E+00
SJ31	2.36E+00	2.22E+00	2.06E-01	1.28E+00	7.98E-01	2.57E-01
SJ32	5.00E+00	4.83E+00	1.92E+00	4.43E+00	4.07E+00	3.75E+00
SJ33	2.53E+00	2.09E+00	6.71E-01	9.65E-01	3.84E-01	3.74E-01
T135	1.93E+01	3.69E+01	2.92E+01	2.32E+00	1.09E+01	5.34E+00
