NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	40.481	139.414	8.156	85.137	1.671	0.396	20000.0
2	40.834	139.457	8.448	84.999	1.671	0.408	40000.0
3	40.52	138.445	8.168	84.578	1.661	0.414	40000.0
4	41.44	138.54	8.4	84.591	1.601	0.42	60000.0
5	40.327	138.495	8.208	84.752	1.635	0.41	20000.0
6	41.392	140.187	8.468	85.272	1.69	0.4	80000.0
7	40.915	140.221	8.514	85.558	1.705	0.402	60000.0
8	40.144	136.96	8.279	84.351	1.596	0.426	20000.0
9	40.965	138.842	8.319	84.985	1.644	0.41	20000.0
10	40.769	137.878	8.305	84.57	1.612	0.421	40000.0
11	40.526	138.313	8.289	84.751	1.652	0.412	40000.0
12	40.807	139.388	8.515	84.947	1.662	0.416	20000.0
13	40.112	137.141	8.282	84.421	1.601	0.422	20000.0
14	41.248	137.971	8.347	84.699	1.61	0.418	20000.0
15	40.858	137.97	8.393	84.317	1.64	0.423	60000.0
16	41.201	139.53	8.546	85.067	1.673	0.412	20000.0
17	39.477	135.857	8.117	83.612	1.591	0.439	60000.0
18	40.178	137.084	8.339	84.433	1.616	0.425	20000.0
19	41.069	138.416	8.457	85.206	1.61	0.409	20000.0
20	41.279	139.047	8.357	84.852	1.627	0.415	20000.0
21	40.518	137.821	8.183	84.273	1.614	0.423	20000.0
22	41.106	139.377	8.473	85.472	1.635	0.405	60000.0
23	40.54	138.985	8.384	84.893	1.659	0.405	40000.0
24	40.594	138.533	8.322	84.359	1.618	0.427	40000.0
25	40.308	138.641	8.38	84.863	1.64	0.416	20000.0
26	40.659	139.642	8.349	85.027	1.67	0.407	40000.0
27	39.619	136.268	8.126	83.607	1.586	0.433	20000.0
28	40.467	137.413	8.435	84.577	1.661	0.416	40000.0
29	40.568	136.764	8.384	84.287	1.598	0.428	20000.0
30	41.102	139.885	8.408	85.104	1.636	0.411	40000.0
31	41.093	138.36	8.275	84.825	1.611	0.414	20000.0
32	40.52	137.272	8.187	84.112	1.611	0.425	20000.0
33	40.428	137.607	8.096	84.278	1.62	0.421	60000.0
34	40.763	139.614	8.367	85.346	1.694	0.394	20000.0
35	40.265	136.989	8.168	83.913	1.616	0.43	60000.0
36	40.794	138.869	8.324	85.048	1.646	0.409	60000.0
37	40.966	139.778	8.468	85.153	1.691	0.404	20000.0
38	40.054	137.142	8.192	84.58	1.625	0.415	20000.0
39	41.229	139.212	8.559	85.179	1.656	0.414	60000.0
40	40.282	138.39	8.187	84.83	1.649	0.408	20000.0
41	40.543	136.868	8.151	84.133	1.587	0.427	40000.0
42	40.43	137.944	8.487	84.698	1.631	0.419	40000.0
43	40.076	136.432	8.23	83.851	1.58	0.438	80000.0
44	40.524	138.534	8.229	84.336	1.621	0.426	20000.0
45	40.759	138.759	8.436	84.507	1.641	0.427	20000.0
46	40.27	138.433	8.324	84.756	1.618	0.417	40000.0
47	40.896	139.491	8.137	84.42	1.629	0.416	60000.0
48	40.333	139.963	8.234	85.084	1.645	0.404	20000.0
49	40.264	139.076	8.142	84.344	1.65	0.419	20000.0
50	41.23	138.896	8.294	84.867	1.656	0.41	20000.0
51	40.899	138.828	8.446	85.165	1.645	0.412	20000.0
52	40.217	137.003	8.093	84.096	1.62	0.423	40000.0
53	40.976	139.322	8.465	84.906	1.654	0.409	60000.0
54	39.916	138.624	8.02	84.473	1.676	0.409	20000.0
55	40.755	137.727	8.414	84.346	1.608	0.429	40000.0
