Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	39	0.672	38.915	99.782%	6.697	74.411%	0.85014	0.544
C002	76	0.81	56.773	74.701%	8.803	59.082%	0.53222	0.709
C003	23	0.748	22.659	98.517%	4.332	67.654%	0.7891	0.701
C004	10	0.321	16.508	165.08%	3.078	97.335%	2.18815	0.137
C005	76	0.801	59.94	78.868%	11.052	60.474%	0.55092	0.744
C006	29	0.704	30.115	103.845%	5.17	71.015%	0.89795	0.614
C007	71	0.795	55.562	78.256%	8.809	60.933%	0.55053	0.695
C008	2	0.359	3.65	182.5%	1.33	94.045%	2.7222	0.341
C009	97	0.809	67.345	69.428%	11.995	58.74%	0.44516	0.725
C010	10	0.507	15.4	154.0%	2.986	86.198%	1.91442	0.417
C010r	11	0.411	17.733	161.209%	3.763	91.266%	2.098	0.305
C011	12	0.478	19.009	158.408%	3.929	87.855%	1.78643	0.394
C013	17	0.461	24.723	145.429%	5.821	88.769%	1.54884	0.378
C014	17	0.557	22.041	129.653%	4.155	83.1%	1.29225	0.446
F001	15	0.473	20.585	137.233%	4.058	88.553%	1.63183	0.34
F002	9	0.309	15.351	170.567%	3.199	96.453%	2.37497	0.161
F002r	65	0.709	58.169	89.491%	10.02	71.03%	0.66869	0.582
F004	19	0.54	23.984	126.232%	4.249	84.98%	1.24865	0.391
F005	11	0.523	15.404	140.036%	3.074	85.257%	1.44366	0.426
F006	5	0.386	8.594	171.88%	2.446	92.45%	2.22679	0.337
F007	118	0.798	83.05	70.381%	15.419	60.293%	0.41524	0.715
F008	9	0.428	14.845	164.944%	3.259	90.388%	2.1045	0.342
F010	17	0.602	22.593	132.9%	4.465	80.194%	1.33592	0.535
F011	18	0.541	23.73	131.833%	4.456	84.21%	1.31652	0.424
F012	8	0.558	11.803	147.538%	2.652	83.864%	1.56957	0.515
F013	13	0.468	18.308	140.831%	3.656	88.671%	1.7097	0.343
F014	21	0.527	27.364	130.305%	4.78	85.851%	1.4891	0.375
F015	48	0.778	40.376	84.117%	6.189	63.166%	0.63921	0.67
F016	26	0.705	29.054	111.746%	5.041	71.291%	1.02205	0.635
F017	55	0.831	40.835	74.245%	7.247	56.418%	0.49843	0.781
F018	12	0.531	16.391	136.592%	2.944	84.986%	1.47112	0.405
F019	8	0.509	12.034	150.425%	2.436	86.126%	1.76515	0.424
F020	32	0.633	36.164	113.012%	7.19	77.532%	1.1706	0.549
F021	11	0.621	15.705	142.773%	3.3	80.037%	1.35747	0.589
F022	41	0.657	41.031	100.076%	6.807	76.585%	0.95887	0.504
F023	2	0.4	3.61	180.5%	1.315	92.985%	2.46591	0.395
F024	9	0.524	13.246	147.178%	2.83	85.328%	1.68049	0.455
F026	60	0.742	49.359	82.265%	9.918	67.173%	0.69422	0.664
F027	10	0.554	13.963	139.63%	2.633	83.263%	1.41864	0.461
F029	30	0.588	35.877	119.59%	7.599	81.006%	1.13074	0.504
F031	60	0.83	40.415	67.358%	6.199	57.066%	0.52487	0.724
F034	17	0.371	26.184	154.024%	4.928	94.839%	1.73579	0.198
F036	48	0.726	44.531	92.773%	7.129	69.243%	0.75519	0.604
F037	5	0.378	8.863	177.26%	3.096	93.348%	2.24201	0.358
F038	17	0.449	25.696	151.153%	5.146	89.58%	1.66495	0.331
F039	23	0.604	28.776	125.113%	5.226	79.696%	1.18318	0.504
F041	46	0.796	40.712	88.504%	6.18	60.6%	0.67978	0.717
F042	37	0.685	37.104	100.281%	6.56	72.889%	0.82555	0.578
F043	24	0.699	24.525	102.187%	4.532	71.657%	0.90928	0.619
F044	16	0.422	23.638	147.738%	4.322	92.145%	1.71804	0.257
F045	28	0.731	27.251	97.325%	4.627	68.221%	0.87181	0.644
F046	3	0.225	5.598	186.6%	1.693	97.745%	2.89756	0.137
F048	9	0.5	13.406	148.956%	3.376	87.168%	1.66907	0.453
F050	3	0.472	5.155	171.833%	1.556	89.836%	2.02837	0.464
F052	6	0.442	9.607	160.117%	2.546	90.015%	1.95813	0.392
F053	13	0.595	16.88	129.846%	3.322	80.57%	1.21332	0.517
F054	15	0.557	19.992	133.28%	3.805	83.032%	1.39003	0.456
F055	81	0.772	63.781	78.742%	14.003	64.798%	0.49113	0.726
F056	4	0.337	7.071	176.775%	1.883	94.15%	2.25103	0.262
F057	45	0.817	35.635	79.189%	5.568	57.737%	0.63804	0.741
F058	94	0.879	61.197	65.103%	9.747	48.255%	0.38286	0.836
F059	24	0.683	26.757	111.488%	5.438	74.002%	0.98773	0.632
F059r	49	0.736	48.667	99.32%	9.461	68.819%	0.77431	0.686
SJ01	263	0.797	185.272	70.446%	41.157	61.607%	0.40713	0.75
SJ02	14	0.705	17.858	127.557%	3.257	72.829%	1.11441	0.671
SJ03	41	0.778	34.227	83.48%	5.789	62.791%	0.65358	0.695
SJ04	2	0.164	3.84	192.0%	1.4	98.995%	3.25153	0.085
SJ08	25	0.65	29.142	116.568%	4.981	75.96%	1.1318	0.548
SJ09	24	0.584	29.935	124.729%	5.393	81.303%	1.2587	0.467
SJ10	20	0.619	23.13	115.65%	3.87	78.996%	1.18019	0.484
SJ12	24	0.64	28.266	117.775%	4.74	76.893%	1.18637	0.528
SJ13	4	0.352	7.029	175.725%	1.872	93.6%	2.28785	0.283
SJ14	7	0.324	11.93	170.429%	2.527	95.512%	2.09071	0.189
SJ17	27	0.589	30.879	114.367%	5.359	81.724%	1.06302	0.438
