Samples	ID83A	ID83B	ID83C
C001	14	9	16
C002	19	22	35
C003	1	10	12
C004	1	0	9
C005	15	61	0
C006	7	10	12
C007	17	37	17
C008	0	2	0
C009	30	42	25
C010	1	9	0
C010r	5	0	6
C011	0	10	2
C013	2	0	15
C014	2	4	11
F001	8	6	1
F002	1	1	7
F002r	35	11	19
F004	4	5	10
F005	0	4	7
F006	0	0	5
F007	11	98	9
F008	0	6	3
F010	5	12	0
F011	2	10	6
F012	0	2	6
F013	0	5	8
F014	0	9	12
F015	16	22	10
F016	5	16	5
F017	10	35	10
F018	5	2	5
F019	0	2	6
F020	1	23	8
F021	3	4	4
F022	1	19	21
F023	0	2	0
F024	1	0	8
F026	11	44	5
F027	3	5	2
F029	0	30	0
F031	21	13	26
F034	2	0	15
F036	0	32	16
F037	5	0	0
F038	1	0	16
F039	3	13	7
F041	6	17	23
F042	9	8	20
F043	9	6	9
F044	1	8	7
F045	2	12	14
F046	1	0	2
F048	0	2	7
F050	1	2	0
F052	2	1	3
F053	2	1	10
F054	0	8	7
F055	8	73	0
F056	4	0	0
F057	10	20	15
F058	17	47	30
F059	1	17	6
F059r	8	41	0
SJ01	176	87	0
SJ02	7	5	2
SJ03	20	11	10
SJ04	0	0	2
SJ08	7	14	4
SJ09	0	4	20
SJ10	4	5	11
SJ12	7	13	4
SJ13	3	1	0
SJ14	2	4	1
SJ17	10	1	16
SJ18	5	0	4
SJ19	0	14	14
SJ20	6	22	54
SJ25	3	4	8
SJ28	33	5	99
SJ31	4	0	61
SJ32	65	34	6
SJ33	4	5	9
T135	443	0	40
