Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,2.01e-01,63.72%,124.73%,192.0%,80.19%,99.0,1.2918,3.2515,0.404,0.836,0.506,0.085
2*,0.87,0.86,YES,Most Stab Sigs,46.84%,118.54%,187.3%,78.34%,97.8,1.2164,2.9953,0.368,0.777,0.554,0.138
3,0.78,0.66,NO,N/A,41.55%,115.85%,187.15%,74.35%,97.86,1.1544,2.8246,0.325,0.781,0.61,0.163
4,0.5,-0.02,NO,N/A,39.45%,115.17%,188.15%,73.25%,97.44,1.1251,2.8768,0.302,0.772,0.64,0.171
5,0.39,-0.12,NO,N/A,34.81%,110.48%,187.25%,69.89%,97.58,1.107,2.7837,0.291,0.773,0.655,0.171
6,0.36,-0.05,NO,N/A,30.38%,109.4%,183.25%,68.74%,95.25,1.0724,2.4986,0.268,0.694,0.684,0.268
7,0.33,-0.19,NO,N/A,28.99%,107.39%,181.55%,67.52%,93.2,1.0498,2.5284,0.254,0.599,0.701,0.299
8,0.29,-0.21,NO,N/A,28.51%,106.95%,183.2%,65.41%,93.97,1.0284,2.4879,0.244,0.628,0.713,0.309
9,0.29,-0.2,NO,N/A,28.15%,104.28%,179.6%,65.68%,92.77,1.0037,2.2944,0.233,0.597,0.727,0.354
10,0.25,-0.17,NO,N/A,28.15%,104.66%,172.6%,64.36%,90.57,0.9822,2.2653,0.221,0.542,0.743,0.341
