MutationType	C001	C002	C003	C004	C005	C006	C007	C008	C009	C010	C010r	C011	C013	C014	F001	F002	F002r	F004	F005	F006	F007	F008	F010	F011	F012	F013	F014	F015	F016	F017	F018	F019	F020	F021	F022	F023	F024	F026	F027	F029	F031	F034	F036	F037	F038	F039	F041	F042	F043	F044	F045	F046	F048	F050	F052	F053	F054	F055	F056	F057	F058	F059	F059r	SJ01	SJ02	SJ03	SJ04	SJ08	SJ09	SJ10	SJ12	SJ13	SJ14	SJ17	SJ18	SJ19	SJ20	SJ25	SJ28	SJ31	SJ32	SJ33	T135
1:Del:C:0	0	5	1	0	5	1	2	0	2	0	1	0	2	1	0	0	6	1	0	1	4	0	0	0	1	0	0	1	2	2	1	1	2	2	1	0	1	4	0	0	4	2	2	0	2	0	2	1	2	0	1	0	1	0	1	1	0	2	0	2	6	2	3	13	2	3	0	2	2	2	0	0	0	2	1	1	5	1	10	6	7	0	45
1:Del:C:1	1	1	0	0	2	0	5	0	2	0	0	0	0	1	0	0	1	2	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	2	0	2	0	0	0	3	1	1	0	1	0	0	0	0	0	0	3	0	2	5	1	4	22	0	1	0	0	1	0	1	0	0	0	0	0	3	1	3	1	6	0	16
1:Del:C:2	0	1	1	0	2	1	4	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	7	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1
1:Del:C:3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
1:Del:C:4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
1:Del:C:5	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
1:Del:T:0	4	3	0	0	2	2	1	0	4	1	0	0	1	0	1	0	1	0	1	0	4	0	1	0	0	0	1	1	0	2	1	0	0	0	0	0	0	3	0	0	1	0	1	3	0	1	2	0	1	1	1	0	0	0	0	0	0	3	1	2	4	0	1	41	2	4	0	2	0	0	2	1	0	2	2	0	1	1	2	3	7	1	37
1:Del:T:1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	7	0	0	0	2	0	1	0	0	0	0	1	0	2	0	0	1	0	1	0	1	0	0	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	1	1	3	0	1	23	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	1	5	0	21
1:Del:T:2	1	0	0	0	3	0	1	0	2	0	2	1	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	2	0	1	0	0	2	0	1	2	0	1	0	0	0	0	0	0	1	1	0	2	0	2	5	1	1	0	0	0	2	0	0	0	0	0	0	4	0	1	0	2	0	15
1:Del:T:3	1	3	0	0	1	1	0	0	3	1	0	0	0	0	0	0	1	1	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	2	0	2	0	1	2	0	0	0	0	1	0	1	0	0	3	0	0	1	0	2	0	1	0	0	0	0	1	0	0	1	5	0	5	2	1	1	2
1:Del:T:4	3	4	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	3	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	6	0	1	0	1	0	0	0	0	1	1	0	2	5	0	0	1	1	0	0
1:Del:T:5	1	3	3	0	11	3	2	0	6	1	0	0	0	0	1	0	1	0	0	0	16	0	0	0	0	1	1	2	0	5	0	1	1	0	2	0	0	10	1	7	2	0	6	0	0	0	1	0	1	2	2	0	1	0	0	1	1	13	0	1	7	1	2	10	0	1	0	3	0	1	0	0	1	0	0	2	3	1	4	0	5	0	0
1:Ins:C:0	3	0	1	0	1	0	3	0	2	0	0	1	0	1	0	1	2	1	2	0	7	1	0	0	1	0	0	0	1	1	1	0	0	2	1	1	0	1	0	0	1	0	3	0	0	0	2	2	2	0	1	0	2	0	0	1	0	3	0	3	0	0	2	3	1	0	1	0	0	0	0	0	0	2	0	0	1	0	3	5	2	2	3
1:Ins:C:1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	2	0	3
1:Ins:C:2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
1:Ins:C:3	0	1	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Ins:C:4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1:Ins:C:5	0	0	0	0	2	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
1:Ins:T:0	1	5	3	1	0	0	1	0	2	0	0	1	5	0	0	0	1	1	1	2	1	0	1	1	0	1	2	0	0	3	1	1	0	1	2	0	2	1	1	0	3	1	3	0	3	2	2	2	0	0	0	0	2	0	1	2	1	1	0	1	2	1	0	2	0	0	0	0	2	1	0	0	0	0	1	3	4	1	10	12	1	1	8
1:Ins:T:1	3	1	1	0	1	2	0	0	3	0	0	0	2	1	2	2	5	0	0	0	1	0	0	2	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	1	1	2	0	2	1	1	0	0	0	0	1	0	1	0	1	1	1	0	7	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	4	4	1	24
1:Ins:T:2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	1	0	7
