MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	0.08235368412919343	0.04362976233720474	0.025742843777934468	0.07476014787433087
1:Del:C:1	0.046190098009883516	0.02647905031836558	0.03798225237293309	0.009019571683336381
1:Del:C:2	0.0048371344008245835	0.009389773293643345	0.02882221763084999	0.0011123519375785245
1:Del:C:3	0.005025499261257167	0.005055000061670327	0.003443428996271658	0.0012870603550110581
1:Del:C:4	0.0027008819743929635	0.004337850764006427	0.004780789092952347	0.006983745920056208
1:Del:C:5	0.0002949339528646	0.0060473075982490345	0.00946757717609458	0.008214033783943506
1:Del:T:0	0.11260651135817171	0.016953348109067578	0.038206866105585414	0.014122352029988905
1:Del:T:1	0.06718428664622479	0.01071105954225601	0.017703088278093304	0.004968119725421474
1:Del:T:2	0.03342015741885462	0.024934133913160964	0.011966800509827777	0.007116272106759425
1:Del:T:3	0.0030284643606819706	0.030183107583594156	0.012945359351519699	0.02623832162242081
1:Del:T:4	0.0011480406743099448	0.011394176502260734	0.029152115318394466	0.01611672606679818
1:Del:T:5	0.00020378787756741623	0.04331516685369223	0.13251163048378659	0.0062295299350018495
1:Ins:C:0	0.0047040799378487465	0.031659524284081045	0.02672548871782567	0.04573306968830366
1:Ins:C:1	0.008267172747691518	0.004653882513339802	0.012611290564077251	0.010684649620036417
1:Ins:C:2	0.002570978465723357	0.004558409421034781	0.003167892796926572	0.003632888547860995
1:Ins:C:3	0.0003727612054532159	0.0029698024448058425	0.012966941263936178	0.0004838911122385525
1:Ins:C:4	0.001323147584873685	0.004806865363516067	0.0022226738536872404	0.0024469941619225466
1:Ins:C:5	0.0028553930867683875	0.008074599537906301	0.013903563996621245	0.0032953500132877167
1:Ins:T:0	0.008471139999860586	0.020215973558095186	0.004344075467999602	0.13695960206910968
1:Ins:T:1	0.04858422491699457	0.021767359278077266	0.008737177232355862	0.03548820065692361
1:Ins:T:2	0.013693209468895844	0.006985196353875196	0.004074498094323289	0.01315246274034255
1:Ins:T:3	0.00823060179501681	0.0074053940500837	0.01944047272292977	0.006795821625598748
1:Ins:T:4	5.852639920668423e-05	0.0046492522190442285	0.0058358901700044895	0.0021862720561583514
1:Ins:T:5	0.024574243096867576	0.0636356901048066	0.18345888283103703	0.01231780327127197
2:Del:R:0	0.022492216510581784	0.021577626258508644	0.014784688021065903	0.026861343280161806
