MutationType	ID83A	ID83B	ID83C	ID83D
4:Ins:R:5	3.30E-04	6.79E-04	4.20E-04	8.19E-04
5:Ins:R:0	1.08E-03	1.14E-03	4.34E-04	1.17E-03
5:Ins:R:1	5.18E-04	1.18E-03	1.04E-03	1.35E-03
5:Ins:R:2	1.68E-04	1.87E-04	6.42E-05	2.73E-04
5:Ins:R:3	8.82E-05	2.32E-04	2.10E-04	2.72E-04
5:Ins:R:4	2.81E-04	2.86E-04	1.30E-04	2.11E-04
5:Ins:R:5	1.66E-04	2.01E-04	9.31E-05	2.31E-04
2:Del:M:1	6.00E-04	2.82E-03	1.24E-03	2.53E-03
3:Del:M:1	5.33E-04	5.87E-04	4.54E-04	3.19E-04
3:Del:M:2	3.64E-04	1.56E-03	1.21E-03	1.29E-03
4:Del:M:1	3.51E-04	6.89E-04	5.76E-04	5.63E-04
4:Del:M:2	1.71E-04	7.16E-04	2.68E-04	7.98E-04
4:Del:M:3	4.49E-04	1.23E-03	8.46E-04	1.09E-03
5:Del:M:1	1.50E-03	2.24E-03	1.28E-03	8.64E-04
5:Del:M:2	1.32E-03	1.54E-03	1.31E-03	4.77E-04
5:Del:M:3	8.47E-04	1.06E-03	5.57E-04	5.98E-04
5:Del:M:4	6.12E-04	9.37E-04	5.83E-04	7.94E-04
5:Del:M:5	6.51E-04	1.08E-03	8.56E-04	1.30E-03
