Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	39	0.758	35.443	90.879%	5.874	65.267%	0.75628	0.672
C002	76	0.875	46.483	61.162%	7.216	48.431%	0.42701	0.811
C003	23	0.889	18.921	82.265%	3.14	49.039%	0.6199	0.876
C004	10	0.458	14.771	147.71%	2.864	90.568%	1.9241	0.341
C005	76	0.942	42.268	55.616%	6.235	34.116%	0.37852	0.927
C006	29	0.793	26.953	92.941%	4.462	61.29%	0.8144	0.739
C007	71	0.878	43.604	61.414%	6.933	47.957%	0.44173	0.823
C008	2	0.673	2.79	139.5%	1.093	77.287%	2.24201	0.668
C009	97	0.902	55.111	56.815%	8.851	43.344%	0.36414	0.864
C010	10	0.688	11.974	119.74%	2.515	72.602%	1.67396	0.644
C010r	11	0.528	16.464	149.673%	3.517	85.3%	1.84524	0.465
C011	12	0.735	14.317	119.308%	3.031	67.775%	1.51844	0.705
C013	17	0.892	16.527	97.218%	3.264	49.776%	0.78638	0.887
C014	17	0.765	18.514	108.906%	3.326	66.52%	0.90971	0.733
F001	15	0.593	19.043	126.953%	3.695	80.632%	1.39517	0.507
F002	9	0.506	14.187	157.633%	2.869	86.504%	1.99596	0.434
F002r	65	0.886	39.737	61.134%	6.635	47.034%	0.38215	0.847
F004	19	0.704	20.637	108.616%	3.56	71.2%	0.99555	0.625
F005	11	0.738	13.136	119.418%	2.513	69.698%	1.07971	0.711
F006	5	0.869	5.115	102.3%	1.433	54.162%	1.2727	0.865
F007	118	0.97	42.233	35.791%	6.241	24.404%	0.20033	0.959
F008	9	0.704	12.52	139.111%	2.643	73.304%	1.51293	0.685
F010	17	0.795	19.113	112.429%	3.397	61.012%	1.1287	0.766
F011	18	0.65	21.354	118.633%	4.028	76.122%	1.14489	0.574
F012	8	0.796	10.014	125.175%	2.126	67.23%	1.15401	0.803
F013	13	0.702	15.234	117.185%	2.981	72.3%	1.19958	0.658
F014	21	0.691	22.727	108.224%	4.066	73.028%	1.317	0.612
F015	48	0.85	33.545	69.885%	5.161	52.674%	0.5256	0.781
F016	26	0.844	23.778	91.454%	3.882	54.9%	0.82271	0.814
F017	55	0.931	30.609	55.653%	4.76	37.057%	0.39708	0.912
F018	12	0.64	14.262	118.85%	2.662	76.845%	1.22388	0.556
F019	8	0.73	9.363	117.038%	1.986	70.216%	1.35491	0.704
F020	32	0.807	30.623	95.697%	5.483	59.125%	0.93422	0.771
F021	11	0.767	13.504	122.764%	2.837	68.807%	1.08873	0.762
F022	41	0.778	34.925	85.183%	5.671	63.804%	0.79263	0.69
F023	2	0.777	2.966	148.3%	1.09	77.075%	1.45598	0.806
F024	9	0.795	10.224	113.6%	2.124	64.041%	1.19134	0.782
F026	60	0.908	37.88	63.133%	6.205	42.026%	0.51194	0.883
F027	10	0.641	12.523	125.23%	2.435	77.001%	1.31833	0.576
F029	30	0.913	23.649	78.83%	3.911	41.691%	0.68854	0.901
F031	60	0.884	34.267	57.112%	5.08	46.765%	0.42651	0.81
F034	17	0.753	19.121	112.476%	3.48	66.973%	1.05341	0.716
F036	48	0.892	31.434	65.488%	4.695	45.602%	0.56218	0.852
F037	5	0.753	7.337	146.74%	2.415	72.815%	1.56281	0.755
F038	17	0.772	17.862	105.071%	3.697	64.357%	1.10714	0.743
F039	23	0.739	25.465	110.717%	4.42	67.404%	1.06002	0.683
F041	46	0.882	31.629	68.759%	4.834	47.401%	0.53092	0.842
F042	37	0.859	28.611	77.327%	4.665	51.833%	0.62299	0.821
F043	24	0.823	21.701	90.421%	3.697	58.455%	0.72379	0.789
F044	16	0.659	20.096	125.6%	3.527	75.196%	1.31495	0.585
F045	28	0.862	21.924	78.3%	3.475	51.236%	0.66355	0.825
F046	3	0.543	4.468	148.933%	1.46	84.293%	2.26532	0.52
F048	9	0.774	11.191	124.344%	2.741	70.772%	1.06359	0.786
F050	3	0.703	4.545	151.5%	1.379	79.617%	1.44589	0.73
F052	6	0.623	8.598	143.3%	2.314	81.812%	1.44184	0.624
F053	13	0.783	13.7	105.385%	2.68	65.0%	0.9252	0.762
F054	15	0.651	17.059	113.727%	3.48	75.94%	1.23861	0.582
F055	81	0.964	36.268	44.775%	6.008	27.802%	0.26568	0.958
F056	4	0.6	5.642	141.05%	1.614	80.7%	1.62616	0.576
F057	45	0.904	26.613	59.14%	4.139	42.919%	0.49354	0.868
F058	94	0.935	46.457	49.422%	7.278	36.031%	0.30656	0.912
F059	24	0.874	20.864	86.933%	3.807	51.807%	0.67209	0.862
F059r	49	0.923	32.307	65.933%	5.377	39.112%	0.47199	0.908
SJ01	263	0.987	65.247	24.809%	11.173	16.725%	0.09448	0.984
SJ02	14	0.815	15.786	112.757%	2.816	62.968%	0.91729	0.812
SJ03	41	0.888	27.263	66.495%	4.311	46.759%	0.49051	0.852
SJ04	2	0.493	3.452	172.6%	1.267	89.59%	2.23635	0.496
SJ08	25	0.74	26.183	104.732%	4.409	67.237%	1.03481	0.672
SJ09	24	0.818	23.41	97.542%	3.925	59.172%	0.83679	0.786
SJ10	20	0.679	21.549	107.745%	3.596	73.403%	1.07516	0.571
SJ12	24	0.757	23.736	98.9%	4.027	65.327%	0.97049	0.692
SJ13	4	0.492	6.332	158.3%	1.747	87.35%	2.15944	0.453
SJ14	7	0.5	10.289	146.986%	2.292	86.629%	1.90168	0.426
SJ17	27	0.783	25.226	93.43%	4.136	63.073%	0.72964	0.726
SJ18	9	0.697	11.118	123.533%	2.408	72.604%	1.63403	0.664
SJ19	28	0.82	23.654	84.479%	3.891	57.37%	0.75424	0.767
SJ20	82	0.942	37.659	45.926%	6.433	33.999%	0.31084	0.925
SJ25	15	0.763	14.578	97.187%	2.883	66.141%	0.89008	0.724
SJ28	137	0.939	61.813	45.119%	9.117	34.385%	0.25472	0.91
SJ31	65	0.939	38.459	59.168%	6.385	35.309%	0.41577	0.929
SJ32	105	0.925	48.611	46.296%	7.873	38.1%	0.27021	0.889
SJ33	18	0.774	18.838	104.656%	3.586	65.471%	0.88121	0.747
T135	483	0.995	58.88	12.19%	10.583	10.623%	0.03162	0.993
