NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	25.787	105.217	5.832	70.222	0.965	0.649	40000.0
2	25.976	105.499	5.845	68.91	0.973	0.666	40000.0
3	25.447	104.578	5.747	68.817	0.959	0.672	40000.0
4	26.1	104.908	5.945	69.53	0.934	0.665	40000.0
5	26.834	104.424	5.962	69.653	0.943	0.662	60000.0
6	26.282	106.457	5.929	70.721	0.986	0.653	40000.0
7	26.581	106.719	6.029	70.494	1.004	0.646	40000.0
8	25.169	101.653	5.626	66.965	0.911	0.694	60000.0
9	25.855	106.535	5.847	70.871	0.989	0.636	40000.0
10	25.921	105.768	5.728	69.634	0.972	0.652	40000.0
11	25.678	104.073	5.609	68.097	0.96	0.68	40000.0
12	27.145	105.419	6.254	69.597	0.948	0.668	40000.0
13	27.448	106.521	6.18	70.607	0.97	0.651	80000.0
14	26.757	106.179	5.887	70.446	0.973	0.645	60000.0
15	26.195	106.054	5.923	69.527	0.97	0.653	80000.0
16	27.063	107.878	6.179	69.749	0.978	0.663	80000.0
17	25.932	100.075	5.807	67.582	0.91	0.677	40000.0
18	25.784	104.277	5.874	69.289	0.956	0.664	40000.0
19	26.093	101.976	5.838	68.413	0.929	0.67	40000.0
20	28.142	106.913	6.291	71.155	0.968	0.642	40000.0
21	25.799	104.554	5.77	69.062	0.955	0.661	40000.0
22	26.466	103.053	5.944	69.066	0.938	0.673	40000.0
23	26.954	105.209	6.111	68.628	0.966	0.673	60000.0
24	26.11	103.474	5.902	68.454	0.942	0.67	80000.0
25	25.616	103.865	5.732	68.535	0.951	0.665	40000.0
26	26.36	107.443	5.897	70.213	0.99	0.646	80000.0
27	25.739	103.347	5.716	68.364	0.939	0.671	40000.0
28	26.615	105.317	6.133	70.127	0.972	0.653	60000.0
29	25.515	102.029	5.738	68.427	0.928	0.678	40000.0
30	26.88	106.723	6.005	69.867	0.971	0.66	60000.0
31	26.048	105.938	5.75	69.968	0.976	0.656	40000.0
32	26.211	106.395	5.781	69.358	0.986	0.654	40000.0
33	26.082	102.847	5.781	68.338	0.927	0.679	40000.0
34	26.989	107.852	6.06	71.336	0.982	0.637	40000.0
35	25.521	104.42	5.623	68.669	0.972	0.657	80000.0
36	26.644	103.903	5.918	69.498	0.945	0.655	40000.0
37	26.396	103.136	5.861	68.555	0.936	0.669	40000.0
38	27.046	107.524	6.045	70.903	0.99	0.642	40000.0
39	26.252	104.736	5.974	69.243	0.956	0.663	60000.0
40	25.647	105.084	5.737	69.383	0.968	0.652	80000.0
41	26.461	107.508	5.849	70.269	0.971	0.647	60000.0
42	26.419	103.593	6.113	69.228	0.928	0.663	40000.0
43	25.596	99.475	5.698	66.098	0.897	0.705	40000.0
44	26.227	102.461	5.829	67.505	0.914	0.683	40000.0
45	25.774	102.449	5.841	67.314	0.922	0.683	40000.0
46	25.975	105.93	5.942	70.09	0.962	0.658	60000.0
47	26.402	106.8	5.871	70.799	0.98	0.644	80000.0
48	26.087	104.098	5.849	69.559	0.951	0.656	40000.0
49	26.209	105.589	5.763	68.71	0.982	0.66	40000.0
50	26.171	106.395	5.885	70.86	0.983	0.633	40000.0
51	26.452	106.3	5.93	69.582	0.98	0.662	60000.0
52	25.778	102.848	5.78	69.559	0.91	0.658	40000.0
53	26.475	105.822	5.976	69.933	0.953	0.658	40000.0
54	27.065	105.997	6.015	70.284	0.978	0.653	40000.0
55	25.636	103.949	5.821	68.29	0.924	0.689	40000.0
56	27.219	105.268	6.164	70.345	0.965	0.648	80000.0
57	26.524	103.798	5.916	69.302	0.949	0.655	40000.0
58	26.883	107.706	6.035	70.766	0.989	0.642	40000.0
59	26.899	100.654	6.083	68.157	0.913	0.685	40000.0
60	26.237	105.24	5.895	69.779	0.99	0.656	40000.0
61	25.545	103.413	5.719	68.561	0.95	0.664	60000.0
62	27.043	107.979	5.967	69.55	0.995	0.656	60000.0
63	26.691	104.942	6.062	70.231	0.953	0.65	60000.0
64	25.927	106.468	5.768	68.991	0.998	0.661	80000.0
65	27.015	106.768	5.972	70.256	0.997	0.645	60000.0
66	26.583	105.126	5.985	69.901	0.971	0.653	60000.0
67	26.221	103.983	5.788	67.596	0.947	0.679	40000.0
68	26.525	105.805	6.053	70.493	0.966	0.656	80000.0
69	26.318	103.771	5.95	69.065	0.948	0.673	40000.0
70	26.599	103.718	5.882	68.558	0.933	0.676	40000.0
71	26.05	102.903	5.866	69.426	0.935	0.664	80000.0
72	25.848	100.8	5.785	67.147	0.935	0.669	60000.0
73	26.157	104.66	5.818	69.077	0.967	0.662	40000.0
74	26.489	106.09	6.032	70.395	0.983	0.645	40000.0
75	26.706	107.784	6.088	71.151	1.024	0.635	0.0
76	25.511	103.784	5.713	68.669	0.947	0.669	60000.0
77	26.401	104.888	5.949	69.139	0.978	0.656	80000.0
78	27.168	105.404	6.035	69.698	0.957	0.657	40000.0
79	26.77	104.542	5.923	69.433	0.963	0.658	40000.0
80	25.819	104.976	5.68	69.014	0.973	0.665	40000.0
81	26.374	103.101	5.842	68.616	0.928	0.675	60000.0
82	27.481	104.6	6.15	69.531	0.967	0.666	60000.0
83	26.202	105.357	5.815	68.986	0.976	0.668	60000.0
84	26.342	102.583	5.955	68.484	0.923	0.673	40000.0
85	25.849	105.202	5.89	69.467	0.935	0.664	40000.0
86	26.578	102.75	6.129	68.403	0.932	0.667	40000.0
87	26.33	105.365	5.967	69.147	0.967	0.655	60000.0
88	25.827	106.586	5.847	70.425	0.992	0.636	0.0
89	26.381	103.725	5.884	68.679	0.934	0.674	40000.0
90	26.561	106.028	5.87	69.272	0.974	0.664	60000.0
91	25.822	102.155	5.868	67.752	0.933	0.683	60000.0
92	26.055	105.977	5.911	69.35	0.979	0.66	60000.0
93	27.494	104.475	6.304	70.145	0.932	0.662	0.0
94	26.069	102.506	5.831	68.053	0.937	0.661	60000.0
95	26.372	108.114	5.965	70.997	0.991	0.637	60000.0
96	26.38	106.979	5.878	70.168	0.977	0.654	80000.0
97	26.209	106.762	5.988	70.312	0.99	0.65	40000.0
98	26.302	104.389	5.765	69.843	0.961	0.656	40000.0
99	25.785	101.105	5.602	66.927	0.919	0.684	40000.0
100	27.026	107.59	5.912	69.866	0.989	0.653	40000.0
101	25.391	105.849	5.683	69.016	0.99	0.649	80000.0
102	26.263	107.533	5.825	69.839	0.99	0.655	40000.0
103	27.224	107.42	6.015	70.033	1.013	0.65	40000.0
104	26.091	103.597	5.79	68.344	0.973	0.667	40000.0
105	26.396	105.245	5.965	69.514	0.966	0.646	40000.0
106	26.58	106.696	5.883	70.526	0.992	0.645	40000.0
107	27.136	107.091	6.068	70.431	0.963	0.657	40000.0
108	26.662	104.609	6.032	70.224	0.959	0.652	40000.0
109	26.206	104.188	5.797	68.881	0.949	0.657	60000.0
110	26.909	106.872	6.029	70.451	0.984	0.644	60000.0
111	26.452	107.073	6.018	70.918	0.985	0.639	60000.0
112	26.808	106.777	6.02	71.019	0.983	0.642	60000.0
113	27.197	106.678	6.13	71.117	0.998	0.643	40000.0
114	26.084	108.31	5.829	70.308	1.026	0.635	40000.0
115	25.381	103.346	5.705	68.655	0.928	0.668	40000.0
116	25.947	103.375	5.895	67.916	0.946	0.68	60000.0
117	26.473	102.006	6.032	67.973	0.939	0.679	80000.0
118	25.687	104.216	5.83	69.258	0.966	0.659	40000.0
119	27.16	108.038	6.04	70.506	0.984	0.649	60000.0
120	26.732	105.956	5.897	70.376	0.981	0.65	40000.0
121	26.287	106.125	5.872	69.999	0.989	0.654	80000.0
122	26.093	106.47	5.968	69.384	0.984	0.663	80000.0
123	26.63	103.045	5.994	68.075	0.956	0.689	40000.0
124	25.772	105.306	5.826	69.443	0.962	0.662	80000.0
125	25.857	103.358	5.865	68.886	0.954	0.666	80000.0
126	26.067	105.012	5.954	69.085	0.97	0.671	60000.0
127	25.805	102.623	5.729	68.731	0.935	0.662	60000.0
128	25.771	103.813	5.784	67.947	0.959	0.671	40000.0
129	27.375	107.329	6.146	70.874	0.975	0.649	0.0
130	25.599	104.292	5.684	69.238	0.958	0.659	60000.0
131	26.295	105.508	5.988	69.367	0.977	0.666	40000.0
132	26.506	109.498	5.947	71.522	1.018	0.624	40000.0
133	26.102	103.441	5.86	68.532	0.934	0.678	60000.0
