Samples	DBS78A	DBS78B	DBS78C
C001	1	0	0
C002	0	0	3
C005	0	1	2
C006	1	0	0
C007	0	0	2
C009	0	0	5
C011	0	0	1
F002r	6	0	0
F007	1	3	4
F008	0	0	1
F012	1	0	1
F016	0	0	1
F017	2	0	0
F020	1	0	0
F022	0	0	2
F026	5	0	11
F031	0	0	1
F036	0	1	4
F038	1	0	0
F042	0	0	3
F043	0	0	2
F045	0	0	4
F046	0	0	1
F052	0	0	1
F054	0	0	1
F055	0	5	0
F057	0	1	0
F058	0	0	10
F059r	1	0	0
SJ01	0	61	0
SJ03	0	1	0
SJ10	1	1	2
SJ18	0	0	1
SJ20	0	1	2
SJ28	0	0	1
SJ31	1	0	0
SJ32	0	0	4
T135	179	24	0
