His	Mut	Name	Num	Total	label
Chro1	AAA	CHEK2	7	229	GCT
Chro10	AAA	CHEK2	1954	151811	UKBB_neoplasm
Chro11	AAA	CHEK2	3284	350703	UKBB_healthy
Chro12	BBB	XXX	0	1000	
Chro13	BBB	PTEN	4	229	GCT
Chro14	BBB	PTEN	29	151811	UKBB_neoplasm
Chro15	BBB	PTEN	36	350703	UKBB_healthy
Chro16	CCC	XXX	0	1000	
Chro17	CCC	BLM	3	229	GCT
Chro18	CCC	BLM	409	151811	UKBB_neoplasm
Chro19	CCC	BLM	816	350703	UKBB_healthy
