ID	OR	pValue	FDR
CHEK2---GCT-UKBB_neoplasm	2.41837584983032	0.030169458220572	0.030169458220572
CHEK2---GCT-UKBB_healthy	3.33571854973025	0.00628190950398753	0.014134296383972
CHEK2---UKBB_neoplasm-UKBB_healthy	1.37944175096697	3.08457345969829e-28	2.77611611372847e-27
PTEN---GCT-UKBB_neoplasm	92.9618600441799	1.9820529850489e-07	5.94615895514669e-07
PTEN---GCT-UKBB_healthy	173.451766685093	1.5845285504495e-08	7.13037847702274e-08
PTEN---UKBB_neoplasm-UKBB_healthy	1.8612024335535	0.0146161756198883	0.02179389581033
BLM---GCT-UKBB_neoplasm	4.91400733254217	0.0248927193344841	0.0280043092512946
BLM---GCT-UKBB_healthy	5.69161031595227	0.0169508078524789	0.02179389581033
BLM---UKBB_neoplasm-UKBB_healthy	1.15830586391852	0.0164284068426434	0.02179389581033
