AID	Sample_ID	chr1p36	MeanL1methy	MeanL1HSmethy	cancerType
TCGA-2F-A9KR-01A	TCGA.2F.A9KR.01A	WT	0.588500465511833	0.617487203939252	TCGA-BLCA
TCGA-2F-A9KT-01A	TCGA.2F.A9KT.01A	WT	0.662029629608957	0.73113781472819	TCGA-BLCA
TCGA-2F-A9KW-01A	TCGA.2F.A9KW.01A	Loss	0.611065245363921	0.665434262910825	TCGA-BLCA
TCGA-4Z-AA7M-01A	TCGA.4Z.AA7M.01A	WT	0.633141460741029	0.725711452272532	TCGA-BLCA
TCGA-4Z-AA7N-01A	TCGA.4Z.AA7N.01A	WT	0.783567838621627	0.858301837250294	TCGA-BLCA
TCGA-4Z-AA7O-01A	TCGA.4Z.AA7O.01A	WT	0.561701801143188	0.747795020313261	TCGA-BLCA
TCGA-4Z-AA7Q-01A	TCGA.4Z.AA7Q.01A	WT	0.707405006604454	0.773365143605978	TCGA-BLCA
TCGA-4Z-AA7R-01A	TCGA.4Z.AA7R.01A	WT	0.49590804428692	0.719147475584187	TCGA-BLCA
TCGA-4Z-AA7S-01A	TCGA.4Z.AA7S.01A	WT	0.623282284627874	0.807078002039662	TCGA-BLCA
TCGA-4Z-AA7W-01A	TCGA.4Z.AA7W.01A	WT	0.711896229789997	0.747593095001525	TCGA-BLCA
TCGA-4Z-AA7Y-01A	TCGA.4Z.AA7Y.01A	WT	0.620662120267616	0.830957005030404	TCGA-BLCA
TCGA-4Z-AA80-01A	TCGA.4Z.AA80.01A	WT	0.573896224164166	0.675869387898402	TCGA-BLCA
TCGA-4Z-AA81-01A	TCGA.4Z.AA81.01A	WT	0.608637468414668	0.806277982426512	TCGA-BLCA
TCGA-4Z-AA82-01A	TCGA.4Z.AA82.01A	WT	0.698812240880951	0.795022808247554	TCGA-BLCA
TCGA-4Z-AA83-01A	TCGA.4Z.AA83.01A	WT	0.628620906781631	0.808240968817298	TCGA-BLCA
TCGA-4Z-AA84-01A	TCGA.4Z.AA84.01A	WT	0.663774283973741	0.763837167077565	TCGA-BLCA
TCGA-4Z-AA86-01A	TCGA.4Z.AA86.01A	WT	0.726601694558543	0.818338627801979	TCGA-BLCA
TCGA-4Z-AA87-01A	TCGA.4Z.AA87.01A	WT	0.576770591332584	0.718324506196027	TCGA-BLCA
TCGA-4Z-AA89-01A	TCGA.4Z.AA89.01A	WT	0.656129091104213	0.794590256056407	TCGA-BLCA
TCGA-5N-A9KI-01A	TCGA.5N.A9KI.01A	WT	0.605388569705537	0.796347842278418	TCGA-BLCA
TCGA-5N-A9KM-01A	TCGA.5N.A9KM.01A	WT	0.564595798709663	0.797706843262769	TCGA-BLCA
TCGA-BL-A0C8-01A	TCGA.BL.A0C8.01A	WT	0.619299179935921	0.656485610561996	TCGA-BLCA
TCGA-BL-A0C8-01B	TCGA.BL.A0C8.01B	WT	0.555396995078806	0.574932998715464	TCGA-BLCA
TCGA-BL-A13I-01A	TCGA.BL.A13I.01A	WT	0.717543747585827	0.79193792302848	TCGA-BLCA
TCGA-BL-A13J-01A	TCGA.BL.A13J.01A	WT	0.691549340504935	0.757704538434547	TCGA-BLCA
TCGA-BL-A13J-01B	TCGA.BL.A13J.01B	WT	0.668702515307628	0.655096185984622	TCGA-BLCA
TCGA-BL-A3JM-01A	TCGA.BL.A3JM.01A	WT	0.690016925058202	0.723689863526264	TCGA-BLCA
TCGA-BL-A5ZZ-01A	TCGA.BL.A5ZZ.01A	WT	0.676098758950819	0.768525486847326	TCGA-BLCA
TCGA-BT-A0S7-01A	TCGA.BT.A0S7.01A	WT	0.695590003230252	0.757656977552745	TCGA-BLCA
TCGA-BT-A0YX-01A	TCGA.BT.A0YX.01A	WT	0.662359356011086	0.727665462030645	TCGA-BLCA
TCGA-BT-A20N-01A	TCGA.BT.A20N.01A	WT	0.664321343488274	0.73287314201387	TCGA-BLCA
TCGA-BT-A20O-01A	TCGA.BT.A20O.01A	WT	0.737290961501874	0.808124659515505	TCGA-BLCA
TCGA-BT-A20R-01A	TCGA.BT.A20R.01A	WT	0.663405934270589	0.743107984315583	TCGA-BLCA
TCGA-BT-A20U-01A	TCGA.BT.A20U.01A	WT	0.694620080500103	0.739536806096994	TCGA-BLCA
TCGA-BT-A20V-01A	TCGA.BT.A20V.01A	WT	0.628396477896989	0.729095996460318	TCGA-BLCA
TCGA-BT-A20W-01A	TCGA.BT.A20W.01A	WT	0.650983605435584	0.746250222963389	TCGA-BLCA
TCGA-BT-A2LA-01A	TCGA.BT.A2LA.01A	WT	0.557363143545223	0.621255665810423	TCGA-BLCA
TCGA-BT-A2LB-01A	TCGA.BT.A2LB.01A	WT	0.644360885021575	0.724386079862049	TCGA-BLCA
TCGA-BT-A2LD-01A	TCGA.BT.A2LD.01A	WT	0.601401881504515	0.72605508527388	TCGA-BLCA
TCGA-BT-A3PH-01A	TCGA.BT.A3PH.01A	WT	0.436675759827463	0.615517881139147	TCGA-BLCA
TCGA-BT-A3PJ-01A	TCGA.BT.A3PJ.01A	WT	0.609600143925133	0.769073515416834	TCGA-BLCA
TCGA-BT-A3PK-01A	TCGA.BT.A3PK.01A	WT	0.714990757307094	0.805684456005365	TCGA-BLCA
TCGA-BT-A42B-01A	TCGA.BT.A42B.01A	Loss	0.619960025087601	0.720018894398602	TCGA-BLCA
TCGA-BT-A42C-01A	TCGA.BT.A42C.01A	WT	0.595649096080927	0.670645832898756	TCGA-BLCA
TCGA-BT-A42E-01A	TCGA.BT.A42E.01A	Loss	0.659697752206273	0.799046028029816	TCGA-BLCA
TCGA-C4-A0EZ-01A	TCGA.C4.A0EZ.01A	WT	0.683050207582041	0.716423321362131	TCGA-BLCA
TCGA-C4-A0F0-01A	TCGA.C4.A0F0.01A	WT	0.659324343393846	0.737026091416794	TCGA-BLCA
TCGA-C4-A0F1-01A	TCGA.C4.A0F1.01A	WT	0.584083279382294	0.711826530052164	TCGA-BLCA
TCGA-C4-A0F6-01A	TCGA.C4.A0F6.01A	WT	0.575241708639749	0.711079694292282	TCGA-BLCA
TCGA-C4-A0F7-01A	TCGA.C4.A0F7.01A	WT	0.700309144064357	0.662222442539812	TCGA-BLCA
TCGA-CF-A1HR-01A	TCGA.CF.A1HR.01A	Loss	0.681852395534774	0.816103676788245	TCGA-BLCA
TCGA-CF-A1HS-01A	TCGA.CF.A1HS.01A	WT	0.690814889882929	0.797380987673408	TCGA-BLCA
TCGA-CF-A27C-01A	TCGA.CF.A27C.01A	WT	0.590276072251032	0.806015281083414	TCGA-BLCA
TCGA-CF-A3MF-01A	TCGA.CF.A3MF.01A	WT	0.550869044997615	0.846991938028547	TCGA-BLCA
TCGA-CF-A3MG-01A	TCGA.CF.A3MG.01A	WT	0.523951708763417	0.789666880524831	TCGA-BLCA
TCGA-CF-A3MH-01A	TCGA.CF.A3MH.01A	WT	0.584977936160242	0.752089045425809	TCGA-BLCA
TCGA-CF-A3MI-01A	TCGA.CF.A3MI.01A	WT	0.555846893372981	0.749067001142436	TCGA-BLCA
TCGA-CF-A47S-01A	TCGA.CF.A47S.01A	WT	0.692553760451062	0.858632530204693	TCGA-BLCA
TCGA-CF-A47T-01A	TCGA.CF.A47T.01A	WT	0.505360360564667	0.663913965600525	TCGA-BLCA
TCGA-CF-A47V-01A	TCGA.CF.A47V.01A	WT	0.737905175559901	0.86601932001157	TCGA-BLCA
TCGA-CF-A47W-01A	TCGA.CF.A47W.01A	WT	0.711938965270653	0.872965495201154	TCGA-BLCA
TCGA-CF-A47X-01A	TCGA.CF.A47X.01A	WT	0.574252450619268	0.707822727754172	TCGA-BLCA
TCGA-CF-A47Y-01A	TCGA.CF.A47Y.01A	WT	0.719658629238903	0.85598154397215	TCGA-BLCA
