CaseID	SBS1	SBS5	SBS17a	SBS17b	SBS18	SBS31	SBS39	SBSyst
C001	0	1	0	0	0	0	0	0
C002	0	0.567180131350014	0	0	0	0	0.432819868649986	0
C003	0	1	0	0	0	0	0	0
C004	NA	NA	NA	NA	NA	NA	NA	NA
C005	0.0794863220793584	0.463728656412069	0	0	0.249397138557085	0	0	0.207387882951488
C006	0.0954432262520601	0.90455677374794	0	0	0	0	0	0
C007	0.110260118636164	0.889739881363836	0	0	0	0	0	0
C008	NA	NA	NA	NA	NA	NA	NA	NA
C009	0	1	0	0	0	0	0	0
C010	0	1	0	0	0	0	0	0
C010r	0	1	0	0	0	0	0	0
C011	1	0	0	0	0	0	0	0
C013	0.249513470724603	0.750486529275396	0	0	0	0	0	0
C014	0	1	0	0	0	0	0	0
F001	0	1	0	0	0	0	0	0
F002	0	1	0	0	0	0	0	0
F002r	0	1	0	0	0	0	0	0
F004	0.179053164776617	0.820946835223383	0	0	0	0	0	0
F005	0.151586216271676	0.848413783728324	0	0	0	0	0	0
F006	NA	NA	NA	NA	NA	NA	NA	NA
F007	0	0.595479393124399	0.0689499763334666	0.106777632556312	0	0	0	0.228792997985822
F008	0	0.698886126321524	0	0	0.301113873678476	0	0	0
F010	0	1	0	0	0	0	0	0
F011	0.153897744377498	0.846102255622502	0	0	0	0	0	0
F012	0	1	0	0	0	0	0	0
F013	NA	NA	NA	NA	NA	NA	NA	NA
F014	0.116368101792841	0.883631898207159	0	0	0	0	0	0
F015	0	1	0	0	0	0	0	0
F016	0	1	0	0	0	0	0	0
F017	0.0801513598766989	0.267871416274846	0	0	0.222088868153581	0	0	0.429888355694874
F018	1	0	0	0	0	0	0	0
F019	NA	NA	NA	NA	NA	NA	NA	NA
F020	0	1	0	0	0	0	0	0
F021	NA	NA	NA	NA	NA	NA	NA	NA
F022	0	1	0	0	0	0	0	0
F023	NA	NA	NA	NA	NA	NA	NA	NA
F024	NA	NA	NA	NA	NA	NA	NA	NA
F026	0	0.305422254737972	0	0.0876440743404896	0	0	0	0.606933670921538
F027	0	1	0	0	0	0	0	0
F029	0	0.766697114889073	0	0	0.233302885110927	0	0	0
F031	0	0.836965217105421	0	0	0	0.163034782894579	0	0
F034	0	1	0	0	0	0	0	0
F036	0.0684616690543404	0.30833625152858	0	0	0.194270962560039	0	0	0.428931116857041
F037	NA	NA	NA	NA	NA	NA	NA	NA
F038	0	1	0	0	0	0	0	0
F039	0	1	0	0	0	0	0	0
F041	0	1	0	0	0	0	0	0
F042	0	1	0	0	0	0	0	0
F043	0	0.914808350580904	0	0.0851916494190962	0	0	0	0
F044	0	1	0	0	0	0	0	0
F045	0	1	0	0	0	0	0	0
F046	NA	NA	NA	NA	NA	NA	NA	NA
F048	0	1	0	0	0	0	0	0
F050	NA	NA	NA	NA	NA	NA	NA	NA
F052	0	1	0	0	0	0	0	0
F053	0	1	0	0	0	0	0	0
F054	0	1	0	0	0	0	0	0
F055	0	0.275828466090605	0	0	0.724171533909395	0	0	0
F056	0	1	0	0	0	0	0	0
F057	0	1	0	0	0	0	0	0
F058	0	1	0	0	0	0	0	0
F059	0.209760802220049	0.790239197779951	0	0	0	0	0	0
F059r	0.232949258041427	0.767050741958573	0	0	0	0	0	0
SJ01	0	0	0	0	0.199888872879797	0.800111127120203	0	0
SJ02	0	1	0	0	0	0	0	0
SJ03	0.0941791273899796	0.90582087261002	0	0	0	0	0	0
SJ04	NA	NA	NA	NA	NA	NA	NA	NA
SJ08	0.109948402859665	0.890051597140335	0	0	0	0	0	0
SJ09	0	1	0	0	0	0	0	0
SJ10	0	0.30937989473313	0	0	0.142581868605416	0	0	0.548038236661454
SJ12	0	1	0	0	0	0	0	0
SJ13	0	0.540010617433802	0	0	0	0	0.459989382566198	0
SJ14	0	1	0	0	0	0	0	0
SJ17	0	1	0	0	0	0	0	0
SJ18	0	1	0	0	0	0	0	0
SJ19	0	1	0	0	0	0	0	0
SJ20	0	0.693059355421755	0	0	0	0	0.306940644578245	0
SJ25	0	0.471332858533642	0	0.122450221981172	0	0	0	0.406216919485187
SJ28	0	1	0	0	0	0	0	0
SJ31	0	1	0	0	0	0	0	0
SJ32	0.0848729846851976	0.515725563117956	0	0	0.170150285449279	0	0	0.229251166747568
SJ33	0	1	0	0	0	0	0	0
T135	0	0	0	0	0	0.676823578865442	0.323176421134558	0
