Sample Names	MutationType	ID1	ID2	ID4	ID6	ID8	ID9	ID14	ID19	ID23
C001	5:Del:R:5	0.0	0.0	0.0	0.0	0.0	0.0	0.9659574468085107	0.0	0.034042553191489355
C001	2:Ins:R:0	0.0	0.0	0.0	0.0	0.0	0.0	0.7606285440234717	0.0	0.23937145597652834
C001	2:Ins:R:1	0.0	0.0	0.0	0.0	0.0	0.0	0.018622133909110484	0.0	0.9813778660908895
C001	2:Ins:R:2	0.0	0.0	0.0	0.0	0.0	0.0	0.2648114007328309	0.0	0.735188599267169
C001	2:Ins:R:3	0.0	0.0	0.0	0.0	0.0	0.0	0.6447773495619646	0.0	0.3552226504380354
C001	2:Ins:R:4	0.0	0.0	0.0	0.0	0.0	0.0	0.8702564963928274	0.0	0.12974350360717257
C001	2:Ins:R:5	0.0	0.0	0.0	0.0	0.0	0.0	0.9905724763629414	0.0	0.00942752363705854
C001	3:Ins:R:0	0.0	0.0	0.0	0.0	0.0	0.0	0.8106919837844394	0.0	0.1893080162155606
C001	3:Ins:R:1	0.0	0.0	0.0	0.0	0.0	0.0	0.4519676858867573	0.0	0.5480323141132427
C001	3:Ins:R:2	0.0	0.0	0.0	0.0	0.0	0.0	0.6734516450910719	0.0	0.3265483549089281
C001	3:Ins:R:3	0.0	0.0	0.0	0.0	0.0	0.0	0.778719923529258	0.0	0.22128007647074208
C001	3:Ins:R:4	0.0	0.0	0.0	0.0	0.0	0.0	0.9502652519893899	0.0	0.04973474801061008
C001	3:Ins:R:5	0.0	0.0	0.0	0.0	0.0	0.0	0.9886435800598475	0.0	0.011356419940152475
C001	4:Ins:R:0	0.0	0.0	0.0	0.0	0.0	0.0	0.851111667680418	0.0	0.14888833231958212
C001	4:Ins:R:1	0.0	0.0	0.0	0.0	0.0	0.0	0.32714444417598637	0.0	0.6728555558240137
C001	4:Ins:R:2	0.0	0.0	0.0	0.0	0.0	0.0	0.09557742336839724	0.0	0.9044225766316029
C001	4:Ins:R:3	0.0	0.0	0.0	0.0	0.0	0.0	0.9867575667097945	0.0	0.013242433290205576
C001	4:Ins:R:4	0.0	0.0	0.0	0.0	0.0	0.0	0.964300813714418	0.0	0.035699186285581906
C001	4:Ins:R:5	0.0	0.0	0.0	0.0	0.0	0.0	0.9502127556443432	0.0	0.049787244355656804
C001	5:Ins:R:0	0.0	0.0	0.0	0.0	0.0	0.0	0.6527413591476874	0.0	0.34725864085231267
C001	5:Ins:R:1	0.0	0.0	0.0	0.0	0.0	0.0	0.8522964592625358	0.0	0.14770354073746425
C001	5:Ins:R:2	0.0	0.0	0.0	0.0	0.0	0.0	0.5341231392872495	0.0	0.4658768607127504
C001	5:Ins:R:3	0.0	0.0	0.0	0.0	0.0	0.0	0.9450264400979331	0.0	0.05497355990206697
C001	5:Ins:R:4	0.0	0.0	0.0	0.0	0.0	0.0	0.6101326787795256	0.0	0.38986732122047435
C001	5:Ins:R:5	0.0	0.0	0.0	0.0	0.0	0.0	0.8052434456928839	0.0	0.1947565543071161
C001	2:Del:M:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0323212591868384	0.0	0.9676787408131615
C001	3:Del:M:1	0.0	0.0	0.0	0.0	0.0	0.0	0.27198986478494525	0.0	0.7280101352150548
C001	3:Del:M:2	0.0	0.0	0.0	0.0	0.0	0.0	0.2666453862296351	0.0	0.7333546137703649
