Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	39	0.685	37.453	96.033%	6.574	73.044%	0.81743	0.562
C002	76	0.83	53.141	69.922%	8.341	55.981%	0.50974	0.741
C003	23	0.816	20.939	91.039%	3.832	59.846%	0.73751	0.787
C004	10	0.413	14.872	148.72%	2.954	93.414%	2.14691	0.281
C005	76	0.904	49.791	65.514%	7.819	42.784%	0.40123	0.877
C006	29	0.712	30.739	105.997%	5.113	70.232%	0.88733	0.626
C007	71	0.812	54.096	76.192%	8.524	58.962%	0.51623	0.724
C008	2	0.53	3.283	164.15%	1.229	86.903%	2.29368	0.523
C009	97	0.81	67.137	69.213%	11.971	58.622%	0.44644	0.728
C010	10	0.64	13.267	132.67%	2.661	76.816%	1.73657	0.587
C010r	11	0.471	16.893	153.573%	3.637	88.21%	1.96537	0.386
C011	12	0.573	17.893	149.108%	3.665	81.952%	1.86927	0.514
C013	17	0.701	22.066	129.8%	4.852	73.992%	1.14706	0.682
C014	17	0.613	20.567	120.982%	3.952	79.04%	1.21076	0.524
F001	15	0.492	19.991	133.273%	4.02	87.724%	1.54239	0.369
F002	9	0.366	14.473	160.811%	3.12	94.072%	2.20943	0.247
F002r	65	0.736	56.091	86.294%	9.585	67.946%	0.63534	0.623
F004	19	0.567	22.978	120.937%	4.142	82.84%	1.1602	0.431
F005	11	0.599	13.989	127.173%	2.89	80.154%	1.25396	0.527
F006	5	0.699	7.258	145.16%	2.059	77.823%	1.71667	0.709
F007	118	0.911	59.412	50.349%	10.755	42.055%	0.25955	0.879
F008	9	0.541	13.522	150.244%	3.036	84.203%	1.81019	0.486
F010	17	0.65	22.544	132.612%	4.238	76.117%	1.35035	0.591
F011	18	0.567	22.721	126.228%	4.371	82.604%	1.29834	0.463
F012	8	0.671	10.568	132.1%	2.423	76.622%	1.24141	0.651
F013	13	0.553	16.281	125.238%	3.439	83.408%	1.46822	0.46
F014	21	0.582	26.627	126.795%	4.582	82.295%	1.36038	0.46
F015	48	0.782	40.559	84.498%	6.165	62.921%	0.64449	0.679
F016	26	0.738	27.408	105.415%	4.783	67.642%	0.93857	0.676
F017	55	0.886	36.882	67.058%	6.02	46.866%	0.47305	0.852
F018	12	0.55	16.229	135.242%	2.897	83.629%	1.43247	0.431
F019	8	0.649	10.443	130.538%	2.177	76.969%	1.5223	0.605
F020	32	0.693	34.761	108.628%	6.687	72.108%	1.05277	0.627
F021	11	0.629	15.638	142.164%	3.281	79.576%	1.34052	0.6
F022	41	0.714	39.501	96.344%	6.35	71.443%	0.88591	0.597
F023	2	0.573	3.226	161.3%	1.206	85.277%	1.96535	0.572
F024	9	0.639	12.332	137.022%	2.578	77.73%	1.52186	0.597
F026	60	0.812	47.059	78.432%	8.613	58.335%	0.56925	0.759
F027	10	0.567	13.543	135.43%	2.605	82.377%	1.43555	0.478
F029	30	0.784	31.524	105.08%	5.826	62.105%	0.92649	0.749
F031	60	0.849	38.279	63.798%	5.819	53.568%	0.48988	0.753
F034	17	0.525	22.914	134.788%	4.46	85.833%	1.2996	0.418
F036	48	0.813	38.378	79.954%	6.113	59.375%	0.62954	0.741
F037	5	0.5	8.602	172.04%	2.931	88.373%	2.07624	0.49
F038	17	0.673	21.38	125.765%	4.271	74.349%	1.33594	0.626
F039	23	0.629	28.722	124.878%	5.103	77.82%	1.1735	0.539
F041	46	0.831	37.947	82.493%	5.68	55.697%	0.60438	0.769
F042	37	0.712	36.192	97.816%	6.319	70.211%	0.83348	0.617
F043	24	0.701	24.712	102.967%	4.524	71.531%	0.91717	0.623
F044	16	0.449	23.151	144.694%	4.276	91.165%	1.6311	0.304
F045	28	0.779	25.754	91.979%	4.254	62.722%	0.80539	0.712
F046	3	0.248	5.538	184.6%	1.681	97.053%	2.78744	0.17
F048	9	0.649	12.385	137.611%	3.054	78.854%	1.25261	0.635
F050	3	0.564	4.839	161.3%	1.48	85.448%	1.79967	0.562
F052	6	0.469	9.473	157.883%	2.516	88.954%	1.87527	0.429
F053	13	0.714	14.583	112.177%	2.937	71.233%	1.0813	0.674
F054	15	0.629	17.592	117.28%	3.561	77.707%	1.29783	0.554
F055	81	0.933	43.173	53.3%	8.015	37.089%	0.32752	0.921
F056	4	0.571	6.036	150.9%	1.666	83.3%	1.51333	0.547
F057	45	0.831	34.491	76.647%	5.371	55.695%	0.61126	0.761
F058	94	0.903	57.101	60.746%	8.762	43.378%	0.35035	0.868
F059	24	0.768	25.319	105.496%	4.778	65.02%	0.86008	0.731
F059r	49	0.846	41.162	84.004%	7.414	53.929%	0.57657	0.816
SJ01	263	0.897	146.632	55.754%	31.288	46.834%	0.25965	0.88
SJ02	14	0.72	17.558	125.414%	3.19	71.331%	1.096	0.688
SJ03	41	0.787	34.358	83.8%	5.694	61.76%	0.65893	0.707
SJ04	2	0.219	3.743	187.15%	1.384	97.864%	2.82465	0.163
SJ08	25	0.67	29.144	116.576%	4.871	74.282%	1.15416	0.577
SJ09	24	0.708	26.622	110.925%	4.683	70.599%	1.05696	0.639
SJ10	20	0.648	22.307	111.535%	3.743	76.404%	1.13539	0.526
SJ12	24	0.657	27.289	113.704%	4.66	75.595%	1.1767	0.554
SJ13	4	0.438	6.652	166.3%	1.801	90.05%	2.14077	0.391
SJ14	7	0.331	11.716	167.371%	2.532	95.701%	2.11001	0.207
SJ17	27	0.659	28.844	106.83%	4.951	75.502%	0.96027	0.54
SJ18	9	0.564	13.198	146.644%	2.753	83.006%	1.91958	0.506
SJ19	28	0.741	27.678	98.85%	4.562	67.263%	0.85953	0.658
SJ20	82	0.833	57.742	70.417%	10.499	55.489%	0.46173	0.779
SJ25	15	0.736	15.764	105.093%	3.014	69.146%	0.94919	0.693
SJ28	137	0.919	67.94	49.591%	10.445	39.394%	0.27011	0.879
SJ31	65	0.878	49.06	75.477%	9.099	50.318%	0.52578	0.862
SJ32	105	0.9	54.37	51.781%	9.045	43.772%	0.33143	0.851
SJ33	18	0.663	20.853	115.85%	4.133	75.458%	1.04142	0.603
T135	483	0.977	103.394	21.407%	21.218	21.298%	0.04937	0.968
