Samples	SBS96A	SBS96B
C001	466	103
C002	586	144
C003	206	55
C004	18	3
C005	823	241
C006	249	30
C007	455	70
C008	5	7
C009	681	135
C010	29	6
C010r	48	15
C011	46	8
C013	69	17
C014	112	20
F001	127	12
F002	64	2
F002r	445	96
F004	67	0
F005	109	6
F006	8	0
F007	1808	251
F008	141	31
F010	103	21
F011	87	13
F012	84	22
F013	15	8
F014	179	19
F015	437	70
F016	206	33
F017	401	185
F018	57	1
F019	8	0
F020	319	65
F021	7	1
F022	263	43
F023	25	7
F024	4	0
F026	1138	258
F027	29	2
F029	258	70
F031	466	184
F034	108	21
F036	588	148
F037	5	4
F038	143	33
F039	138	12
F041	608	95
F042	302	47
F043	220	40
F044	67	0
F045	246	60
F046	23	5
F048	25	3
F050	4	3
F052	35	9
F053	102	23
F054	33	8
F055	653	502
F056	62	16
F057	355	56
F058	726	170
F059	217	0
F059r	295	24
SJ01	0	2763
SJ02	222	82
SJ03	406	64
SJ04	19	0
SJ08	262	34
SJ09	126	7
SJ10	474	120
SJ12	218	58
SJ13	107	19
SJ14	119	4
SJ17	283	52
SJ18	131	25
SJ19	247	57
SJ20	1285	315
SJ25	172	32
SJ28	892	175
SJ31	116	8
SJ32	822	241
SJ33	117	38
T135	767	4149
