Samples	SBS96A	SBS96B
C001	1.28E+00	1.28E+00
C002	1.70E+00	1.70E+00
C003	8.53E-01	8.52E-01
C004	3.22E-01	3.22E-01
C005	3.00E+00	3.00E+00
C006	6.48E-01	6.49E-01
C007	1.09E+00	1.09E+00
C008	2.13E-01	2.14E-01
C009	1.69E+00	1.69E+00
C010	2.91E-01	2.92E-01
C010r	3.98E-01	3.98E-01
C011	3.01E-01	3.01E-01
C013	5.56E-01	5.56E-01
C014	5.37E-01	5.37E-01
F001	4.86E-01	4.86E-01
F002	9.37E-02	9.37E-02
F002r	1.36E+00	1.37E+00
F004	2.09E-01	2.08E-01
F005	3.98E-01	3.98E-01
F006	0.00E+00	0.00E+00
F007	2.66E+00	2.66E+00
F008	8.40E-01	8.40E-01
F010	5.52E-01	5.52E-01
F011	3.81E-01	3.81E-01
F012	4.26E-01	4.26E-01
F013	2.60E-01	2.60E-01
F014	5.50E-01	5.51E-01
F015	1.12E+00	1.12E+00
F016	8.63E-01	8.63E-01
F017	2.19E+00	2.19E+00
F018	2.51E-01	2.52E-01
F019	2.00E-02	2.00E-02
F020	1.07E+00	1.07E+00
F021	1.24E-01	1.24E-01
F022	8.87E-01	8.87E-01
F023	2.63E-01	2.63E-01
F024	7.61E-02	7.66E-02
F026	2.85E+00	2.85E+00
F027	2.44E-01	2.43E-01
F029	1.15E+00	1.15E+00
F031	1.48E+00	1.48E+00
F034	4.86E-01	4.86E-01
F036	2.43E+00	2.43E+00
F037	1.91E-01	1.90E-01
F038	6.16E-01	6.16E-01
F039	5.19E-01	5.19E-01
F041	1.33E+00	1.33E+00
F042	9.23E-01	9.24E-01
F043	8.63E-01	8.63E-01
F044	1.03E-01	1.03E-01
F045	9.21E-01	9.21E-01
F046	2.71E-01	2.71E-01
F048	1.99E-01	1.99E-01
F050	2.06E-01	2.07E-01
F052	3.17E-01	3.17E-01
F053	4.87E-01	4.87E-01
F054	2.27E-01	2.27E-01
F055	5.64E+00	5.64E+00
F056	4.83E-01	4.83E-01
F057	8.90E-01	8.90E-01
F058	1.78E+00	1.78E+00
F059	3.51E-01	3.51E-01
F059r	6.40E-01	6.41E-01
SJ01	1.05E+01	1.05E+01
SJ02	1.12E+00	1.12E+00
SJ03	1.12E+00	1.12E+00
SJ04	9.35E-02	9.35E-02
SJ08	7.40E-01	7.40E-01
SJ09	3.96E-01	3.96E-01
SJ10	1.89E+00	1.89E+00
SJ12	8.84E-01	8.84E-01
SJ13	6.09E-01	6.09E-01
SJ14	4.20E-01	4.20E-01
SJ17	9.04E-01	9.04E-01
SJ18	5.74E-01	5.74E-01
SJ19	8.52E-01	8.52E-01
SJ20	2.81E+00	2.81E+00
SJ25	6.92E-01	6.92E-01
SJ28	1.78E+00	1.78E+00
SJ31	4.20E-01	4.20E-01
SJ32	2.69E+00	2.69E+00
SJ33	7.24E-01	7.25E-01
T135	1.69E+01	1.69E+01
