Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	39	0.677	40.682	104.313%	7.98	88.667%	1.41413	0.602
C002	76	0.68	82.849	109.012%	16.712	112.164%	1.33877	0.616
C003	23	0.751	19.984	86.887%	4.342	67.811%	0.96583	0.7
C004	10	0.322	14.798	147.98%	3.846	121.621%	4.31103	0.237
C005	76	0.911	49.534	65.176%	8.765	47.96%	0.73018	0.894
C006	29	0.788	25.714	88.669%	4.825	66.276%	1.14993	0.739
C007	71	0.794	60.649	85.421%	11.597	80.218%	0.99183	0.746
C008	2	0.708	1.994	99.7%	1.269	89.732%	2.63508	0.702
C009	97	0.854	65.623	67.653%	12.623	61.815%	0.62216	0.815
C010	10	0.713	11.423	114.23%	3.009	86.862%	2.64108	0.689
C010r	11	0.414	15.72	142.909%	4.604	111.663%	2.57843	0.363
C011	12	0.672	17.873	148.942%	8.377	187.315%	8.94768	0.67
C013	17	0.361	24.916	146.565%	7.618	116.173%	6.24538	0.308
C014	17	0.794	15.084	88.729%	3.061	61.22%	0.82569	0.756
F001	15	0.516	21.949	146.327%	5.039	109.96%	2.06079	0.458
F002	9	0.301	13.991	155.456%	3.79	114.273%	7.75129	0.228
F002r	65	0.549	87.966	135.332%	22.085	156.556%	3.55495	0.496
F004	19	0.497	23.285	122.553%	5.739	114.78%	1.68712	0.417
F005	11	0.724	11.765	106.955%	2.648	73.442%	1.27712	0.688
F006	5	0.339	7.828	156.56%	2.735	103.373%	3.19354	0.301
F007	118	0.933	67.61	57.297%	11.441	44.738%	0.38127	0.92
F008	9	0.636	11.564	128.489%	4.069	112.854%	2.15848	0.619
F010	17	0.809	18.707	110.041%	4.892	87.863%	1.8432	0.799
F011	18	0.384	31.299	173.883%	14.845	280.544%	5.10946	0.367
F012	8	0.747	8.048	100.6%	2.104	66.534%	1.61117	0.721
F013	13	0.251	23.307	179.285%	10.383	251.825%	4.16033	0.22
F014	21	0.486	30.461	145.052%	6.629	119.06%	3.30023	0.41
F015	48	0.772	41.812	87.108%	8.112	82.793%	0.93185	0.716
F016	26	0.812	23.039	88.612%	4.26	60.245%	1.29555	0.774
F017	55	0.857	44.592	81.076%	8.535	66.445%	0.84086	0.833
F018	12	0.586	14.554	121.283%	3.322	95.898%	1.56128	0.523
F019	8	0.608	9.241	115.512%	2.428	85.843%	2.14909	0.563
F020	32	0.751	34.757	108.616%	7.15	77.1%	1.62712	0.716
F021	11	0.81	9.871	89.736%	2.464	59.761%	1.2125	0.79
F022	41	0.604	53.16	129.659%	10.895	122.578%	2.91367	0.537
F023	2	0.942	1.251	62.55%	0.562	39.739%	0.43016	0.942
F024	9	0.384	13.957	155.078%	3.68	110.956%	2.61285	0.324
F026	60	0.846	54.298	90.497%	10.147	68.724%	1.96307	0.823
F027	10	0.611	12.135	121.35%	2.871	90.789%	1.86531	0.561
F029	30	0.854	31.059	103.53%	6.897	73.522%	1.72523	0.845
F031	60	0.652	63.778	106.297%	11.201	103.114%	1.2818	0.535
F034	17	0.339	28.7	168.824%	7.101	136.659%	5.66445	0.269
F036	48	0.793	50.636	105.492%	11.171	108.502%	1.37445	0.78
F037	5	0.711	7.234	144.68%	2.489	75.046%	1.37024	0.708
F038	17	0.315	28.815	169.5%	7.463	129.914%	3.74014	0.25
F039	23	0.677	29.508	128.296%	7.173	109.387%	1.59605	0.647
F041	46	0.8	41.667	90.58%	7.244	71.033%	1.07105	0.751
F042	37	0.779	31.572	85.33%	5.972	66.356%	0.99501	0.722
F043	24	0.763	20.152	83.967%	4.213	66.613%	0.9377	0.709
F044	16	0.436	26.834	167.712%	11.806	251.705%	6.35703	0.419
F045	28	0.798	23.239	82.996%	4.457	65.715%	2.49081	0.75
F046	3	0.497	4.633	154.433%	1.504	86.833%	3.15656	0.468
F048	9	0.653	10.071	111.9%	3.614	93.313%	1.04502	0.634
F050	3	0.837	2.692	89.733%	0.997	57.562%	0.69948	0.832
F052	6	0.864	5.234	87.233%	1.471	52.008%	0.83735	0.857
F053	13	0.521	16.02	123.231%	3.784	91.775%	1.87271	0.445
F054	15	0.543	20.223	134.82%	4.975	108.563%	2.96004	0.491
F055	81	0.92	58.289	71.962%	11.439	52.933%	0.70788	0.912
F056	4	0.758	4.947	123.675%	1.401	70.05%	1.06552	0.754
F057	45	0.842	36.328	80.729%	6.166	63.938%	1.01583	0.801
F058	94	0.904	59.07	62.84%	10.395	51.463%	0.66436	0.881
F059	24	0.738	30.427	126.779%	8.643	117.616%	2.38696	0.725
F059r	49	0.835	46.021	93.92%	10.176	74.02%	2.61215	0.819
SJ01	263	0.947	115.92	44.076%	21.815	32.654%	0.30767	0.935
SJ02	14	0.702	15.738	112.414%	3.935	87.989%	4.58494	0.672
SJ03	41	0.812	32.645	79.622%	5.859	63.55%	0.75363	0.759
SJ04	2	0.627	2.17	108.5%	1.111	78.56%	2.56782	0.616
SJ08	25	0.704	27.267	109.068%	6.391	97.462%	1.58739	0.666
SJ09	24	0.542	29.111	121.296%	6.296	94.916%	2.36969	0.454
SJ10	20	0.557	26.21	131.05%	4.901	100.041%	2.14877	0.46
SJ12	24	0.77	22.091	92.046%	4.349	70.55%	1.33936	0.723
SJ13	4	0.502	5.818	145.45%	1.731	86.55%	2.79822	0.463
SJ14	7	0.408	11.056	157.943%	5.229	197.638%	9.92673	0.389
SJ17	27	0.684	25.829	95.663%	5.231	79.772%	1.15953	0.603
SJ18	9	0.536	12.287	136.522%	2.943	88.735%	2.71584	0.481
SJ19	28	0.549	43.213	154.332%	14.757	217.58%	3.14163	0.534
