Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	39	0.735	35.259	90.408%	6.109	67.878%	0.75999	0.637
C002	76	0.858	47.935	63.072%	7.654	51.37%	0.46289	0.786
C003	23	0.886	18.905	82.196%	3.14	49.039%	0.62222	0.87
C004	10	0.469	14.424	144.24%	2.834	89.619%	1.99307	0.354
C005	76	0.941	42.76	56.263%	6.344	34.713%	0.3912	0.926
C006	29	0.79	27.29	94.103%	4.507	61.908%	0.82496	0.735
C007	71	0.889	43.369	61.083%	6.619	45.785%	0.40845	0.84
C008	2	0.664	2.932	146.6%	1.12	79.196%	2.26696	0.663
C009	97	0.898	55.06	56.763%	9.015	44.147%	0.36375	0.858
C010	10	0.688	12.117	121.17%	2.515	72.602%	1.63153	0.643
C010r	11	0.528	16.745	152.227%	3.514	85.227%	1.9035	0.463
C011	12	0.734	15.129	126.075%	3.048	68.155%	1.45286	0.705
C013	17	0.89	14.975	88.088%	3.105	47.351%	0.69751	0.882
C014	17	0.752	18.861	110.947%	3.414	68.28%	0.94831	0.722
F001	15	0.622	19.255	128.367%	3.607	78.711%	1.36212	0.549
F002	9	0.5	13.842	153.8%	2.878	86.775%	1.94957	0.425
F002r	65	0.827	46.556	71.625%	7.963	56.448%	0.486	0.761
F004	19	0.711	20.226	106.453%	3.525	70.5%	1.00812	0.635
F005	11	0.639	14.133	128.482%	2.803	77.741%	1.23158	0.585
F006	5	0.871	5.214	104.28%	1.466	55.41%	1.31163	0.87
F007	118	0.957	46.247	39.192%	7.399	28.932%	0.22967	0.942
F008	9	0.715	12.514	139.044%	2.653	73.581%	1.45444	0.706
F010	17	0.789	19.521	114.829%	3.453	62.018%	1.14323	0.76
F011	18	0.618	21.622	120.122%	4.163	78.673%	1.20575	0.531
F012	8	0.798	10.239	127.988%	2.164	68.432%	1.14727	0.816
F013	13	0.643	15.86	122.0%	3.169	76.86%	1.30084	0.58
F014	21	0.679	23.117	110.081%	4.134	74.249%	1.30175	0.596
F015	48	0.835	35.305	73.552%	5.399	55.103%	0.56973	0.757
F016	26	0.849	23.763	91.396%	3.858	54.56%	0.79839	0.822
F017	55	0.924	31.162	56.658%	4.941	38.466%	0.41905	0.901
F018	12	0.624	14.195	118.292%	2.714	78.346%	1.27426	0.538
F019	8	0.719	9.205	115.062%	2.0	70.711%	1.41248	0.687
F020	32	0.8	32.264	100.825%	5.617	60.57%	0.93744	0.763
F021	11	0.762	12.721	115.645%	2.794	67.764%	1.03501	0.747
F022	41	0.763	36.535	89.11%	5.823	65.514%	0.81401	0.667
F023	2	0.741	2.809	140.45%	1.064	75.236%	1.5819	0.747
F024	9	0.783	9.766	108.511%	2.097	63.227%	1.22161	0.761
F026	60	0.902	39.71	66.183%	6.385	43.245%	0.51725	0.877
F027	10	0.627	12.404	124.04%	2.464	77.919%	1.32904	0.557
F029	30	0.909	23.17	77.233%	3.93	41.894%	0.72819	0.895
F031	60	0.872	36.189	60.315%	5.327	49.039%	0.47009	0.79
F034	17	0.741	19.983	117.547%	3.581	68.916%	1.06324	0.706
F036	48	0.874	33.572	69.942%	5.063	49.176%	0.58502	0.827
F037	5	0.705	7.625	152.5%	2.532	76.343%	1.73216	0.706
F038	17	0.756	17.762	104.482%	3.765	65.54%	1.15528	0.723
F039	23	0.727	25.725	111.848%	4.505	68.701%	1.07311	0.669
F041	46	0.881	32.746	71.187%	4.858	47.637%	0.54781	0.84
F042	37	0.855	28.687	77.532%	4.68	52.0%	0.61617	0.814
F043	24	0.814	22.493	93.721%	3.788	59.894%	0.74605	0.779
F044	16	0.664	20.517	128.231%	3.516	74.961%	1.24972	0.592
F045	28	0.861	22.54	80.5%	3.481	51.325%	0.6662	0.822
