NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	27.245	108.015	6.095	71.595	1.012	0.634	60000.0
2	26.444	108.502	5.884	70.165	1.03	0.65	40000.0
3	26.704	106.325	5.966	70.57	0.978	0.651	80000.0
4	27.116	109.007	6.051	70.601	0.994	0.652	40000.0
5	27.139	107.119	6.066	70.888	0.996	0.644	80000.0
6	26.996	110.106	5.897	70.841	1.047	0.638	80000.0
7	27.88	107.857	6.294	71.618	1.024	0.633	40000.0
8	26.376	103.297	5.892	68.872	0.965	0.666	40000.0
9	27.265	110.467	6.066	72.295	1.052	0.614	80000.0
10	27.107	108.351	5.945	70.809	1.011	0.645	40000.0
11	27.436	107.033	5.94	70.274	0.99	0.649	80000.0
12	27.475	110.567	6.235	72.235	1.034	0.625	80000.0
13	27.887	106.997	6.245	70.704	0.975	0.645	60000.0
14	26.641	108.593	5.905	71.575	1.03	0.625	40000.0
15	26.464	109.069	5.856	70.799	1.025	0.631	40000.0
16	27.131	111.172	6.093	71.586	1.049	0.63	60000.0
17	26.716	104.478	5.862	68.737	0.959	0.664	40000.0
18	26.719	107.011	5.953	69.973	0.991	0.652	80000.0
19	27.564	106.885	6.179	70.908	0.983	0.652	40000.0
20	27.079	110.466	6.058	72.264	1.053	0.623	60000.0
21	26.553	108.564	5.889	71.199	1.014	0.631	40000.0
22	27.547	108.898	6.298	71.922	1.016	0.637	40000.0
23	25.881	107.766	5.748	69.224	1.028	0.655	40000.0
24	26.846	106.578	6.046	70.476	0.982	0.643	60000.0
25	28.008	106.292	6.285	69.585	0.959	0.667	40000.0
26	27.474	110.037	6.185	70.986	1.033	0.643	40000.0
27	26.176	106.578	5.773	69.596	0.979	0.654	80000.0
28	27.459	106.406	6.094	70.13	1.007	0.647	0.0
29	26.529	104.342	5.988	71.36	0.963	0.647	60000.0
30	27.975	110.241	6.196	71.474	1.014	0.638	60000.0
31	26.965	106.794	5.944	70.527	1.007	0.645	0.0
32	27.146	107.53	6.008	70.549	0.997	0.644	60000.0
33	27.292	106.958	5.923	70.075	1.007	0.647	60000.0
34	28.067	110.711	6.187	72.006	1.037	0.631	40000.0
35	26.556	106.985	5.76	69.911	0.983	0.652	0.0
36	26.862	107.927	5.902	71.006	1.026	0.637	60000.0
37	27.082	107.47	6.038	70.017	1.009	0.651	60000.0
38	26.955	107.446	5.894	70.536	1.016	0.65	80000.0
39	26.841	106.098	6.045	69.586	0.986	0.65	60000.0
40	26.808	108.479	6.018	71.259	1.027	0.628	40000.0
41	27.206	106.54	6.063	71.165	0.988	0.643	60000.0
42	26.854	104.653	6.067	70.141	0.962	0.658	40000.0
43	26.509	106.02	5.86	69.416	0.964	0.664	40000.0
44	27.302	107.456	5.982	70.146	0.985	0.652	60000.0
45	26.416	104.293	5.955	69.334	0.958	0.661	60000.0
46	27.617	107.356	6.21	70.942	0.972	0.65	40000.0
47	26.509	107.808	5.776	69.526	0.999	0.659	60000.0
48	26.962	106.712	5.932	70.182	0.989	0.649	60000.0
49	27.24	109.646	6.016	71.749	1.026	0.623	40000.0
50	27.097	108.691	5.936	70.804	1.025	0.634	40000.0
51	26.966	110.938	6.093	71.681	1.051	0.626	60000.0
52	26.176	104.607	5.755	69.352	0.95	0.66	0.0
53	26.904	108.616	6.1	70.739	1.009	0.648	60000.0
54	27.226	109.765	5.92	71.505	1.059	0.628	0.0
55	26.136	104.775	5.863	68.427	0.935	0.686	80000.0
56	28.262	107.343	6.215	69.867	1.003	0.658	40000.0
57	27.535	107.454	6.06	70.753	1.003	0.648	60000.0
58	27.334	108.821	6.128	71.521	1.011	0.632	60000.0
59	26.736	107.56	5.928	69.933	1.004	0.647	60000.0
60	27.277	105.961	6.024	69.48	0.992	0.66	60000.0
61	27.065	108.904	6.061	71.698	0.998	0.635	40000.0
62	27.617	108.655	6.01	70.21	1.012	0.652	80000.0
63	26.999	111.348	6.03	71.983	1.067	0.619	40000.0
64	26.935	106.086	5.974	69.284	1.005	0.654	40000.0
65	27.777	110.201	6.095	71.781	1.061	0.62	80000.0
66	27.023	109.032	6.084	71.032	1.043	0.638	40000.0
67	27.553	109.507	6.116	70.468	1.025	0.647	40000.0
68	26.855	107.898	6.024	70.692	0.989	0.646	60000.0
69	27.285	107.716	6.004	69.607	0.995	0.663	0.0
70	26.85	107.961	5.926	70.757	1.005	0.646	40000.0
71	26.709	109.15	6.032	71.836	1.025	0.624	40000.0
72	27.314	104.864	6.041	68.676	0.966	0.664	40000.0
73	26.682	107.652	5.817	69.894	1.002	0.654	60000.0
74	27.611	110.272	6.064	70.984	1.046	0.636	40000.0
75	27.752	112.053	6.21	73.104	1.067	0.617	40000.0
76	26.788	106.19	5.855	68.906	0.996	0.666	60000.0
77	27.417	106.861	6.1	69.613	1.014	0.654	40000.0
78	27.568	104.343	6.034	69.107	0.96	0.663	40000.0
79	26.879	108.587	5.884	70.247	1.041	0.646	40000.0
80	26.398	106.927	5.824	70.354	0.994	0.651	60000.0
81	27.182	107.089	5.997	69.977	0.997	0.646	60000.0
82	28.471	112.003	6.298	72.597	1.049	0.623	60000.0
83	27.363	108.985	6.099	71.02	1.022	0.641	80000.0
84	26.245	105.78	5.904	69.71	0.985	0.664	80000.0
85	26.406	106.87	5.997	69.792	0.986	0.659	40000.0
86	27.321	108.856	6.161	70.586	1.014	0.641	60000.0
87	26.882	109.983	6.012	71.894	1.038	0.622	60000.0
88	27.798	109.892	6.23	72.111	1.043	0.621	60000.0
89	27.878	107.099	6.151	70.176	0.958	0.663	60000.0
90	27.141	104.662	5.916	68.48	0.988	0.671	80000.0
91	26.999	108.164	6.041	70.318	1.0	0.648	40000.0
92	26.812	107.912	5.946	70.264	1.009	0.648	80000.0
93	26.997	110.318	6.176	72.226	1.039	0.626	60000.0
94	27.212	107.326	6.055	70.158	0.981	0.649	40000.0
95	27.107	110.429	6.089	71.778	1.032	0.632	60000.0
96	27.761	111.562	6.039	72.146	1.052	0.624	60000.0
97	27.094	109.358	6.151	71.388	1.033	0.634	60000.0
98	26.798	107.044	5.87	70.616	1.002	0.644	60000.0
99	26.715	107.07	5.888	69.877	1.026	0.643	60000.0
100	26.867	108.588	6.005	71.2	1.014	0.639	40000.0
101	26.587	108.451	5.955	70.521	1.025	0.643	60000.0
102	27.083	109.594	6.029	71.798	1.035	0.628	40000.0
103	27.75	107.036	6.216	70.43	1.017	0.647	60000.0
104	27.655	109.599	6.076	71.513	1.04	0.631	40000.0
105	26.978	109.19	6.11	71.188	1.03	0.637	60000.0
106	28.029	108.791	6.183	70.923	1.003	0.644	60000.0
107	28.637	109.517	6.359	71.357	1.001	0.643	60000.0
108	26.715	107.632	5.82	69.405	1.01	0.659	60000.0
109	27.492	109.51	6.107	72.507	1.023	0.617	60000.0
110	28.236	110.558	6.225	71.752	1.029	0.637	80000.0
111	27.011	110.358	6.097	72.339	1.053	0.622	40000.0
112	27.702	111.214	6.087	72.24	1.047	0.611	0.0
113	27.624	108.536	6.189	71.539	1.012	0.64	60000.0
114	26.763	110.741	5.956	71.679	1.065	0.62	80000.0
115	26.327	108.336	5.909	70.76	1.016	0.638	60000.0
116	27.371	108.493	6.114	70.792	1.007	0.64	40000.0
117	27.159	109.654	6.107	72.112	1.031	0.623	40000.0
118	27.254	108.053	6.188	71.196	1.012	0.637	80000.0
119	27.567	111.576	6.162	72.71	1.038	0.619	40000.0
120	27.561	104.81	5.93	69.099	0.96	0.667	40000.0
121	27.299	108.185	5.966	70.045	1.025	0.66	60000.0
122	26.218	106.927	5.902	69.625	1.005	0.65	80000.0
123	27.395	107.585	6.164	70.403	1.027	0.646	40000.0
124	26.204	106.199	5.951	69.794	1.011	0.655	60000.0
125	26.873	109.167	6.026	71.474	1.035	0.633	40000.0
126	26.846	108.012	6.124	71.47	1.017	0.638	40000.0
127	26.381	107.529	5.805	70.422	0.998	0.64	40000.0
128	26.491	106.724	5.885	69.366	0.993	0.655	60000.0
129	27.747	107.433	6.213	70.699	1.0	0.652	40000.0
130	26.23	106.264	5.848	70.431	0.988	0.639	40000.0
131	26.958	109.42	6.027	71.122	1.038	0.64	60000.0
132	27.125	108.885	6.026	70.962	1.027	0.645	60000.0
133	26.699	105.134	6.009	69.381	0.973	0.679	40000.0
134	26.568	107.575	5.845	70.268	1.019	0.638	60000.0
135	27.617	110.656	6.085	72.351	1.044	0.617	60000.0
136	26.42	108.937	5.84	70.826	1.012	0.643	60000.0
137	27.024	107.433	6.131	70.414	0.994	0.653	60000.0
138	25.979	103.881	5.843	68.095	0.939	0.683	40000.0
139	26.294	107.807	5.771	70.843	1.02	0.637	40000.0
140	26.89	105.02	6.047	69.167	0.997	0.664	60000.0
141	26.484	104.383	5.752	68.357	0.956	0.67	60000.0
142	27.266	106.844	5.983	70.104	0.982	0.657	40000.0
143	27.779	109.374	6.196	70.868	1.029	0.646	60000.0
144	26.765	109.812	6.053	71.984	1.037	0.621	60000.0
145	26.922	106.348	6.05	70.64	1.005	0.64	40000.0
146	27.125	108.562	6.023	70.842	1.024	0.634	40000.0
147	27.006	110.305	6.001	71.524	1.063	0.624	40000.0
148	25.911	105.051	5.796	68.885	0.974	0.662	0.0
149	26.725	107.168	5.927	70.285	1.014	0.653	40000.0
150	27.258	108.714	6.064	71.16	1.008	0.645	40000.0
151	27.193	104.526	5.996	68.833	0.968	0.664	40000.0
152	26.896	107.112	5.92	70.333	0.984	0.647	60000.0
153	27.629	109.123	6.226	72.106	1.016	0.631	60000.0
154	26.688	106.77	5.936	69.524	0.983	0.662	40000.0
155	27.271	108.782	6.085	71.632	1.029	0.632	80000.0
156	27.407	106.065	6.091	70.183	0.977	0.653	60000.0
157	27.861	106.999	6.073	69.966	0.992	0.656	0.0
158	26.366	107.7	5.899	69.942	0.997	0.653	60000.0
159	27.312	107.205	6.174	71.082	0.998	0.638	60000.0
160	27.632	111.584	6.228	72.842	1.056	0.614	40000.0
