Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
C001	33	0	36	338	42	0	0	0	24	96
C002	24	41	34	95	439	0	44	0	24	29
C003	17	79	17	98	20	16	0	0	14	0
C004	0	0	1	0	2	4	5	2	0	7
C005	29	165	0	0	47	148	349	156	129	41
C006	13	82	0	95	0	0	0	83	1	5
C007	21	163	28	108	0	0	14	182	5	4
C008	5	0	0	0	0	0	0	7	0	0
C009	20	109	59	299	125	110	23	0	16	55
C010	1	2	6	0	1	0	1	12	2	10
C010r	7	20	0	0	0	0	1	1	13	21
C011	5	0	0	0	0	15	2	26	1	5
C013	4	0	13	0	16	0	11	42	0	0
C014	1	64	9	0	25	0	8	14	1	10
F001	0	45	0	0	3	24	7	20	5	35
F002	0	0	0	52	0	0	14	0	0	0
F002r	11	54	79	112	38	96	18	40	0	93
F004	0	2	2	13	7	0	0	37	5	1
F005	0	0	10	31	0	0	2	48	4	20
F006	0	0	0	0	0	0	0	0	0	8
F007	14	246	105	185	270	0	57	172	978	32
F008	0	0	0	110	0	0	62	0	0	0
F010	9	45	0	10	0	22	2	18	1	17
F011	8	32	0	0	0	0	1	48	0	11
F012	13	21	1	33	12	0	0	23	0	3
F013	3	3	0	0	1	0	3	0	0	13
F014	1	85	19	10	0	0	0	74	0	9
F015	0	269	17	124	44	0	31	12	10	0
F016	4	131	6	0	18	0	12	47	0	21
F017	28	0	42	0	0	336	137	34	9	0
F018	0	0	0	0	2	0	13	43	0	0
F019	0	0	0	2	0	0	1	1	1	3
F020	3	149	27	140	26	0	32	0	0	7
F021	0	4	1	0	0	0	0	0	0	3
F022	0	92	60	125	0	0	0	11	18	0
F023	6	2	0	0	2	0	0	22	0	0
F024	0	0	0	0	0	0	0	0	0	4
F026	46	0	0	0	0	701	74	23	552	0
F027	0	0	5	9	0	0	0	11	0	6
F029	4	92	23	0	0	0	82	43	34	50
F031	78	390	29	3	89	4	2	34	21	0
F034	0	65	22	0	6	11	0	14	0	11
F036	0	0	14	0	0	505	168	49	0	0
F037	2	0	0	0	1	0	0	0	0	6
F038	12	114	0	0	5	15	4	13	13	0
F039	0	69	0	31	0	0	15	0	7	28
F041	31	0	0	414	215	0	0	41	2	0
F042	2	78	39	152	43	0	4	28	3	0
F043	13	15	0	93	0	0	19	17	65	38
F044	0	0	0	7	4	0	0	13	0	43
F045	12	74	11	80	0	0	39	30	60	0
F046	0	0	7	10	2	0	1	3	5	0
F048	0	0	0	0	0	0	3	0	2	23
F050	0	0	5	0	2	0	0	0	0	0
F052	4	9	0	20	0	4	0	0	0	7
F053	12	0	0	62	0	0	0	15	11	25
F054	4	18	0	6	0	0	0	4	0	9
F055	45	0	74	0	107	0	817	56	30	26
F056	7	23	0	0	19	0	0	6	0	23
F057	19	140	0	37	89	30	1	86	7	2
F058	39	346	46	64	164	0	52	99	45	41
F059	0	32	0	32	0	0	0	144	5	4
F059r	14	0	0	71	0	0	11	208	15	0
SJ01	1993	0	53	5	17	116	412	143	24	0
SJ02	35	48	22	98	34	0	12	35	0	20
SJ03	10	203	12	0	37	0	35	137	0	36
SJ04	0	0	0	0	0	0	0	0	0	19
SJ08	3	137	13	0	14	31	2	88	8	0
SJ09	0	51	0	1	0	0	8	17	0	56
SJ10	8	0	15	0	0	311	91	22	147	0
SJ12	27	55	2	57	61	0	5	44	3	22
SJ13	1	14	4	0	88	0	6	4	9	0
SJ14	0	4	1	8	35	42	0	25	0	8
SJ17	10	0	0	168	77	15	21	0	10	34
SJ18	5	0	17	63	15	18	0	26	0	12
SJ19	25	98	0	74	0	0	11	33	15	48
SJ20	63	291	84	0	678	225	48	82	66	63
SJ25	7	0	9	0	19	0	6	9	104	50
SJ28	47	81	57	119	160	201	6	61	35	300
SJ31	1	0	0	0	15	0	4	11	0	93
SJ32	12	0	177	52	50	387	172	184	29	0
SJ33	17	90	0	3	19	9	0	0	0	17
T135	1739	0	2702	0	225	0	119	0	115	16
