Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
SJ09	2.03E-01	1.94E+00	6.80E-01	1.74E+00	3.73E-01	1.26E+00	4.62E-01	8.41E-01	1.36E-01	1.57E+00
SJ10	9.43E-01	1.75E+00	2.35E+00	3.45E+00	2.34E+00	7.43E+00	2.68E+00	2.25E+00	4.92E+00	1.89E+00
SJ12	9.52E-01	2.75E+00	1.56E+00	2.87E+00	2.03E+00	2.36E+00	4.69E-01	1.38E+00	5.09E-01	1.79E+00
SJ13	3.50E-01	1.03E+00	9.81E-01	1.11E+00	1.82E+00	1.34E+00	4.19E-01	3.74E-01	5.98E-01	9.98E-01
SJ14	1.20E-01	1.26E+00	8.13E-01	1.07E+00	1.28E+00	1.51E+00	4.56E-01	9.43E-01	1.69E-01	8.75E-01
SJ17	5.62E-01	3.22E+00	2.26E+00	4.30E+00	3.07E+00	2.86E+00	8.52E-01	4.89E-01	6.59E-01	2.27E+00
SJ18	5.19E-01	1.45E+00	1.34E+00	1.90E+00	1.22E+00	1.88E+00	3.08E-01	1.04E+00	7.19E-02	1.04E+00
SJ19	1.06E+00	3.45E+00	1.77E+00	3.31E+00	1.30E+00	2.51E+00	6.10E-01	1.33E+00	9.73E-01	2.00E+00
SJ20	2.61E+00	9.59E+00	6.18E+00	9.36E+00	7.71E+00	8.75E+00	2.85E+00	3.04E+00	2.83E+00	6.21E+00
SJ25	5.19E-01	1.30E+00	9.52E-01	6.50E-01	1.55E+00	1.81E+00	4.77E-01	4.79E-01	2.23E+00	1.52E+00
SJ28	1.70E+00	6.37E+00	3.67E+00	6.10E+00	4.27E+00	4.95E+00	1.83E+00	2.60E+00	3.01E+00	4.53E+00
SJ31	3.40E-01	7.52E-01	5.11E-01	1.00E+00	1.39E+00	1.41E+00	4.43E-01	8.51E-01	2.26E-01	2.52E+00
SJ32	1.83E+00	4.16E+00	4.40E+00	4.89E+00	4.15E+00	7.49E+00	4.33E+00	3.74E+00	3.87E+00	2.93E+00
SJ33	7.44E-01	2.92E+00	9.70E-01	2.78E+00	1.15E+00	1.17E+00	3.06E-01	2.22E-01	3.34E-01	1.29E+00
T135	5.59E+01	1.05E+01	5.94E+01	1.40E+01	1.90E+01	1.12E+01	1.06E+01	5.75E-01	5.86E+00	1.04E+01
