MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	0.09269112697336823	0.05149218559041401	0.022990534272976218	0.036989623223817034	0.03029191223722478	0.09707306011900073	0.04926836637159795	0.05282679295416921
1:Del:C:1	0.03064544068755879	0.07493578257506328	0.010113345782897909	0.024589190079494755	0.041603671595854055	0.00707705380371209	0.021766664618309502	0.016924335714657558
1:Del:C:2	0.0024541661998089027	0.01845336752173836	0.027323482774133084	0.007941604974943032	0.01661131688757081	0.0005764664552183518	0.008384130107614567	0.008234044675532726
1:Del:C:3	0.004778095319652991	0.004263548222467764	0.0036130150380799765	0.0057816231479986754	0.003220313592241908	0.000477929029702473	0.003534375308854294	0.00442997920325567
1:Del:C:4	0.0003567237142515867	0.008077544051658113	0.0027948098410551124	0.004618236897372591	0.004966639043020363	0.0056886629629129	0.006438456934042201	0.006035348157476932
1:Del:C:5	0.00043699423188325425	0.004799804272102204	0.0086435163045563	0.0040959989658709796	0.007730956560250632	0.007733532452698606	0.010178789631233372	0.006918632361743562
1:Del:T:0	0.05952060185706415	0.1932916971296072	0.01568147339110496	0.006702461088141262	0.014231788122809803	0.009525421378846488	0.029553413999225092	0.014699285762746763
1:Del:T:1	0.04104991363374097	0.07992136012906755	0.009400865394184237	0.007324571224131802	0.007616761665136415	0.007534099795009226	0.004525036603485368	0.032864265341110574
1:Del:T:2	0.0372272550949026	0.017501212659234967	0.012472563298667865	0.027253301780847464	0.018510215516056406	0.0012116394314408297	0.01490170332180945	0.02602462287682158
1:Del:T:3	0.004318975999928227	0.0031798074914594922	0.024746305935062198	0.046919702762033354	0.008445686389027927	0.02029849371623527	0.023295096140197983	0.014849510507776244
1:Del:T:4	6.680261974544522e-05	0.02057462667546389	0.030961886688014105	0.01168872597775824	0.010685588929222197	0.015160425776836206	0.016318535728993916	0.011216592802348373
1:Del:T:5	0.0005107817444945795	0.022938393272106127	0.24568616244010627	0.025696844928288984	0.03497283690366935	0.0011922240604707924	0.010200563906770058	0.02455252139224221
1:Ins:C:0	0.0042720555565313135	0.011384187615812778	0.019090698932546956	0.019392967964982404	0.036269813956650125	0.038468905236043155	0.07575710074100081	0.020296816129991554
1:Ins:C:1	0.005879651052019881	0.008957585860635433	0.008194709749602751	0.0011179419871901785	0.017562774726626172	0.011596524160562147	0.008964097464937027	0.01467314254441387
1:Ins:C:2	0.00388911375157003	0.00029842550045489525	0.005130651387563248	0.0038920633103919134	0.0024038063777702765	0.0027202170274015815	0.003527438162724501	0.007416994239133601
1:Ins:C:3	0.0002145836327952999	0.0034402884557418025	0.014933886171624024	0.001185076367868243	0.009269011250559914	0.0003680345460344325	0.0028807013850007924	0.003166658011969652
1:Ins:C:4	0.001961857495009349	0.000246574754375839	0.0027815900879650714	0.0041212079694711076	0.0036341437671637777	0.0014674598891141243	0.004493415048597047	0.0039283220333074095
1:Ins:C:5	0.00021953887126690218	0.013917059018771312	0.008667305153124118	0.008374711413380566	0.010330486910524642	0.0030385256395007686	0.006776981457585247	0.006594649118365785
1:Ins:T:0	0.011542154228139622	0.0037579584550465482	0.004266276693269166	0.017789867947713277	0.006945736965552669	0.24067066596820952	0.019965690675456428	0.02155768108564061
1:Ins:T:1	0.04824395524850047	0.030805738093016545	0.008251736392807487	0.016332801484035143	0.013671314701151118	0.028195278512343408	0.029027776817986788	0.05511459915365222
1:Ins:T:2	0.014776304704224686	0.0076516408541441195	0.003087230053902559	0.00898481597385878	0.009602230911273785	0.013608638919248718	0.006008909288598367	0.011787668112416647
1:Ins:T:3	0.006984634141982724	0.014779474209029501	0.013897326795024388	0.005682742234697341	0.017589927820547472	0.00861767943185601	0.00560269486780049	0.013528785775676084
1:Ins:T:4	9.968392897796718e-08	0.0003681352421498207	0.006860724621847964	0.005898772025227572	0.006100477528706776	0.002353981492937045	0.004183882198581941	0.0027061472337300075
1:Ins:T:5	0.013632054071372295	0.09820816941131681	0.11604425281545616	0.03606541174003226	0.229870948749317	0.002608781212332745	0.03836713827529366	0.03778481600006756
2:Del:R:0	0.02161967027479591	0.022620915612661684	0.009656301180920934	0.02542203195684806	0.02236121627834109	0.020745430632910598	0.031574827698278574	0.01916098807869443
2:Del:R:1	0.021684939912194067	0.00993770943838058	0.021093140572304492	0.18012331372126936	0.026795125949737583	0.011197119518438398	0.05288890385025695	0.029728333738107154
2:Del:R:2	0.0020429573960513638	0.0014034283870917009	0.011482026823003864	0.01475927886386998	0.026088800572721452	0.0018399812786959301	0.023080107502935335	0.00775703705070292
2:Del:R:3	0.006055653675188051	0.0011745166693226494	0.0016736395324709297	0.0018031649703249642	0.002687791765914085	0.0038630740592394373	0.004642301689788511	0.00656527520576006
2:Del:R:4	0.000155038599914941	0.0020374303146307327	0.0017285704161432846	0.0012467393458756137	0.00019511542886492704	0.0009908264242872633	0.0004384196082054359	0.0011926972282683224
2:Del:R:5	1.4568644595591707e-07	0.00033715012128668673	0.005380487685276183	0.00484659321464143	0.001868446152299299	0.0002828840228543328	0.0020401286849897815	0.0008248200436057207
