MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
4:Ins:R:3	1.64E-04	1.04E-04	3.01E-04	2.52E-04	2.76E-04	1.24E-04	2.26E-04	3.48E-04
4:Ins:R:4	3.35E-04	8.95E-05	2.27E-04	3.84E-04	1.96E-04	1.02E-04	2.77E-04	2.72E-04
4:Ins:R:5	6.25E-04	3.81E-04	5.37E-04	7.17E-04	1.29E-03	9.91E-04	1.25E-03	1.32E-03
5:Ins:R:0	2.09E-03	2.26E-03	2.88E-04	7.44E-04	1.47E-03	1.26E-03	2.54E-03	3.91E-03
5:Ins:R:1	8.64E-04	8.38E-04	1.70E-03	1.56E-03	1.66E-03	2.26E-03	2.18E-03	2.87E-03
5:Ins:R:2	2.82E-04	1.99E-04	7.90E-05	1.88E-04	2.42E-04	4.26E-04	4.34E-04	4.44E-04
5:Ins:R:3	7.44E-05	1.77E-04	2.70E-04	2.12E-04	3.38E-04	4.07E-04	4.25E-04	5.18E-04
5:Ins:R:4	4.73E-04	2.00E-04	1.80E-04	2.85E-04	3.16E-04	1.06E-04	3.48E-04	6.01E-04
5:Ins:R:5	2.62E-04	1.03E-04	1.90E-04	2.42E-04	2.05E-04	3.28E-04	3.03E-04	4.48E-04
2:Del:M:1	1.02E-03	1.68E-03	1.67E-03	4.17E-03	2.73E-03	4.49E-03	5.32E-03	2.53E-03
3:Del:M:1	8.90E-04	5.77E-04	9.54E-04	6.00E-04	5.86E-04	4.47E-04	5.77E-04	1.17E-03
3:Del:M:2	8.58E-04	3.68E-04	1.91E-03	1.53E-03	2.57E-03	8.17E-04	2.04E-03	3.61E-03
4:Del:M:1	4.42E-04	6.79E-04	6.88E-04	1.00E-03	1.21E-03	5.48E-04	1.02E-03	1.24E-03
4:Del:M:2	2.10E-04	5.41E-04	4.61E-04	1.24E-03	6.63E-04	1.17E-03	1.40E-03	9.20E-04
4:Del:M:3	6.44E-04	2.19E-04	1.03E-03	1.97E-03	2.25E-03	1.20E-03	2.30E-03	2.73E-03
5:Del:M:1	2.76E-03	1.72E-03	2.05E-03	2.33E-03	3.07E-03	4.85E-04	2.91E-03	1.91E-03
5:Del:M:2	2.32E-03	2.17E-03	2.18E-03	1.74E-03	1.25E-03	3.92E-04	1.24E-03	2.07E-03
5:Del:M:3	1.47E-03	1.10E-03	4.22E-04	1.48E-03	7.47E-04	7.06E-04	9.91E-04	1.74E-03
5:Del:M:4	9.30E-04	6.27E-04	1.22E-03	1.46E-03	6.53E-04	7.45E-04	1.10E-03	1.84E-03
5:Del:M:5	1.03E-03	1.34E-03	1.07E-03	9.29E-04	1.57E-03	2.64E-03	1.54E-03	2.60E-03
