NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
175	9.052	179.002	2.795	95.721	3.18	0.182	80000.0
176	8.519	178.473	2.776	95.452	3.137	0.196	40000.0
177	8.397	179.016	2.776	95.482	3.164	0.192	20000.0
178	8.619	177.428	2.713	95.293	3.053	0.206	20000.0
179	8.382	176.517	2.686	94.145	2.961	0.236	40000.0
180	8.242	175.964	2.72	94.569	3.102	0.227	20000.0
181	8.812	179.789	2.78	95.609	3.197	0.192	20000.0
182	8.189	177.665	2.649	94.645	3.033	0.222	20000.0
183	8.371	177.19	2.671	95.047	3.072	0.208	20000.0
184	8.643	179.285	2.844	95.461	3.115	0.194	40000.0
185	8.356	177.464	2.674	95.338	3.104	0.204	40000.0
186	8.364	178.818	2.665	95.334	3.091	0.205	20000.0
187	8.451	177.097	2.607	94.307	3.068	0.228	40000.0
188	7.719	174.773	2.479	93.22	3.001	0.255	40000.0
189	8.659	177.123	2.738	95.066	3.109	0.205	20000.0
190	8.218	178.869	2.555	95.352	3.147	0.186	40000.0
191	8.384	176.694	2.634	94.787	2.978	0.224	40000.0
192	8.405	178.346	2.666	94.624	3.119	0.211	20000.0
193	8.083	177.757	2.67	94.608	3.145	0.211	20000.0
194	8.339	176.729	2.722	94.885	3.084	0.212	20000.0
195	8.473	177.665	2.818	94.952	3.106	0.213	20000.0
196	8.419	177.188	2.676	94.763	3.092	0.215	20000.0
197	8.878	178.588	2.7	95.584	3.143	0.191	40000.0
198	8.467	175.533	2.707	94.449	3.071	0.227	20000.0
199	8.626	178.096	2.722	94.774	3.16	0.215	60000.0
200	8.675	176.243	2.789	94.595	3.066	0.226	80000.0
