MutationType	SignatureA	SignatureB	SignatureC	SignatureD
GTT>GCT	7.10975679863901e-05	0.00529177868526047	0.00148195709978205	0.0198004062116779
TTA>TCA	0.000247614150185401	0.00205535448637661	0.00104062492945898	0.0157144998459225
TTC>TCC	0.00339697293677975	0.0155270513712787	0.00111439243565219	0.0049714068326531
TTG>TCG	0.000412156701904643	0.00235799059253991	0.00121201358422883	0.00341786595810596
TTT>TCT	0.00427420125128516	0.020993823218169	0.00099797612679232	0.00552940378291267
ATA>AGA	0.000168519499571953	0.00084441598168706	0.00139667033257375	0.0145908301158319
ATC>AGC	0.000204337230352979	0.000699810359887057	0.00447103688478912	0.00494311937127521
ATG>AGG	0.000262658935581113	0.000713660149586797	0.000980947268373506	0.00755956995704252
ATT>AGT	0.000109830748053442	0.0124142675862136	0.0685073309800524	0.00465656097953429
CTA>CGA	3.48929706491697e-05	0.000308586168574225	0.00203711963481817	0.00724557495004939
CTC>CGC	0.000209005461807156	0.00103838949075916	0.0312971293034418	0.0010560074056521
CTG>CGG	0.000125813485606627	1.93118609203068e-06	0.0136141607288039	0.00945907959651718
CTT>CGT	0.000169175633846104	0.0053203645780027	0.550120049047841	0.00602870006219654
GTA>GGA	9.99999987000003e-10	0.000489889724769376	0.000277617834747574	0.00524899162086831
GTC>GGC	9.99999987000003e-10	0.000202351859361972	0.00618877880287	0.00775067021192867
GTG>GGG	0.000343660871230016	0.000835107701108483	0.00147762979558129	0.00727699541337674
GTT>GGT	1.45585482833281e-05	0.00731154154223011	0.114927285289221	0.00657609864774203
TTA>TGA	9.99999987000003e-10	9.99999996000001e-10	1.19770039050938e-05	0.00719008871070224
TTC>TGC	5.52133359340896e-05	0.000117721435233224	0.00886448528359693	0.00221024957792162
TTG>TGG	0.000577613839448093	0.00092312823197307	0.00478795448976348	0.00993551379636197
TTT>TGT	9.99999987000003e-10	0.0045786528732959	0.121753087468664	0.010187747935364
