MutationType	SignatureA	SignatureB	SignatureC	SignatureD
ACA>AAA	0.000876022848967769	0.00207279917803763	0.000607768759671387	0.0103157475775487
ACC>AAC	0.00222011955198115	0.000905293424834095	0.000126994322781832	0.00736566474014898
ACG>AAG	0.000179727203343363	4.89499974135772e-05	5.97470705624088e-05	0.0279360788145456
ACT>AAT	0.00126505262139615	6.1857486164911e-05	0.000455634441994988	0.00834525731970439
CCA>CAA	0.00030502624241984	0.000292085364964109	0.000267858222920602	0.0134757977930175
CCC>CAC	0.00173825870212213	0.00114083947690416	4.03511842113369e-05	0.0179551669125273
CCG>CAG	9.19544808510908e-05	9.99999996000001e-10	9.99999991000002e-10	0.019956602913181
CCT>CAT	9.99999987000003e-10	0.00013565049484648	0.000179895423237196	0.0121642196429415
GCA>GAA	0.00155626957873352	0.00177563179827155	0.000993828310634046	0.00503343841018238
GCC>GAC	0.000329319166879339	0.00125930941365686	2.73033029158968e-06	0.00182379941734543
GCG>GAG	0.000582768115379397	0.00010657828237312	9.27433403872756e-05	0.00761782080948221
GCT>GAT	9.99999987000003e-10	4.66481624332184e-05	0.000529085489676725	0.0021104494700775
TCA>TAA	6.50649746569654e-05	0.000190274304271182	1.23964158922855e-05	0.0101445204523057
TCC>TAC	0.00249718024174828	2.58901343013135e-05	9.99999991000002e-10	0.00798585667045143
TCG>TAG	9.99999987000003e-10	9.99999996000001e-10	9.65409742833047e-05	0.00597874328145269
TCT>TAT	5.83920548974847e-06	0.000289650372242684	0.0025802550565792	0.0117935627206235
ACA>AGA	0.00183905473936801	0.00101136578252078	0.000145944471894773	0.0082266190187147
ACC>AGC	0.00118795870763904	0.000561124138050764	4.27252217731125e-05	0.00672605996462043
ACG>AGG	0.000116771911776761	0.000156310916110582	9.99999991000002e-10	0.0677517780755164
ACT>AGT	0.00112668749093094	1.96182318581272e-05	0.000318744269728949	0.00867684155257459
CCA>CGA	2.35613219305068e-05	0.00054753629432255	0.000191750904968991	0.00867373447831709
CCC>CGC	7.45800381692624e-05	0.00023111834230386	4.57509777189367e-05	0.0120330075222531
CCG>CGG	0.000347295893343176	0.000231819593369209	9.99999991000002e-10	0.0118347483180821
CCT>CGT	9.99999987000003e-10	3.86158342993631e-05	0.00019076822354274	0.013331280332221
GCA>GGA	9.44596535446487e-06	0.000875845347686751	5.96496150370533e-05	0.00680582433636655
GCC>GGC	0.000159316647103869	0.000821502625315214	5.45083925119523e-05	0.00164296012411829
GCG>GGG	0.00016480324898293	2.3829295209839e-05	9.99999991000002e-10	0.00852844116053852
GCT>GGT	9.99999987000003e-10	0.000781108592232825	9.99999991000002e-10	0.0209714428357475
TCA>TGA	9.99999987000003e-10	0.00375541390008912	0.000159953753448846	0.00827065670019574
TCC>TGC	0.000200366635997985	0.000722724598449794	6.16695707544589e-05	0.013429936651064
TCG>TGG	6.96847183830898e-05	0.000386426450488353	1.57348591103178e-05	0.0236833031548116
TCT>TGT	0.00154917696666796	0.000284621719946804	0.00150598544158319	0.0160981488606096
ACA>ATA	0.0247184776796775	0.0012216497571043	0.000570782831862435	0.0101152830880419
ACC>ATC	0.00615401560022841	0.00168633088939685	6.92069836555253e-05	0.0099317557809302
ACG>ATG	0.370623893900154	4.06202709629474e-05	0.00029462902493834	0.0235133778819334
ACT>ATT	0.00946812821326173	0.000737685555073451	0.000146882155643121	0.0166670484055099
CCA>CTA	0.0019552964257682	0.000812888422493332	0.000451701874076439	0.0162263135000939
CCC>CTC	0.000262195446688814	0.00169158956920271	5.78268795632051e-05	0.00406099474408582
CCG>CTG	0.193380667884269	0.001898522531903	0.000541638960192607	0.00203012005674028
CCT>CTT	0.000191624800733112	0.00172286029951004	0.00013442734923219	0.0140370495870026
GCA>GTA	0.00437331451239039	0.00163597536469963	6.08445989776956e-05	0.0047018838831801
GCC>GTC	9.01499076295061e-05	9.99999996000001e-10	0.000154194912150928	0.00245662582936598
GCG>GTG	0.216428363122162	0.00161878334547852	0.000858177013323817	0.00396245191731815
GCT>GTT	3.76324710980901e-05	6.55059302253705e-05	9.99999991000002e-10	0.0106184687092803
TCA>TTA	0.00109760063631051	0.00053276805195931	0.00010796878357797	0.0166594612318566
TCC>TTC	3.68161355799252e-05	9.05654891003474e-05	0.000602725254622867	0.00607188780571718
TCG>TTG	0.110451282739769	0.000179993372990627	6.33454973215374e-05	0.00449651561994669
TCT>TTT	9.99999987000003e-10	0.000349994199793243	0.000898571313477967	0.0121928979382761
ATA>AAA	0.00078381162591606	0.00100218583020439	6.20082005809336e-05	0.00398766698146592
ATC>AAC	0.00220131412409248	0.000996729898296277	0.000288421799041085	0.00931271011391518
ATG>AAG	0.00111728054687489	0.000198514645225813	6.50992278102419e-05	0.0029983770493614
ATT>AAT	0.000179455597265891	0.00144998645406976	0.00062757077439035	0.0163942238616088
CTA>CAA	4.22647250116702e-05	0.000432020636003914	9.30119013751123e-05	0.0028008657037857
CTC>CAC	0.000387448804199115	0.0404372830536023	0.00223266145349394	0.0100974673411213
CTG>CAG	0.000318465385441773	0.0123436636810209	0.000712507535952729	0.00513827531458937
CTT>CAT	0.000257226109941445	0.0724411222202627	0.00779170033105939	0.0228930043736438
GTA>GAA	7.93494627037981e-05	6.39330832729326e-05	9.61288801456899e-05	0.00246919024398494
GTC>GAC	0.000126346021762315	0.0033725309893662	0.000343600999135343	0.0050265889225257
GTG>GAG	0.000242932684835011	0.000695089643437602	0.000240614041037223	0.00245507416813062
GTT>GAT	0.000257267497061552	0.00484743085672715	0.00159285184874534	0.013393462387646
TTA>TAA	0.00652536113429761	0.000117027360707568	0.00116824874156242	0.00610857759286809
TTC>TAC	9.99999987000003e-10	0.00578458776577049	0.000245166335843482	0.00979253257504977
TTG>TAG	2.77413164743511e-05	0.0018362224614247	9.99999991000002e-10	0.00917992562307917
TTT>TAT	0.00222100526914357	0.00197941761771308	0.00130734872609794	0.0227870820949353
ATA>ACA	0.00106794334031064	9.57533986284388e-05	9.63801584109402e-05	0.0288591373037532
ATC>ACC	0.0030008945906911	0.0126965593865223	0.000251495824769389	0.00230927790413377
ATG>ACG	0.000103887489446262	0.000373207533024527	9.99999991000002e-10	0.0175654872659079
ATT>ACT	0.00562882583773885	0.00773657155972832	0.000539334125226463	0.0140741544597699
CTA>CCA	9.99999987000003e-10	0.0110493757134642	0.000642934831086512	0.00878178322588354
CTC>CCC	0.00246468704961268	0.172732097982055	0.0064388361560584	0.00353544763126642
CTG>CCG	0.000353850428268637	0.0869033741413804	0.00389543869028551	0.00363137106942078
CTT>CCT	4.21455087827138e-05	0.42683150851773	0.0183039943592281	0.0358588043783665
GTA>GCA	0.00102607063841118	0.000121730174033602	5.87838475711053e-05	0.00941411170783513
GTC>GCC	0.00186091039804959	0.0147796211004577	0.00148530691268881	0.000173219849185669
GTG>GCG	0.00115541154982505	0.00357046047060753	0.00100838249563317	0.00518315386256321
