Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
F029	6.11E-01	1.04E+00	3.00E+00	3.50E-02	1.58E+00	5.34E-01	2.03E+00	3.77E+00	2.23E+00	1.98E+00	1.34E+00	1.56E+00	2.58E+00	1.93E+00
F031	2.15E+00	1.60E+00	5.69E+00	2.49E+00	7.43E-01	1.27E+00	5.91E+00	6.01E+00	5.48E+00	4.25E+00	1.14E+00	1.15E+00	3.32E+00	8.40E-01
F034	4.75E-01	7.36E-01	1.57E+00	6.31E-01	1.49E-01	4.92E-01	1.25E+00	1.06E+00	1.69E+00	7.23E-01	6.77E-01	2.55E-01	1.32E+00	6.74E-01
F036	6.61E-01	2.67E+00	3.26E+00	2.33E+00	3.77E+00	6.32E+00	3.56E+00	4.81E+00	2.69E+00	3.58E+00	2.92E+00	1.94E+00	2.86E+00	2.13E+00
F037	1.06E-01	7.35E-02	5.94E-02	1.58E-01	3.47E-02	2.68E-02	5.10E-02	5.51E-02	4.88E-02	9.02E-02	0.00E+00	8.24E-02	1.68E-01	2.08E-01
F038	6.29E-01	3.35E-02	2.14E+00	5.05E-01	3.57E-01	2.62E-01	1.80E+00	1.69E+00	2.90E+00	1.16E+00	7.53E-01	6.54E-01	1.72E+00	7.95E-01
F039	1.55E-01	5.87E-01	2.33E+00	5.74E-01	5.59E-01	5.72E-01	1.34E+00	1.18E+00	1.88E+00	1.03E+00	2.91E-01	5.85E-01	1.81E+00	1.12E+00
F041	1.30E+00	1.18E+00	5.72E+00	5.09E+00	4.05E-01	1.16E+00	7.32E+00	4.48E+00	5.09E+00	7.95E+00	1.41E+00	1.46E+00	3.66E+00	2.01E+00
F042	5.93E-01	1.36E+00	3.22E+00	1.70E+00	4.31E-01	1.45E+00	3.79E+00	3.66E+00	3.23E+00	3.31E+00	9.30E-01	9.42E-01	1.91E+00	7.41E-01
F043	3.95E-01	7.94E-01	1.79E+00	7.33E-01	7.04E-01	8.57E-01	2.11E+00	2.06E+00	2.20E+00	2.18E+00	6.96E-01	1.40E+00	1.58E+00	1.71E+00
F044	1.12E-02	2.13E-01	7.35E-01	2.49E-01	1.00E-02	1.26E-01	7.11E-01	4.73E-01	5.38E-01	7.65E-01	4.17E-01	2.40E-01	1.19E+00	1.22E+00
F045	6.53E-01	9.65E-01	2.03E+00	5.87E-01	9.81E-01	7.06E-01	3.33E+00	2.22E+00	2.98E+00	2.11E+00	1.09E+00	1.59E+00	1.71E+00	8.83E-01
F046	9.40E-02	3.09E-01	3.46E-01	3.22E-01	9.52E-02	1.26E-01	3.66E-01	2.31E-01	3.12E-01	4.57E-01	1.91E-01	2.49E-01	4.17E-01	2.78E-01
F048	5.00E-03	9.55E-02	3.63E-01	5.00E-02	1.81E-01	3.46E-01	2.47E-01	3.61E-01	1.35E-01	2.61E-01	6.00E-02	2.92E-01	4.38E-01	6.68E-01
F050	3.40E-02	1.72E-01	2.72E-02	1.70E-01	5.44E-02	1.08E-01	1.10E-01	8.89E-02	6.87E-02	7.81E-02	5.00E-03	6.89E-02	7.78E-02	6.87E-02
F052	2.16E-01	1.34E-01	6.20E-01	2.27E-01	6.38E-02	1.83E-01	5.14E-01	8.39E-01	7.72E-01	8.10E-01	9.08E-02	3.50E-02	6.42E-01	3.83E-01
F053	3.83E-01	1.93E-01	1.22E+00	5.32E-01	9.57E-02	3.58E-01	1.87E+00	1.20E+00	9.36E-01	1.59E+00	5.58E-01	7.23E-01	1.26E+00	1.62E+00
F054	1.60E-01	1.12E-01	8.23E-01	2.27E-01	0.00E+00	9.83E-02	5.19E-01	5.16E-01	6.02E-01	4.83E-01	1.92E-01	1.33E-01	6.08E-01	4.18E-01
F055	1.69E+00	2.98E+00	1.85E+00	4.06E+00	5.43E+00	4.54E+00	2.35E+00	2.89E+00	2.76E+00	1.76E+00	4.06E+00	1.40E+00	5.14E+00	1.67E+00
F056	3.41E-01	2.81E-01	9.09E-01	7.50E-01	2.99E-02	2.03E-01	9.43E-01	7.29E-01	1.04E+00	4.57E-01	3.18E-01	4.61E-01	1.04E+00	8.93E-01
F057	1.02E+00	6.44E-01	2.56E+00	2.23E+00	4.00E-01	1.15E+00	2.95E+00	2.96E+00	3.31E+00	3.28E+00	1.67E+00	7.23E-01	2.17E+00	9.62E-01
F058	1.75E+00	2.01E+00	5.20E+00	3.98E+00	1.74E+00	1.44E+00	4.87E+00	4.86E+00	5.00E+00	4.72E+00	2.02E+00	1.82E+00	4.56E+00	1.84E+00
F059	2.14E-01	0.00E+00	2.09E+00	2.99E-01	2.27E-01	3.04E-01	2.15E+00	1.28E+00	1.83E+00	9.81E-01	2.74E+00	3.25E-01	1.32E+00	5.65E-01
F059r	7.65E-01	2.72E-01	2.05E+00	7.47E-01	4.95E-01	4.68E-01	2.53E+00	1.52E+00	1.78E+00	1.67E+00	2.49E+00	7.15E-01	1.37E+00	1.22E+00
SJ01	2.06E+01	2.57E+01	1.61E+00	2.05E+00	9.72E+00	4.22E+00	4.22E+00	4.41E+00	7.35E+00	2.32E+00	4.17E+00	1.23E+00	3.54E+00	1.13E+00
SJ02	1.15E+00	1.67E+00	2.64E+00	1.63E+00	5.82E-01	1.19E+00	3.61E+00	3.19E+00	2.09E+00	1.60E+00	1.01E+00	8.72E-01	2.13E+00	2.16E+00
SJ03	1.25E+00	9.15E-01	3.33E+00	1.74E+00	1.12E+00	8.61E-01	3.40E+00	4.34E+00	4.27E+00	2.35E+00	2.48E+00	2.09E-01	3.47E+00	1.60E+00
SJ04	0.00E+00	7.05E-03	7.38E-02	4.02E-02	0.00E+00	1.64E-01	1.29E-01	1.47E-01	1.07E-01	7.77E-02	0.00E+00	2.39E-01	2.01E-01	4.06E-01
