"cancer"	"sub"	"L1HSmethy"	"L1methy"	"frac"
"Germinoma"	"L1HS"	0.733425329753193	0.534290210162289	1.37270965442248
"OtherGCT"	"L1HS"	0.761740765993825	0.705392971260885	1.07988142358751
"ACC"	"L1HS"	0.858146785418973	0.686309394731289	1.25037889908962
"BLCA"	"L1HS"	0.777291867676045	0.636031567731726	1.22209636614122
"BRCA"	"L1HS"	0.84797919278718	0.706254784512187	1.20067036908342
"CESC"	"L1HS"	0.826775887942192	0.671963219504508	1.23038860453082
"CHOL"	"L1HS"	0.874569711325805	0.71949735181251	1.21552874256263
"COAD"	"L1HS"	0.804793396318864	0.641673852718426	1.25420942883895
"DLBC"	"L1HS"	0.871218263986485	0.630525291084121	1.3817340498563
"ESCA"	"L1HS"	0.775063804680516	0.653693821561112	1.18566793675601
"GBM"	"L1HS"	0.870800526553448	0.675587391227376	1.28895319519125
"HNSC"	"L1HS"	0.779762473154913	0.659133705458131	1.18301107453296
"KICH"	"L1HS"	0.878116550110042	0.720302546259789	1.2190940524502
"KIRC"	"L1HS"	0.877973603154636	0.741672856380244	1.18377475406018
"KIRP"	"L1HS"	0.874843016482326	0.777931542725237	1.12457583789133
"LAML"	"L1HS"	0.88700665390481	0.785850577275451	1.12872176919443
"LGG"	"L1HS"	0.893813868252618	0.763691500030807	1.17038603705365
"LIHC"	"L1HS"	0.792058540518754	0.628835628675414	1.25956371490457
"LUAD"	"L1HS"	0.831604005021056	0.700832250500358	1.18659494397887
"LUSC"	"L1HS"	0.761951770730635	0.676178326904146	1.12685032988147
"MESO"	"L1HS"	0.86758499195167	0.738250965952987	1.17518978228729
"OV"	"L1HS"	0.705847112902105	0.649422544485636	1.08688421567064
"PAAD"	"L1HS"	0.859111670305321	0.733958441963696	1.17051813997367
"PCPG"	"L1HS"	0.861194831028993	0.670400743999921	1.28459706934498
"PRAD"	"L1HS"	0.840078174350167	0.725623472399051	1.15773291011757
"READ"	"L1HS"	0.806532032150072	0.632928318173322	1.274286532917
"SARC"	"L1HS"	0.852786544076656	0.693328558538381	1.22998906301283
"SKCM"	"L1HS"	0.816647819925834	0.649427531807972	1.25748875729418
"STAD"	"L1HS"	0.830520896974033	0.665118047011432	1.24868194556711
"TGCT"	"L1HS"	0.744802706651367	0.622897803999072	1.19570610438767
"THCA"	"L1HS"	0.868188221405397	0.765197402524814	1.13459379049218
"THYM"	"L1HS"	0.815100608851824	0.786336674514688	1.03657966780564
"UCEC"	"L1HS"	0.834648107729056	0.685786927702841	1.21706622569323
"UCS"	"L1HS"	0.802341727600655	0.65813117293413	1.21912129465558
"UVM"	"L1HS"	0.867651938581328	0.753764503978673	1.15109153323288
"YST"	"L1HS"	0.654015709600476	0.618994204917291	1.05657808167665
