MutationType	DBS78A
AC>CA	3.25E-04
AC>CG	8.14E-13
AC>CT	2.15E-10
AC>GA	8.14E-13
AC>GG	8.12E-13
AC>GT	1.31E-04
AC>TA	1.78E-04
AC>TG	2.77E-04
AC>TT	1.92E-04
AT>CA	8.11E-13
AT>CC	1.71E-04
AT>CG	8.14E-13
AT>GA	3.12E-04
AT>GC	1.85E-04
AT>TA	2.72E-04
CC>AA	1.07E-03
CC>AG	5.42E-04
CC>AT	6.48E-04
CC>GA	2.77E-04
CC>GG	2.12E-04
CC>GT	2.76E-04
CC>TA	4.12E-04
CC>TG	1.88E-04
CC>TT	4.20E-04
CG>AT	2.58E-04
CG>GC	8.13E-13
CG>GT	8.11E-13
CG>TA	8.12E-13
CG>TC	8.12E-13
CG>TT	4.14E-04
CT>AA	1.22E-03
CT>AC	1.04E-03
CT>AG	4.93E-04
CT>GA	1.87E-04
CT>GC	1.95E-04
CT>GG	2.06E-04
CT>TA	4.64E-04
CT>TC	3.52E-04
CT>TG	8.13E-13
GC>AA	6.59E-04
GC>AG	4.95E-04
GC>AT	1.82E-04
GC>CA	3.28E-04
GC>CG	2.05E-04
GC>TA	2.38E-04
TA>AT	1.75E-04
TA>CG	8.08E-13
TA>CT	3.13E-04
TA>GC	8.11E-13
TA>GG	2.10E-04
TA>GT	2.42E-04
TC>AA	1.05E-03
TC>AG	2.84E-04
TC>AT	6.74E-04
TC>CA	2.75E-04
TC>CG	8.16E-13
TC>CT	4.35E-04
TC>GA	2.06E-04
TC>GG	8.12E-13
TC>GT	2.14E-04
TG>AA	3.43E-04
TG>AC	1.67E-04
TG>AT	7.04E-04
TG>CA	2.66E-04
TG>CC	1.84E-04
TG>CT	4.90E-04
TG>GA	1.88E-04
TG>GC	8.12E-13
TG>GT	6.93E-04
TT>AA	5.70E-04
TT>AC	3.38E-04
TT>AG	2.55E-04
TT>CA	2.64E-04
TT>CC	1.77E-04
TT>CG	8.15E-13
TT>GA	8.11E-13
TT>GC	8.08E-13
TT>GG	8.11E-13
