Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
C001	1	0.499	1.743	174.3%	0.9	90.0%	2.05062	0.503
C002	3	0.947	2.977	99.233%	1.233	55.141%	0.70771	0.956
C005	3	0.622	3.661	122.033%	1.375	79.386%	1.6511	0.603
C006	1	0.093	1.961	196.1%	1.003	100.3%	3.94146	0.038
C007	2	0.989	1.673	83.65%	0.854	42.7%	0.54156	0.992
C009	5	0.505	7.21	144.2%	1.959	87.609%	1.85098	0.457
C011	1	0.296	1.847	184.7%	0.956	95.6%	2.57349	0.276
F002r	6	0.883	5.955	99.25%	1.725	54.549%	0.7574	0.884
F007	8	0.851	7.456	93.2%	1.765	55.814%	0.8494	0.842
F008	1	0.216	1.909	190.9%	0.976	97.6%	3.09323	0.186
F012	2	0.235	3.721	186.05%	1.377	97.369%	2.67273	0.179
F016	1	0.989	0.836	83.6%	0.427	42.7%	0.54156	0.992
F017	2	0.69	2.605	130.25%	1.057	74.741%	1.46093	0.682
F020	1	0.682	1.644	164.4%	0.844	84.4%	1.72644	0.707
F022	2	0.741	2.591	129.55%	1.021	72.196%	1.45045	0.739
F026	16	0.939	8.461	52.881%	1.641	34.986%	0.33942	0.929
F031	1	0.604	1.689	168.9%	0.869	86.9%	1.86051	0.62
F036	5	0.737	5.251	105.02%	2.029	67.633%	1.24308	0.726
F038	1	0.852	1.391	139.1%	0.72	72.0%	1.18936	0.866
F042	3	0.745	3.721	124.033%	1.225	70.725%	1.20186	0.74
F043	2	0.715	1.948	97.4%	1.002	70.852%	1.74751	0.706
F045	4	0.733	3.875	96.875%	1.364	68.2%	1.22324	0.716
F046	1	0.089	1.963	196.3%	1.003	100.3%	3.98493	0.033
F052	1	0.231	1.903	190.3%	0.973	97.3%	3.02815	0.203
F054	1	0.296	1.847	184.7%	0.956	95.6%	2.57349	0.276
F055	5	0.766	6.003	120.06%	1.805	68.223%	1.35554	0.76
F057	1	0.591	1.752	175.2%	0.892	89.2%	2.0878	0.634
F058	10	0.931	7.055	70.55%	1.714	36.543%	0.62719	0.926
F059r	1	0.318	1.867	186.7%	0.954	95.4%	2.70735	0.307
SJ01	61	0.997	7.339	12.031%	1.441	7.091%	0.0443	0.997
SJ03	1	0.591	1.752	175.2%	0.892	89.2%	2.0878	0.634
SJ10	4	0.556	5.482	137.05%	1.679	83.95%	1.78585	0.523
SJ18	1	0.231	1.903	190.3%	0.973	97.3%	3.02815	0.203
SJ20	3	0.762	3.878	129.267%	1.235	71.303%	1.2189	0.764
SJ28	1	0.958	1.19	119.0%	0.607	60.7%	0.90357	0.969
SJ31	1	0.318	1.867	186.7%	0.954	95.4%	2.70735	0.307
SJ32	4	0.762	4.775	119.375%	1.377	68.85%	1.08471	0.755
T135	203	0.999	11.522	5.676%	2.076	3.981%	0.01293	0.999
