NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	3.284	124.995	1.472	74.509	1.433	0.547	40000.0
2	2.921	117.82	1.298	70.991	1.211	0.639	40000.0
3	2.992	118.339	1.372	70.251	1.328	0.6	80000.0
4	3.39	129.456	1.511	76.943	1.387	0.553	40000.0
5	3.007	124.915	1.344	74.22	1.305	0.59	60000.0
6	3.476	127.661	1.56	76.783	1.405	0.551	40000.0
7	3.352	123.704	1.487	72.93	1.39	0.598	40000.0
8	3.543	131.883	1.517	78.251	1.38	0.554	60000.0
9	3.088	122.454	1.462	74.477	1.267	0.585	60000.0
10	2.943	113.022	1.307	67.547	1.169	0.653	60000.0
11	2.894	120.8	1.357	72.636	1.206	0.618	80000.0
12	3.077	124.634	1.371	74.348	1.362	0.585	60000.0
13	3.399	125.332	1.528	74.344	1.232	0.605	40000.0
14	3.323	122.618	1.464	73.307	1.29	0.619	60000.0
15	3.417	123.997	1.552	74.972	1.252	0.606	60000.0
16	2.873	116.804	1.295	71.074	1.235	0.619	40000.0
17	3.631	132.949	1.622	79.032	1.424	0.533	60000.0
18	3.172	124.417	1.388	74.759	1.236	0.601	60000.0
19	3.224	128.135	1.532	77.31	1.246	0.57	0.0
20	2.913	123.698	1.306	74.009	1.232	0.591	40000.0
21	3.084	127.888	1.456	75.89	1.332	0.571	80000.0
22	3.524	128.394	1.524	75.836	1.344	0.588	40000.0
23	3.411	128.221	1.532	75.733	1.427	0.559	60000.0
24	3.108	119.503	1.338	72.007	1.332	0.61	40000.0
25	3.031	123.505	1.409	73.725	1.248	0.594	60000.0
26	3.055	111.795	1.309	67.956	1.306	0.633	40000.0
27	2.798	117.862	1.317	70.439	1.264	0.618	60000.0
28	3.227	121.713	1.451	73.882	1.284	0.599	0.0
29	3.167	123.407	1.465	74.634	1.288	0.592	40000.0
30	4.171	125.281	1.67	76.599	1.303	0.571	60000.0
31	2.885	122.693	1.315	73.155	1.309	0.593	40000.0
32	3.453	137.22	1.531	79.814	1.468	0.532	40000.0
33	3.123	123.314	1.364	74.51	1.261	0.6	60000.0
34	2.949	118.181	1.313	71.203	1.323	0.612	60000.0
35	3.285	129.479	1.495	76.267	1.42	0.558	40000.0
36	3.486	132.134	1.581	78.14	1.366	0.562	40000.0
37	3.25	123.758	1.488	75.075	1.243	0.594	40000.0
38	3.414	128.655	1.553	76.265	1.319	0.585	40000.0
39	3.137	126.509	1.428	75.514	1.342	0.568	0.0
40	3.323	129.493	1.567	77.399	1.368	0.561	40000.0
41	2.893	119.189	1.332	72.793	1.27	0.602	40000.0
42	3.03	121.099	1.354	73.159	1.255	0.592	80000.0
43	3.459	131.798	1.527	78.669	1.349	0.55	80000.0
44	3.239	127.542	1.49	75.617	1.369	0.572	40000.0
45	3.1	119.556	1.407	70.737	1.238	0.62	60000.0
46	3.322	128.603	1.488	76.549	1.303	0.587	40000.0
47	3.075	119.88	1.399	72.612	1.256	0.604	40000.0
48	3.204	122.738	1.473	74.225	1.27	0.602	60000.0
49	3.244	126.523	1.488	74.765	1.29	0.586	80000.0
50	3.025	117.756	1.368	72.027	1.166	0.626	60000.0
51	3.836	125.103	1.616	75.613	1.294	0.568	60000.0
52	3.373	129.385	1.488	76.404	1.362	0.558	40000.0
53	3.222	126.301	1.534	74.963	1.311	0.585	40000.0
54	2.825	112.147	1.308	69.771	1.135	0.627	0.0
55	3.466	120.851	1.497	72.132	1.262	0.615	0.0
56	3.043	119.642	1.397	73.476	1.325	0.586	40000.0
57	2.837	116.788	1.343	70.17	1.234	0.617	80000.0
58	3.538	130.43	1.587	77.811	1.439	0.547	40000.0
59	2.755	107.487	1.278	65.941	1.14	0.661	40000.0
60	2.738	113.193	1.341	69.861	1.182	0.629	40000.0
61	3.299	126.674	1.509	75.82	1.338	0.584	40000.0
62	3.462	126.525	1.536	75.406	1.33	0.576	40000.0
63	3.178	118.842	1.404	72.37	1.273	0.603	40000.0
64	2.927	120.836	1.37	71.333	1.346	0.587	60000.0
65	3.272	123.174	1.426	72.9	1.218	0.631	40000.0
66	2.786	113.346	1.3	70.352	1.18	0.632	40000.0
67	2.992	123.349	1.394	73.84	1.217	0.61	60000.0
68	3.298	128.879	1.488	76.481	1.394	0.567	40000.0
69	2.898	116.104	1.354	70.341	1.214	0.634	80000.0
70	3.526	127.617	1.53	76.48	1.329	0.566	40000.0
71	3.17	119.503	1.393	71.351	1.38	0.6	40000.0
72	3.055	122.472	1.361	73.17	1.281	0.596	60000.0
73	3.218	129.882	1.444	76.707	1.299	0.584	40000.0
74	3.332	128.746	1.521	77.066	1.368	0.554	40000.0
75	2.94	121.363	1.356	71.231	1.317	0.603	40000.0
76	2.992	119.411	1.419	73.125	1.345	0.582	60000.0
77	3.213	125.205	1.435	74.998	1.282	0.594	0.0
78	3.585	127.482	1.564	76.368	1.33	0.587	0.0
79	3.356	126.773	1.472	74.869	1.325	0.584	40000.0
80	3.185	123.614	1.446	74.495	1.283	0.589	40000.0
81	3.183	121.553	1.51	73.184	1.269	0.599	40000.0
82	3.152	125.89	1.443	74.63	1.461	0.564	40000.0
83	3.498	135.208	1.558	79.449	1.456	0.534	40000.0
84	3.316	125.684	1.502	74.779	1.339	0.585	40000.0
85	2.968	119.088	1.303	71.76	1.346	0.596	80000.0
86	2.924	113.186	1.318	67.935	1.211	0.623	40000.0
87	2.691	113.854	1.241	70.396	1.19	0.631	40000.0
88	3.01	113.494	1.324	67.811	1.224	0.639	80000.0
89	2.847	116.363	1.363	70.466	1.132	0.636	60000.0
90	2.949	119.108	1.344	72.063	1.316	0.592	60000.0
91	3.204	120.458	1.37	72.727	1.249	0.603	0.0
92	2.944	127.807	1.398	75.538	1.321	0.579	40000.0
93	3.062	118.971	1.437	72.872	1.268	0.596	40000.0
94	3.275	130.822	1.529	77.256	1.417	0.553	40000.0
95	2.722	114.975	1.287	69.111	1.204	0.629	40000.0
96	2.69	114.29	1.247	68.447	1.182	0.642	60000.0
97	3.023	126.638	1.433	75.447	1.334	0.585	0.0
98	2.552	108.61	1.224	67.103	1.065	0.671	40000.0
99	3.442	130.615	1.668	77.766	1.359	0.575	40000.0
100	2.832	110.659	1.316	66.628	1.216	0.642	60000.0
101	3.346	126.209	1.488	75.086	1.345	0.578	60000.0
102	2.82	114.464	1.285	68.859	1.16	0.653	60000.0
103	2.965	118.765	1.343	70.651	1.248	0.604	40000.0
104	3.213	118.193	1.449	68.9	1.193	0.632	40000.0
105	3.364	126.953	1.481	74.479	1.36	0.584	40000.0
106	3.009	122.628	1.352	74.554	1.256	0.585	0.0
107	3.076	122.197	1.481	74.561	1.286	0.584	40000.0
